Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
7,21c2bb064684fbdc8912132b4333cb78,False,1.966,0.171,0.0,-1.0,0,0.0,704231107,133.466,2.095,2.137,135.561,-inf,-inf
7,fd935e4ec4d61a3a6dae128a971c654a,True,21.764,5.818,0.0,-1.0,0,0.0,1323164217,41.64,21.713,27.582,63.353,0.8602785782901057,0.5646299307057282
7,3d3dc51add490a40e3cdda6c4fc04cfa,True,17.137,10.46,0.0,-1.0,0,0.0,1323164217,18.364,17.23,27.597,35.594,0.4304073186669571,0.2246726976456706
7,1723daf38f8349f4edbfe430d27fe563,False,35.61,0.017,0.0,-1.0,0,0.0,1243161153,21.737,54.786,35.627,76.523,-inf,-inf
7,3c2ad03d8cfc393d4b33393d70f599d3,True,20.239,15.347000000000001,0.0,-1.0,0,0.0,742222371,23.079,20.995,35.586,44.074,0.3350231812470211,0.19258519762218088
7,34e0e0e4f3f8390af9e4344a50563f23,True,40.437,13.023,0.0,-1.0,0,0.0,1323164217,128.819,36.987,53.459999999999994,165.80599999999998,0.8989046646845574,0.6775749972859848
7,20f36c3b1e3cec430bb3e5d8fe6e0e6c,False,63.713,0.353,0.0,-1.0,0,0.0,841814201,41.167,57.025,64.066,98.19200000000001,-inf,-inf
7,b467e0fcc44795f59184c405643f9b29,True,40.075,18.044,0.0,-1.0,0,0.0,742222371,57.115,33.665,58.119,90.78,0.6840759870436838,0.3597818902842036
7,23409fb118febe3f51b0f335f469b862,True,55.108000000000004,11.488,0.0,-1.0,0,0.0,1001249781,70.58,44.174,66.596,114.75399999999999,0.8372343440068007,0.4196629311396552
7,096610ea04f9a4aa642ce0c3a764b984,True,61.178000000000004,6.1979999999999995,0.0,-1.0,0,0.0,742222371,63.637,50.389,67.376,114.02600000000001,0.9026038311045461,0.4091172188799046
