instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
64db93b8841f62e442fde9298f2b696f,2.97382,10.5332,3.53879,0,0,0,0.183488,0.540294,0.531709,0,1.17613,2.79587,2.27115,7975.39,15859.1,4,20.6097,6.8699,2,2,1,5157,0,1.1369,14688,54319.7,18249.6,1485,0,2970,0,0,3672,1566,0.287958,0,0.654762,0,0,0.712042,0.345238,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,108,0,0,0,3.38095,21.6548,9.89862,2.29465,1.64077,1.68462,0,0.806003,1.34969,1.47343,4428,5488.85,11582.2,53,185,61.6667,0,2,0.396226,0,108,4536,0.0238095,0.879581,15336,98226,44900.2
46831b35fcca82644b3883c9d1f7d8a4,2.97366,11.3202,3.80411,0,0,0,0.183615,0.522336,0.5142,0,1.17699,3.30646,1.96802,6810.36,13955.4,4,20.6097,6.8699,2,2,1,4404,0,1.13622,12546,49854.1,16753.3,1266,0,2532,0,0,3138,1344,0.287466,0,0.653251,0,0,0.712534,0.346749,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,100,0,0,0,3.37874,25.1027,11.4287,2.20008,1.44737,1.49534,0,0.814832,1.3945,1.40188,3776,4714.19,10545.5,49,185,61.6667,0,2,0.666667,0,100,3876,0.0257998,0.880109,13096,97298,44297.5
25a72028cc18c321f6e1b627879d0953,2.96429,11.4386,3.86155,0,0,0,0.189531,0.527976,0.517233,0,1.21502,3.70882,2.26627,6944.68,14323.6,4,20.6561,6.88536,2,2,1,4509,0,1.13806,12782,51576.8,17411.7,1311,0,2588,0,0,3198,1374,0.290752,0,0.653205,0,0,0.709248,0.346795,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,100,0,0,0,3.37355,27.0374,12.1776,2.17972,1.42705,1.45835,0,0.889543,1.4606,1.45296,3862,4851.74,10978.7,49,187,62.3333,0,2,0.5,0,110,3962,0.0277638,0.878687,13366,107122,48247.7
076bffadd41e8ddeba19fe2640158ff8,2.97547,10.8023,3.62811,0,0,0,0.183248,0.537562,0.529738,0,1.17514,3.38046,2.1457,7947.37,15954.8,4,20.8808,6.96026,2,2,1,5136,0,1.1383,14634,55480.8,18634,1476,0,2952,0,0,3660,1560,0.287383,0,0.654255,0,0,0.712617,0.345745,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,108,0,0,0,3.38697,23.5412,10.7925,2.29651,1.60112,1.6472,0,0.805635,1.38736,1.47737,4404,5461.34,11828.1,53,197,65.6667,0,2,0.0566038,0,108,4512,0.0239362,0.878505,15282,106218,48696
e3c9e6905b882340302b03e5d10529bc,2.96678,11.3309,3.82549,0,0,0,0.187547,0.524863,0.517038,0,1.20211,3.921,2.0019,8446.82,17369.3,4,20.8368,6.94558,2,2,1,5478,0,1.14507,15548,62070.7,20956,1566,0,3104,0,0,3912,1680,0.285871,0,0.648829,0,0,0.714129,0.351171,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,112,0,0,0,3.39716,25.8942,11.8616,2.31814,1.48084,1.51393,0,0.895378,1.57042,1.46637,4672,5800.79,13111,55,195,65,0,2,0.5,0,123,4784,0.0257107,0.873311,16252,123878,56745.9
dd1f1858241c6a1796d5032785fdcd2b,2.97361,10.4127,3.50035,0,0,0,0.183511,0.522574,0.514591,0,1.17621,3.18396,2.30032,7911.43,15707.9,4,19.7343,6.57809,2,2,1,5116,0,1.13866,14571,53271.3,17907.8,1467,0,2934,0,0,3649,1559,0.286747,0,0.653016,0,0,0.713253,0.346984,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,108,0,0,0,3.38593,18.9477,8.67355,2.29233,1.52445,1.56841,0,0.824125,1.38747,1.40914,4385,5436.32,11364.6,53,151,50.3333,0,2,0.415094,0,117,4493,0.0260405,0.878225,15213,85132,38970.3
2a8f3afd482a4a6ce06cd16a59d11d8a,2.97628,10.495,3.52408,0,0,0,0.183082,0.53929,0.531567,0,1.17431,3.3045,2.38324,8548.65,16961.7,4,20.5154,6.83848,2,2,1,5523,0,1.13923,15738,57963.7,19463.5,1587,0,3174,0,0,3936,1674,0.287344,0,0.654703,0,0,0.712656,0.345297,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,112,0,0,0,3.39068,21.3651,9.82047,2.34326,1.61462,1.6596,0,0.801447,1.37742,1.47127,4736,5854.99,12393.5,55,181,60.3333,0,2,0.0363636,0,112,4848,0.0231023,0.877784,16438,103578,47609.6
f2365081c1b01f1ea464b246822f0d4a,2.96588,11.3772,3.83978,0,0,0,0.184631,0.513913,0.507012,0,1.18076,3.5419,1.97982,7096.24,14642.3,4,20.3205,6.77351,2,2,1,4601,0,1.14282,13084,52346.6,17666.8,1297,0,2594,0,0,3304,1432,0.281895,0,0.644312,0,0,0.718105,0.355688,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,104,0,0,0,3.38947,24.6182,11.3057,2.22779,1.39118,1.43563,0,0.878955,1.49163,1.50824,3922,4875.61,11074.6,51,173,57.6667,0,2,0.666667,0,114,4026,0.0283159,0.875027,13646,99113,45516.9
255289a5cfd01072c7bcd1db8b7ae0b0,2.97382,10.8297,3.63826,0,0,0,0.183488,0.527634,0.519049,0,1.17613,2.79587,2.02363,7975.39,16058,4,20.4191,6.80636,2,2,1,5157,0,1.1369,14688,55848.8,18762.5,1485,0,2970,0,0,3672,1566,0.287958,0,0.654762,0,0,0.712042,0.345238,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,108,0,0,0,3.38095,22.1905,10.1433,2.29465,1.53849,1.5812,0,0.806003,1.34969,1.38728,4428,5488.85,11857.7,53,177,59,0,2,0.528302,0,108,4536,0.0238095,0.879581,15336,100656,46010.2
24f669c96e044c122aab6e9ed2b6cdd9,2.97239,11.3951,3.82993,0,0,0,0.183799,0.523745,0.515059,0,1.17774,3.03906,1.97085,6829.04,14029.1,4,20.702,6.90065,2,2,1,4418,0,1.13515,12582,50343.5,16920.6,1272,0,2544,0,0,3146,1348,0.287913,0,0.653649,0,0,0.712087,0.346351,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,100,0,0,0,3.3741,25.8628,11.7574,2.19869,1.44574,1.49122,0,0.81509,1.36399,1.39307,3792,4732.53,10653.7,49,189,63,0,2,0.666667,0,100,3892,0.0256937,0.880942,13132,100658,45759.6
