feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-310-2071023479,model,0.0,0.0,0.0,15.075999999999999,0.0,0.0,14.1,0.0,194978.0,yes,2019-10-29 03:06:44: ../wrapper.py 310 1 2071023479 tuning -n_courses_middle 47 -n_courses_delta 20 -n_periods_middle 37 -n_periods_delta 17 -load_per_period_lb_middle 19 -load_per_period_lb_delta 13 -load_per_period_ub_middle 37 -load_per_period_ub_delta 11 -courses_per_period_lb_middle 1 -courses_per_period_lb_delta 12 -courses_per_period_ub_middle 40 -courses_per_period_ub_delta 12 -prerequisite_cardMiddle 233 -prerequisite_cardDelta 893 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 13 -prerequisite_relation2_middle 19 -prerequisite_relation2_delta 16 -course_load_range_middle 16 -course_load_range_delta 22,00fd3201cc2091a24c87af84230ade1c,40.041814327240004,sat + graded,310,2071023479,3,500,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-310-1001245471,model,0.0,0.0,0.0,5.1579999999999995,0.0,0.0,217.0,0.0,4036008.0,yes,2019-10-29 03:28:24: ../wrapper.py 310 1 1001245471 tuning -n_courses_middle 47 -n_courses_delta 20 -n_periods_middle 37 -n_periods_delta 17 -load_per_period_lb_middle 19 -load_per_period_lb_delta 13 -load_per_period_ub_middle 37 -load_per_period_ub_delta 11 -courses_per_period_lb_middle 1 -courses_per_period_lb_delta 12 -courses_per_period_ub_middle 40 -courses_per_period_ub_delta 12 -prerequisite_cardMiddle 233 -prerequisite_cardDelta 893 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 13 -prerequisite_relation2_middle 19 -prerequisite_relation2_delta 16 -course_load_range_middle 16 -course_load_range_delta 22,7e73ff92a7d490a12e423677aafa4d0b,228.442138671875,sat + graded,310,1001245471,3,708,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-428-1239644459,model,0.0,0.0,0.0,1.922,0.0,0.0,18.9,0.0,469005.0,yes,2019-10-29 03:45:40: ../wrapper.py 428 1 1239644459 tuning -n_courses_middle 41 -n_courses_delta 16 -n_periods_middle 31 -n_periods_delta 24 -load_per_period_lb_middle 28 -load_per_period_lb_delta 10 -load_per_period_ub_middle 31 -load_per_period_ub_delta 20 -courses_per_period_lb_middle 20 -courses_per_period_lb_delta 13 -courses_per_period_ub_middle 24 -courses_per_period_ub_delta 22 -prerequisite_cardMiddle 730 -prerequisite_cardDelta 707 -prerequisite_relation1_middle 42 -prerequisite_relation1_delta 5 -prerequisite_relation2_middle 19 -prerequisite_relation2_delta 14 -course_load_range_middle 9 -course_load_range_delta 6,fa464f8958d094809650834c5fd6211f,27.147776365280198,sat + graded,428,1239644459,4,954,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-428-78986094,model,0.0,0.0,0.0,1.295,0.0,0.0,20.2,0.0,492965.0,yes,2019-10-29 04:12:51: ../wrapper.py 428 1 78986094 tuning -n_courses_middle 41 -n_courses_delta 16 -n_periods_middle 31 -n_periods_delta 24 -load_per_period_lb_middle 28 -load_per_period_lb_delta 10 -load_per_period_ub_middle 31 -load_per_period_ub_delta 20 -courses_per_period_lb_middle 20 -courses_per_period_lb_delta 13 -courses_per_period_ub_middle 24 -courses_per_period_ub_delta 22 -prerequisite_cardMiddle 730 -prerequisite_cardDelta 707 -prerequisite_relation1_middle 42 -prerequisite_relation1_delta 5 -prerequisite_relation2_middle 19 -prerequisite_relation2_delta 14 -course_load_range_middle 9 -course_load_range_delta 6,105d34124fab57f00515544c0f2da489,26.1425762176514,sat + graded,428,78986094,4,1128,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-520-2071023479,model,0.0,0.0,0.0,7.756,0.0,0.0,10.8,0.0,41797.0,yes,2019-10-29 04:34:04: ../wrapper.py 520 1 2071023479 tuning -n_courses_middle 48 -n_courses_delta 15 -n_periods_middle 35 -n_periods_delta 12 -load_per_period_lb_middle 7 -load_per_period_lb_delta 3 -load_per_period_ub_middle 46 -load_per_period_ub_delta 22 -courses_per_period_lb_middle 1 -courses_per_period_lb_delta 10 -courses_per_period_ub_middle 29 -courses_per_period_ub_delta 13 -prerequisite_cardMiddle 18 -prerequisite_cardDelta 512 -prerequisite_relation1_middle 33 -prerequisite_relation1_delta 13 -prerequisite_relation2_middle 9 -prerequisite_relation2_delta 6 -course_load_range_middle 8 -course_load_range_delta 9,fa442ba481cf6eab95bde528a8605d06,30.6908450126648,sat + graded,520,2071023479,5,1392,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-616-2071023479,model,0.0,0.0,0.0,4.737,0.0,0.0,268.6,0.0,3613798.0,yes,2019-10-29 04:34:24: ../wrapper.py 616 1 2071023479 tuning -n_courses_middle 43 -n_courses_delta 18 -n_periods_middle 40 -n_periods_delta 20 -load_per_period_lb_middle 8 -load_per_period_lb_delta 8 -load_per_period_ub_middle 43 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 9 -courses_per_period_lb_delta 7 -courses_per_period_ub_middle 45 -courses_per_period_ub_delta 16 -prerequisite_cardMiddle 1005 -prerequisite_cardDelta 1006 -prerequisite_relation1_middle 47 -prerequisite_relation1_delta 11 -prerequisite_relation2_middle 6 -prerequisite_relation2_delta 18 -course_load_range_middle 11 -course_load_range_delta 14,087648f4d250c521d47c36bed532778e,280.391904592514,sat + graded,616,2071023479,5,1437,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-547-83764746,model,0.0,0.0,0.0,1.964,0.0,0.0,38.0,0.0,952884.0,yes,2019-10-29 04:40:09: ../wrapper.py 547 1 83764746 tuning -n_courses_middle 34 -n_courses_delta 21 -n_periods_middle 26 -n_periods_delta 22 -load_per_period_lb_middle 24 -load_per_period_lb_delta 1 -load_per_period_ub_middle 45 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 11 -courses_per_period_lb_delta 8 -courses_per_period_ub_middle 30 -courses_per_period_ub_delta 9 -prerequisite_cardMiddle 918 -prerequisite_cardDelta 863 -prerequisite_relation1_middle 43 -prerequisite_relation1_delta 7 -prerequisite_relation2_middle 28 -prerequisite_relation2_delta 6 -course_load_range_middle 4 -course_load_range_delta 5,028623bad741ba848e10f4fe7a7711ad,43.686294794082606,sat + graded,547,83764746,5,1484,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-722-1965498196,model,0.0,0.0,0.0,3.4160000000000004,0.0,0.0,38.5,0.0,833170.0,yes,2019-10-29 05:04:34: ../wrapper.py 722 1 1965498196 tuning -n_courses_middle 50 -n_courses_delta 14 -n_periods_middle 34 -n_periods_delta 16 -load_per_period_lb_middle 16 -load_per_period_lb_delta 1 -load_per_period_ub_middle 41 -load_per_period_ub_delta 20 -courses_per_period_lb_middle 9 -courses_per_period_lb_delta 10 -courses_per_period_ub_middle 35 -courses_per_period_ub_delta 8 -prerequisite_cardMiddle 174 -prerequisite_cardDelta 818 -prerequisite_relation1_middle 36 -prerequisite_relation1_delta 10 -prerequisite_relation2_middle 5 -prerequisite_relation2_delta 15 -course_load_range_middle 7 -course_load_range_delta 12,91fd7ccd48a6f641457ce911f60fb89c,49.754643201828,sat + graded,722,1965498196,6,1672,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-865-1965498196,model,0.0,0.0,0.0,0.882,0.0,0.0,39.9,0.0,1016917.0,yes,2019-10-29 05:06:06: ../wrapper.py 865 1 1965498196 tuning -n_courses_middle 44 -n_courses_delta 14 -n_periods_middle 32 -n_periods_delta 23 -load_per_period_lb_middle 31 -load_per_period_lb_delta 12 -load_per_period_ub_middle 27 -load_per_period_ub_delta 22 -courses_per_period_lb_middle 22 -courses_per_period_lb_delta 18 -courses_per_period_ub_middle 20 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 766 -prerequisite_cardDelta 755 -prerequisite_relation1_middle 40 -prerequisite_relation1_delta 2 -prerequisite_relation2_middle 23 -prerequisite_relation2_delta 16 -course_load_range_middle 1 -course_load_range_delta 7,dc4de610322f17acb5307ec956329a43,45.3891785144806,sat + graded,865,1965498196,6,1815,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-948-1965498196,model,0.0,0.0,0.0,2.109,0.0,0.0,75.3,0.0,2109594.0,yes,2019-10-29 05:10:33: ../wrapper.py 948 1 1965498196 tuning -n_courses_middle 37 -n_courses_delta 17 -n_periods_middle 36 -n_periods_delta 24 -load_per_period_lb_middle 32 -load_per_period_lb_delta 10 -load_per_period_ub_middle 19 -load_per_period_ub_delta 20 -courses_per_period_lb_middle 16 -courses_per_period_lb_delta 15 -courses_per_period_ub_middle 25 -courses_per_period_ub_delta 22 -prerequisite_cardMiddle 628 -prerequisite_cardDelta 664 -prerequisite_relation1_middle 49 -prerequisite_relation1_delta 3 -prerequisite_relation2_middle 14 -prerequisite_relation2_delta 12 -course_load_range_middle 4 -course_load_range_delta 8,dc0e8a5532cb85649ffe9b4e56a24432,84.6712651252747,sat + graded,948,1965498196,6,1898,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-lingeling/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
