Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
18,dedbd31150f3411a10b6d1e0dc248018,True,7.21,2.5,0,28192.0,0,0,1013400673,13.0,3.1260000000000003,9.71,16.126,0.8076923076923077,0.39786679895820415
18,fa464f8958d094809650834c5fd6211f,True,12.334000000000001,4.5,0,38234.0,0,0,1239644459,18.9,1.922,16.834000000000003,20.822,0.7619047619047619,0.19152819133608665
18,e7afe15b9590c1123451516c7a464bb6,True,14.607000000000001,3.8,0,21241.0,0,0,69538093,19.2,4.544,18.407,23.744,0.8020833333333333,0.2247725741239892
18,9d4cfc69fbc664128a92acf38137396d,True,15.772,4.1,0,40226.0,0,0,1284241217,14.3,2.728,19.872,17.028000000000002,0.7132867132867133,-0.1670190274841436
18,e3472757518fed8f4ee7b818f5d6b549,True,15.347000000000001,5.8,0,35920.0,0,0,744323180,16.7,3.432,21.147000000000002,20.131999999999998,0.652694610778443,-0.0504172461752436
18,7da0f09e59fd1d248970ae88a75912c8,True,13.007,11.7,0,29931.0,0,0,68988760,24.6,4.9030000000000005,24.707,29.503,0.524390243902439,0.16255973968748938
18,6d0100641f5f8fc5784cc890904ff4d5,True,16.293,9.2,0,56965.0,0,0,1619106388,16.4,3.801,25.493,20.201,0.43902439024390244,-0.2619672293450818
18,a50b083538ea1cc420be003c26932859,True,19.963,6.9,0,67422.0,0,0,388100837,24.2,6.8210000000000015,26.863,31.021,0.7148760330578512,0.1340382321653074
18,6937eb46592d28a8b74d2ec4429ab008,True,25.3,3.6,0,4456.0,0,0,2046511596,12.9,9.646,28.900000000000002,22.546,0.7209302325581396,-0.2818238268428991
18,3f69a81f529dd135bb7c5540b82aef2d,True,17.242,12.1,0,306181.0,0,0,277159353,14.2,4.575,29.342,18.775,0.14788732394366194,-0.5628229027962717
18,0362f62a05a67ecd1d403264621bf28c,True,7.86,17.6,0,355713.0,0,0,973248006,14.9,2.611,25.46,17.511,-0.18120805369127524,-0.45394323568042955
18,1742ed29108381e911ebcb72def8c2ae,True,12.205,16.2,0,192248.0,0,0,1001726218,17.9,1.4509999999999998,28.405,19.351,0.09497206703910611,-0.4678827967546898
18,9effcb03709b17aeea55bedd6ad68cbd,True,13.427999999999999,17.2,0,221594.0,0,0,250908876,19.5,3.182,30.628,22.682,0.11794871794871799,-0.3503218411074862
18,37af0b9f06a9513195cb223806ffb738,True,22.78,8.5,0,120450.0,0,0,2071023479,19.7,8.079,31.28,27.779,0.5685279187817259,-0.12603045465999502
18,f003f3d04aa0d6769dd38c6c82fd6273,True,21.855999999999998,11.7,0,17411.0,0,0,1674225298,13.5,7.134,33.556,20.634,0.1333333333333334,-0.6262479402927206
18,207044a391f7f8acbcf093b9854deb41,True,22.699,11.4,0,18849.0,0,0,250908876,12.2,11.933,34.099000000000004,24.133,0.0655737704918032,-0.4129615049931631
18,589f63cf645957ed94e6b25564602a7e,True,13.44,18.9,0,188804.0,0,0,1619106388,17.8,3.286,32.339999999999996,21.086000000000002,-0.061797752808988644,-0.5337190552973534
18,105d34124fab57f00515544c0f2da489,True,10.155,23.2,0,358526.0,0,0,78986094,20.2,1.295,33.355,21.494999999999997,-0.1485148514851485,-0.551756222377297
18,6781ab9a96fb3bc36d91327e8fc3dbd9,True,7.254,25.2,0,310122.0,0,0,1442484079,12.4,3.252,32.454,15.652000000000001,-1.032258064516129,-1.0734730385893176
18,c566f50a9fc59f8b82a803c252c742e2,True,14.137,23.8,0,525887.0,0,0,2046511596,13.1,3.627,37.937,16.727,-0.8167938931297711,-1.268009804507682
18,f81ee25223939655f15670ff26095385,True,9.892999999999999,27.1,0,454383.0,0,0,1932416450,13.5,3.3760000000000003,36.993,16.876,-1.0074074074074075,-1.1920478786442286
18,32e428685960e9d1c472b0459945d668,True,7.778,28.1,0,441042.0,0,0,925836541,20.8,1.854,35.878,22.654,-0.3509615384615385,-0.5837379712192108
18,12cd85de34d5d964f776f9941da86653,True,12.123,27.6,0,438118.0,0,0,1100722462,18.9,3.85,39.723,22.75,-0.4603174603174605,-0.746065934065934
18,67e797dbfe7711e2b13dcb3ab55bcaf3,True,11.040999999999999,5.9,0,21324.0,0,0,277159353,17.1,11.226,16.941,28.326,0.6549707602339181,0.4019275577208219
18,3cc0b62b438905d4419d667bcdc9854c,True,7.292999999999999,4.9,0,15971.0,0,0,154214791,13.1,4.296,12.193,17.396,0.6259541984732824,0.2990917452287883
18,1fb7821f596b4381a73b1556ac1f59f5,True,15.720999999999998,32.3,0,345788.0,0,0,1607214242,20.9,3.039,48.020999999999994,23.939,-0.5454545454545454,-1.0059735160198835
18,ee4850b8bd52d2b886dce224755ddab8,True,12.152999999999999,5.1,0,12342.0,0,0,2090072651,12.3,12.337,17.253,24.637,0.5853658536585367,0.29971181556195964
18,3f9f6fecc3e343dc171c8144e2502643,True,20.489,30.8,0,399683.0,0,0,1169256702,26.6,5.686,51.289,32.286,-0.15789473684210523,-0.5885832868735674
18,7ba2587394e896bb74f3fe9cab31ad6e,True,13.196,2.9,0,3800.0,0,0,2016905178,14.0,8.533999999999999,16.096,22.534,0.7928571428571428,0.28570160646134724
18,c0d8191fc9ff3a6c30596a328ec6da31,True,3.596,23.4,0,309041.0,0,0,69538093,14.5,1.257,26.996,15.757,-0.6137931034482758,-0.7132702925683823
18,75ee80336a6d6cf28fb239569e2889a2,True,3.1319999999999997,30.8,0,366935.0,0,0,388100837,21.3,1.973,33.932,23.273,-0.4460093896713615,-0.4579985390796203
18,90ab5cb6727534cfd4b50d51e110f2fe,True,24.351999999999997,30.8,0,266048.0,0,0,2071023479,25.8,6.565,55.152,32.365,-0.19379844961240308,-0.7040630310520624
10,fa464f8958d094809650834c5fd6211f,True,5.945,8.1,0,115744.0,0,0,1239644459,18.9,1.922,14.045,20.822,0.5714285714285714,0.32547305734319465
10,dedbd31150f3411a10b6d1e0dc248018,True,3.3360000000000003,5.3,0,100207.0,0,0,1013400673,13.0,3.1260000000000003,8.636,16.126,0.5923076923076923,0.46446731985613304
18,8810968153c337f6d5e495f331c1d84d,True,20.3,3.3,0,20205.0,0,0,860459089,18.0,22.286,23.6,40.286,0.8166666666666667,0.41418855185424214
18,78aeb98ed2566aaead5670b6a9dadb3d,True,18.698,2.6,0,3274.0,0,0,1884391688,17.7,17.532,21.298000000000002,35.232,0.8531073446327684,0.3954927338782924
18,4b92d932a0e2e5ffcd4fb71610ad10fd,True,23.526999999999997,3.1,0,4272.0,0,0,101414308,12.9,24.676,26.627,37.576,0.7596899224806202,0.2913827975303386
18,85f0e1f468133074506078d4663ed295,True,23.795,3.1,0,4045.0,0,0,1316827140,26.1,18.975,26.895000000000003,45.075,0.8812260536398467,0.4033277870216306
18,914fec53f9953daaf607265952af66bf,True,16.764,21.3,0,204412.0,0,0,925836541,15.5,9.953,38.064,25.453,-0.37419354838709684,-0.49546222449220134
18,fdf9485598ea83ec38b516b9e8352381,True,23.987,2.8,0,5153.0,0,0,344518559,22.8,21.302,26.787,44.102000000000004,0.8771929824561403,0.39261257992834797
18,e99f3357ba88d028b0b6a71ba3e654f0,True,19.188,3.5,0,11787.0,0,0,318880298,16.1,12.869000000000002,22.688,28.969,0.782608695652174,0.21681797783837903
18,6921f5e105773734c046fd35fe5725af,True,14.436,49.1,0,758616.0,0,0,744323180,28.0,3.017,63.536,31.017,-0.7535714285714287,-1.0484250572266824
18,658526d77ec075ed1c6a89699e4fa2b1,True,22.482,6.0,0,7271.0,0,0,1056092832,25.0,23.986,28.482,48.986000000000004,0.76,0.41856857061201164
18,12bd279c3a93f3543671d028c9e2406a,True,22.178,3.7,0,19061.0,0,0,1217690403,24.4,22.019,25.878,46.419,0.8483606557377049,0.4425127641698442
18,c233626748eab01a56411b336d2afb3d,True,21.451999999999998,2.5,0,5624.0,0,0,344518559,16.3,19.14,23.951999999999998,35.44,0.8466257668711656,0.3241534988713318
18,08d49b98416dbb100bfa4234428efd51,True,17.169,51.7,0,499228.0,0,0,744323180,22.5,4.2860000000000005,68.869,26.786,-1.297777777777778,-1.571081908459643
18,2cad957abfd0cfe85a4724cf1c30284f,True,6.787000000000001,33.9,0,226820.0,0,0,1414625528,19.0,5.17,40.687,24.17,-0.7842105263157894,-0.6833678113363671
18,2a7d958c571bc1d192ec3f57ff997166,True,13.796,15.8,0,19471.0,0,0,1316827140,15.3,5.1160000000000005,29.596,20.416,-0.032679738562091505,-0.44964733542319746
10,7da0f09e59fd1d248970ae88a75912c8,True,6.249,2.9,0,14058.0,0,0,68988760,24.6,4.9030000000000005,9.149,29.503,0.8821138211382115,0.6898959427854794
10,9d4cfc69fbc664128a92acf38137396d,True,8.123,5.9,0,59226.0,0,0,1284241217,14.3,2.728,14.023,17.028000000000002,0.5874125874125874,0.17647404275311265
10,105d34124fab57f00515544c0f2da489,True,6.136,28.7,0,480006.0,0,0,78986094,20.2,1.295,34.836,21.494999999999997,-0.42079207920792083,-0.6206559665038383
10,207044a391f7f8acbcf093b9854deb41,True,15.259,5.6,0,6436.0,0,0,250908876,12.2,11.933,20.859,24.133,0.5409836065573771,0.1356648572494094
10,f003f3d04aa0d6769dd38c6c82fd6273,True,13.45,12.0,0,16974.0,0,0,1674225298,13.5,7.134,25.45,20.634,0.1111111111111111,-0.23340118251429673
18,fcbf8390845e39ed10745412eca257bd,True,21.596,20.2,0,20078.0,0,0,101414308,12.8,8.238,41.796,21.038,-0.5781249999999999,-0.9866907500712995
10,c566f50a9fc59f8b82a803c252c742e2,True,6.6610000000000005,18.2,0,328507.0,0,0,2046511596,13.1,3.627,24.861,16.727,-0.3893129770992366,-0.4862796676032762
10,6937eb46592d28a8b74d2ec4429ab008,True,19.721,11.2,0,18182.0,0,0,2046511596,12.9,9.646,30.921,22.546,0.13178294573643418,-0.37146278719063247
10,6d0100641f5f8fc5784cc890904ff4d5,True,10.151,9.7,0,56941.0,0,0,1619106388,16.4,3.801,19.851,20.201,0.40853658536585363,0.017325874956685382
10,12cd85de34d5d964f776f9941da86653,True,5.2829999999999995,19.8,0,419434.0,0,0,1100722462,18.9,3.85,25.083,22.75,-0.047619047619047734,-0.10254945054945049
10,9effcb03709b17aeea55bedd6ad68cbd,True,5.78,21.4,0,294138.0,0,0,250908876,19.5,3.182,27.18,22.682,-0.09743589743589737,-0.19830702759897723
10,1fb7821f596b4381a73b1556ac1f59f5,True,7.61,6.6,0,43753.0,0,0,1607214242,20.9,3.039,14.21,23.939,0.6842105263157895,0.40640795354860265
10,6781ab9a96fb3bc36d91327e8fc3dbd9,True,2.7769999999999997,33.4,0,698111.0,0,0,1442484079,12.4,3.252,36.177,15.652000000000001,-1.6935483870967742,-1.3113340148223867
