Streamliner,Instance,solverTimeDelta,solverNodeDelta
79,fe57aa3e3a0086c7fbf6c8639d5c2276.param,4.399999999999999,0.0
148,2de5440922dc5f75189302c7c0b293ac.param,8.900000000000006,0.0
132,9910dbe3d6c03e1351d74271dced8bf7.param,9.600000000000009,0.0
94,472ad09fcae41d6e596bb9f9299a78f4.param,5.0,0.0
52,2de5440922dc5f75189302c7c0b293ac.param,7.800000000000012,0.0
89,ae7efad04429b09e42a354e7feec7e56.param,3.199999999999996,0.0
89,7868359c5d96fdfb5d3d415c5bf590d7.param,3.9000000000000057,0.0
71-51,d903ee46a69f5ad5b0f5620e4d894c8e.param,5.700000000000002,0.0
53,6f166f491fe8364cd5f0565bcd718419.param,5.599999999999994,0.0
95,5be6c2c9504edb35e4d1c4a4dafb187a.param,4.5,0.0
152-98,ae7efad04429b09e42a354e7feec7e56.param,3.0,0.0
152-98,6f166f491fe8364cd5f0565bcd718419.param,11.199999999999996,0.0
152-98,7e4f171be1be72e324f0fad02febaf7f.param,6.1000000000000085,0.0
Original,2de5440922dc5f75189302c7c0b293ac.param,3.3999999999999915,0.0
129,ae7efad04429b09e42a354e7feec7e56.param,2.5999999999999943,0.0
129,e54a6c0e9f3f6a292cfd775c5daf0171.param,0.09999999999999987,0.0
79,6b5bb556a078f91f66181160b2fea86d.param,0.0,20539.0
148,6b5bb556a078f91f66181160b2fea86d.param,0.19999999999998863,93469.0
148,aa976003cd6a208f1f6b03925b00d34e.param,10.799999999999997,0.0
148,69b130fb6464fe53efe7d5cb6a0ecc7e.param,4.5,0.0
132,a001034199d2a4c4e28bc5bc63d5cb84.param,2.599999999999998,0.0
132,6f166f491fe8364cd5f0565bcd718419.param,2.0,0.0
132,ff8c523ae4d0553d5dafc86a9c8e3741.param,10.299999999999997,0.0
132,835006a1af7706381dee45e5bc5915fe.param,6.099999999999994,0.0
94,c2a447ad73713e2956923bf17b871e01.param,10.0,0.0
94,a3e428f26262a7aa17945f93a4e61d73.param,3.799999999999997,0.0
94,75ccd130dba99d083bce1f378c545da3.param,0.10000000000000009,0.0
94,5be6c2c9504edb35e4d1c4a4dafb187a.param,10.299999999999997,0.0
94,69b130fb6464fe53efe7d5cb6a0ecc7e.param,5.599999999999994,0.0
52,d903ee46a69f5ad5b0f5620e4d894c8e.param,5.6000000000000085,0.0
94-131,c38d2787a84c065ecea553f5083191f9.param,4.5,0.0
71-51,c2a447ad73713e2956923bf17b871e01.param,6.200000000000003,0.0
71-51,d903ee46a69f5ad5b0f5620e4d894c8e.param,5.700000000000003,0.0
48,c2a447ad73713e2956923bf17b871e01.param,6.0,0.0
48,472ad09fcae41d6e596bb9f9299a78f4.param,7.0,0.0
48,fe57aa3e3a0086c7fbf6c8639d5c2276.param,3.8000000000000114,0.0
95,6b5bb556a078f91f66181160b2fea86d.param,0.0999999999999659,35497.0
95,69b130fb6464fe53efe7d5cb6a0ecc7e.param,2.8999999999999986,0.0
47-132,2de5440922dc5f75189302c7c0b293ac.param,0.0999999999999659,73734.0
47-132,c2a447ad73713e2956923bf17b871e01.param,6.599999999999994,0.0
80-103,ae7efad04429b09e42a354e7feec7e56.param,1.7000000000000028,0.0
80-103,a3e428f26262a7aa17945f93a4e61d73.param,5.099999999999994,0.0
80-103,aa976003cd6a208f1f6b03925b00d34e.param,7.199999999999996,0.0
152-98,f7900c1a60c7fc2bca4620fffad9bc8d.param,1.5,0.0
152-98,5be6c2c9504edb35e4d1c4a4dafb187a.param,3.5,0.0
152-98,e541e772ec47412cdbce0738c606ec4d.param,2.6999999999999993,0.0
