Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
51,34fb3444a4a9354a1c3a0b887c4bbbf0,False,,301.0,,,1,,1549016324,15.3,179.195,,194.495,-inf,-inf
51,fe57aa3e3a0086c7fbf6c8639d5c2276,False,,301.0,,,1,,1549016324,77.9,23.388,,101.28800000000001,-inf,-inf
51,f003919a5e8ec28bfed0d8bbeafa95a0,False,,301.0,,,1,,1907490018,17.0,65.143,,82.143,-inf,-inf
51,06c666c4757cdf97784e97942b9cb358,False,,301.0,,,1,,594091929,40.3,12.23,,52.53,-inf,-inf
51,a3e428f26262a7aa17945f93a4e61d73,False,,301.0,,,1,,50228376,71.2,17.782,,88.982,-inf,-inf
51,aa976003cd6a208f1f6b03925b00d34e,False,,301.0,,,1,,1330518343,67.9,23.052,,90.952,-inf,-inf
51,c38d2787a84c065ecea553f5083191f9,False,,301.0,,,1,,1907490018,63.2,17.641,,80.84100000000001,-inf,-inf
51,ff8c523ae4d0553d5dafc86a9c8e3741,False,,301.0,,,1,,564192234,64.2,8.855,,73.055,-inf,-inf
51,818eaf3f4413130cf813d2a66630d10a,False,,301.0,,,1,,1552387955,15.7,255.853,,271.553,-inf,-inf
51,67541df80cecbe80363c60d272cba5ac,False,,301.0,,,1,,1762763010,16.0,207.016,,223.016,-inf,-inf
51,bc8471991f245c4d06fc8b1e6ba55f83,False,,301.0,,,1,,1330518343,54.2,8.281,,62.481,-inf,-inf
51,f7900c1a60c7fc2bca4620fffad9bc8d,False,,301.0,,,1,,1330518343,27.1,6.3039999999999985,,33.403999999999996,-inf,-inf
51,c2a447ad73713e2956923bf17b871e01,False,,301.0,,,1,,50228376,106.2,26.249,,132.449,-inf,-inf
51,7868359c5d96fdfb5d3d415c5bf590d7,False,,301.0,,,1,,2041897378,51.0,17.749000000000006,,68.74900000000001,-inf,-inf
51,61943a3a3d9ae3cb6b3b7e1076a2e7d4,False,,301.0,,,1,,1330518343,14.4,73.991,,88.391,-inf,-inf
