Streamliner,Instance,SolverSatisfiable,SavileRowTotalTime,SolverSolveTime,SolverTimeOut,SolverNodes,SavileRowMemOut,SavileRowTimeOut,BaseModelTime,Seed,RunId
3,fd8e182211e113a37d20fa9f04168bb7.param,,,,,,1,,300,1243609504,
3,b24c9115865a44e5e7f0fa89d58300de.param,,,,,,1,,300,1459165846,
3,925b8783453f49195e2bf0ce0f28832d.param,True,77.7,10.5,0.0,590500.0,0,0.0,300,997757464,
3,52fcfe1dc48355c011914b91714d24f5.param,,,,,,1,,300,2037997086,
3,d9907ae109c86ad7b860d07019e19b1e.param,,,,,,1,,300,338549758,
3,8057d048d360ffad4b197e386d270b6d.param,,,,,,1,,300,1459165846,
3,84683c9c544653d3e75294f2ece0ef71.param,,,,,,1,,300,625519950,
3,aeedb9dfe48551e5c25e1e73cec7b0a5.param,,,,,,1,,300,707724820,
3,fec773640580b27898632fdeff68088e.param,True,84.015,86.5,0.0,5577388.0,0,0.0,300,1459165846,
3,da6eb90be3db493a9e0a9214504c7469.param,True,97.258,114.0,0.0,2251372.0,0,0.0,300,1422075734,
3,fee67975150af79a6bb93e5a3083e201.param,True,220.502,14.7,0.0,42287.0,0,0.0,300,1243609504,
3,68cbf36d52a5c0a2cc4416ad768ce05a.param,True,254.66099999999997,18.2,0.0,62037.0,0,0.0,300,1719697662,
3,45f43cdc113cb2f8d431c844d485aacc.param,True,259.382,17.6,0.0,67576.0,0,0.0,300,1514600599,
3,4d2df5c20fa9361a54240a386ef83fa3.param,True,129.05,144.9,0.0,3027196.0,0,0.0,300,1949092726,
3,497d3b1d693eca8b0358c66ae9eb4461.param,False,,,,,0,1.0,300,1949092726,
3,98b5e0e14ea46bd71e0e0de788b6f6e9.param,False,,,,,0,1.0,300,1422075734,
3,64c953a6fae4154e70c6db9c5e01e091.param,False,,,,,0,1.0,300,526627491,
3,11d2887c324233992c75d8e90d68f52d.param,False,,,,,0,1.0,300,2037997086,
3,f62c5dee3c93c6affee6c086ba239c0a.param,False,,,,,0,1.0,300,1422075734,
3,86d3d37918cdc4d2230432ef1413f78b.param,False,,,,,0,1.0,300,1459165846,
3,a50386361dc470c7438b6327453de6ab.param,False,,,,,0,1.0,300,1949092726,
3,7fe95d04e32f5e433c9da065985a605d.param,False,,,,,0,1.0,300,1719697662,
3,236a91ee40255b3dcadc1b65a5d91217.param,True,280.07599999999996,17.8,0.0,149846.0,0,0.0,300,2006685547,
3,5db01a0c6cb4cc2b408e1a57f7703df9.param,False,,,,,0,1.0,300,2006685547,
3,767846493bc4d40049a0b375142bce82.param,False,,,,,0,1.0,300,1719697662,
3,8851ff4e855a9eeee64557ce3778b1b0.param,False,,,,,0,1.0,300,319782479,
3,ecaff57b20253186c144ecba08b2c71c.param,False,,,,,0,1.0,300,2006685547,
3,ac75b32a3130cde8497cf66be80a6209.param,True,291.976,18.1,0.0,88456.0,0,0.0,300,319782479,
3,feee7e729bb74b9c03b28310fd479ea9.param,True,291.904,18.0,0.0,101506.0,0,0.0,300,338549758,
3,f3c4489357706de4a4497efd4ee07e60.param,True,298.928,22.5,0.0,50022.0,0,0.0,300,2006685547,
3,ae834dcb73ec555a6f75f7cd992e95b8.param,True,230.053,19.2,0.0,92586.0,0,0.0,300,1459165846,
3,e8ced639e1f309d8b49035262308d929.param,True,199.24200000000002,17.2,0.0,92598.0,0,0.0,300,2037997086,
3,00b14d141ef8a02f8f1068e0c1ac7885.param,True,252.58599999999998,18.6,0.0,188979.0,0,0.0,300,1459165846,
3,9b485fd362b9c53450b3df370ca4cce0.param,True,211.938,18.8,0.0,132540.0,0,0.0,300,1747427389,
3,ea2cef97f85f12bc2180f14afe6f5b72.param,True,216.66099999999997,18.9,0.0,74092.0,0,0.0,300,1747427389,
3,9c9e544649cd82060f4f16e8897b0800.param,True,29.13,42.0,0.0,142815.0,0,0.0,300,407156352,
3,e71d2396fb37c81c742db55477e8eb6b.param,True,71.998,16.7,0.0,5525.0,0,0.0,300,961237644,
3,57755f514ba564afd2a69010a548aaf9.param,True,71.361,16.8,0.0,9737.0,0,0.0,300,961237644,
3,93e36b42bc0a74b4ffe12954eb12ca48.param,True,77.911,16.3,0.0,14959.0,0,0.0,300,961237644,
3,f81d9eb2fcfa461f358ac755a95f0e2b.param,True,76.98,17.9,0.0,12508.0,0,0.0,300,961237644,
3,f49cca23e53bc0a0512ef9c9370cb567.param,True,83.669,16.8,0.0,9842.0,0,0.0,300,961237644,
3,9194f39e2605b43c597159691c259a09.param,True,69.229,16.4,0.0,11706.0,0,0.0,300,9401649,
3,3f9b3b2106006991526c595defc267a9.param,True,82.446,19.8,0.0,31628.0,0,0.0,300,9401649,
3,120b25d3704ae82182c44dadf44ecf46.param,True,104.501,18.0,0.0,8824.0,0,0.0,300,1349410777,
3,2aedeb6e516b3a169086253b7af549d9.param,True,87.155,15.2,0.0,36162.0,0,0.0,300,9401649,
3,303a1377ff9309311c486762b40b754c.param,True,88.848,17.2,0.0,18662.0,0,0.0,300,1845819539,
3,ebc344a680623374e24b862884328516.param,True,94.5,16.1,0.0,16164.0,0,0.0,300,859769041,
3,2e1cce6106aa17ad4992351971d64569.param,True,85.073,14.8,0.0,10261.0,0,0.0,300,9401649,
3,fca046c311078c65112465f1a442bfe6.param,True,89.366,21.0,0.0,14081.0,0,0.0,300,18114540,
3,004e247a2657a80880010f347b2558d2.param,True,101.713,18.0,0.0,16406.0,0,0.0,300,1349410777,
3,1e27b9bf2fa02bf86a7ec4a9ed56d5ab.param,True,100.471,17.7,0.0,15025.0,0,0.0,300,1389946590,
3,7051989378947415649f4d802d11c17c.param,True,81.487,17.9,0.0,10082.0,0,0.0,300,9401649,
3,9f0e3bab7adbd207a042eaa8885e9827.param,True,74.846,17.6,0.0,14729.0,0,0.0,300,9401649,
3,7e962dbbb3afe4e51d7adce914a574f4.param,True,238.90400000000002,20.5,0.0,133328.0,0,0.0,300,120618560,
3,167f4ff9e3c51d9a6b63ab28d67aa552.param,True,77.372,20.2,0.0,13677.0,0,0.0,300,1833466120,
3,289b81fdcd7a010a25db1ced285dcad3.param,False,,,,,0,1.0,300,2037997086,
3,c7a1479e94a5c09095490172b7e3a55c.param,True,77.949,18.5,0.0,13995.0,0,0.0,300,769297980,
3,9662ab925e647efa30fe41af417d2b43.param,True,84.469,18.5,0.0,11572.0,0,0.0,300,9401649,
3,8003d7943865ac97bf6eec0f8cf55fd6.param,True,255.04,20.4,0.0,127666.0,0,0.0,300,997757464,
3,2f3734a8984c0aa5ad836bb153d7c5f9.param,True,89.76,18.1,0.0,10245.0,0,0.0,300,1415725536,
3,ba9c3f3686f9ec9d95ca59fbd84dad32.param,True,175.25,19.2,0.0,129543.0,0,0.0,300,2006685547,
3,1039c780420a5705dc6f73c715a203df.param,True,154.82,21.1,0.0,17287.0,0,0.0,300,961237644,
3,a3ae43f5ba62091748442e840a196e90.param,True,66.365,18.4,0.0,12144.0,0,0.0,300,262477543,
3,fbef23b119d4c6c8ab6a16a6d3a42acb.param,True,85.16,20.4,0.0,7754.0,0,0.0,300,262477543,
3,bf2d3dc9cbd53c460931458e2fe80c99.param,True,20.468,70.9,0.0,3150870.0,0,0.0,300,2124985527,
3,71cfe3b505d0bb01d3cf339037818a91.param,True,78.988,20.5,0.0,11628.0,0,0.0,300,1762183101,
3,49d55507078e39d2ef24a88e789288e9.param,True,85.553,20.4,0.0,9987.0,0,0.0,300,1570131427,
3,4ab3708ed772d73240ded4bca3877f6a.param,True,77.727,15.5,0.0,35474.0,0,0.0,300,1007545220,
3,9cff9b79dfcc4d7dbc4f6ac83957553e.param,True,89.50399999999998,18.9,0.0,21775.0,0,0.0,300,464307573,
3,d7ad04657c44391a56a7cd0f985b5dd4.param,True,266.822,19.4,0.0,152767.0,0,0.0,300,1243609504,
3,216e9835c359cc729ce57ee57bbad1f9.param,True,82.075,22.1,0.0,48658.0,0,0.0,300,1902871736,
3,2ee735260a6d1e54159cffd3a091afa1.param,True,231.222,28.1,0.0,180654.0,0,0.0,300,2006685547,
3,11e5c89cd1d4a312b5c330441ec94eed.param,True,87.794,31.0,0.0,1037792.0,0,0.0,300,1902871736,
3,ae7e3d6a24bae55c8f400f9ac201339b.param,True,102.514,21.0,0.0,24451.0,0,0.0,300,1902871736,
3,e00e9c1229503428a9da3116c87424a8.param,True,94.70299999999999,21.2,0.0,74111.0,0,0.0,300,2124985527,
3,39484a6796294443ef680764028f6f54.param,True,97.92200000000001,17.5,0.0,53128.0,0,0.0,300,1644943262,
3,64c49d8e2d7b2679f277aee5deaa5a04.param,True,297.034,22.4,0.0,195734.0,0,0.0,300,338549758,
3,b53d533b59eb19b5de466cd7b9345a1e.param,True,122.959,23.8,0.0,33986.0,0,0.0,300,464307573,
3,1dc33abe496707b0c59f574fa8ad478c.param,True,121.82,21.5,0.0,34390.0,0,0.0,300,464307573,
3,ea56a7476ed9516f1fe4e159eef68e49.param,True,72.788,18.8,0.0,12887.0,0,0.0,300,1217390015,
3,aadb47cf553fd0f3fca7698ddfbf2aac.param,True,95.49700000000001,20.3,0.0,62525.0,0,0.0,300,1844253989,
3,e9c7e36ab9b9d9db239962c7b55a062c.param,True,89.811,17.6,0.0,12358.0,0,0.0,300,2070961743,
3,8e4d9468d544995bbf840467f250aece.param,True,81.84100000000002,18.3,0.0,39766.0,0,0.0,300,585091262,
3,c763778f76f4ce092b3a46a0eb1cbcc9.param,True,73.423,16.8,0.0,49376.0,0,0.0,300,35506082,
3,30d8dfda6c9c022d6900833d2a32a37e.param,True,79.863,14.7,0.0,13842.0,0,0.0,300,35506082,
3,363b4afb8208163699076c0310de4f9a.param,True,85.839,20.6,0.0,37802.0,0,0.0,300,585091262,
3,aac9cbbdc85a02b6e70df15a2c0e9962.param,True,72.507,18.2,0.0,61298.0,0,0.0,300,35506082,
3,4e33f3457e988bad155441d4fc889eb6.param,True,98.381,21.0,0.0,36505.0,0,0.0,300,1217390015,
3,5e179ea386a8207728c3bcee054c9be7.param,True,76.506,16.6,0.0,35627.0,0,0.0,300,35506082,
3,0d232eeefb5b9e6d85ed55da12bba991.param,True,81.202,22.2,0.0,31696.0,0,0.0,300,35506082,
3,3a87642fdda14eb1faf62685bed67543.param,True,124.521,22.8,0.0,32996.0,0,0.0,300,1217390015,
3,1c6d20e3e954fb4f9308e89e19ebb1ed.param,True,125.051,25.0,0.0,43732.0,0,0.0,300,585091262,
3,5e2a1e707b0df228e0aab443d373342a.param,True,87.059,27.2,0.0,74433.0,0,0.0,300,35506082,
3,062c6739d91e193cf2f64d712f9587a0.param,True,75.23899999999998,17.7,0.0,39641.0,0,0.0,300,2124985527,
3,8cb05899c01f1dc6ce6f0ecab51b545c.param,True,142.654,23.7,0.0,88275.0,0,0.0,300,1217390015,
3,206d607961774cdb6139900d0795837b.param,True,93.09700000000001,21.4,0.0,36120.0,0,0.0,300,2124985527,
3,f73c0bf1dd3a9f3c959a6569043af29d.param,True,103.81700000000001,21.2,0.0,40662.0,0,0.0,300,2124985527,
3,e4eb2d54bc44e018db34c1b745f314bb.param,True,76.123,17.5,0.0,35993.0,0,0.0,300,840069750,
3,638837e7ed651897400e9a2f118f1b4e.param,True,77.32300000000002,19.8,0.0,23551.0,0,0.0,300,840069750,
3,d2b843b3dbfa5994a1359d5349bc7dab.param,True,75.278,16.1,0.0,30299.0,0,0.0,300,1902871736,
3,8a16e1a01ee7b50481e7f860e2dfaf83.param,True,79.185,17.1,0.0,47985.0,0,0.0,300,1644943262,
3,401d3fc4d1478bc5f9645f7edc6f5904.param,True,78.982,16.3,0.0,30079.0,0,0.0,300,1902871736,
3,7659dc0883ac803858e61108c4d9bffa.param,True,85.646,21.6,0.0,41257.0,0,0.0,300,840069750,
3,d3dd5e045b0a5410944b0caeaa83439e.param,True,237.44099999999997,18.7,0.0,38771.0,0,0.0,300,464307573,
3,6a40010a678d7573cddfbcdc32e008d8.param,True,83.25399999999998,19.0,0.0,35743.0,0,0.0,300,1644943262,
3,ee3f703a6acd3bbb9a7dd5e49da24bad.param,True,124.82700000000001,20.7,0.0,113983.0,0,0.0,300,35506082,
3,4ca8e2b80ad14a92becc32fd0aa7b027.param,True,69.433,17.1,0.0,44968.0,0,0.0,300,464307573,
3,635bb1d97388a0fe55143e8d2f5b6f62.param,True,91.006,21.4,0.0,49457.0,0,0.0,300,1644943262,
3,a385028a74349afc35ce49b903e75f24.param,True,70.725,15.0,0.0,28944.0,0,0.0,300,1007545220,
3,204450f90173f163034c5b65dd54ffd7.param,True,86.301,17.2,0.0,45228.0,0,0.0,300,1844253989,
3,2bf836229966999b8aace89255dad895.param,True,118.70299999999999,21.1,0.0,84719.0,0,0.0,300,2124985527,
3,7f9ba27e72d31f5122447973964d11a6.param,True,128.014,19.1,0.0,68449.0,0,0.0,300,2124985527,
3,18ce785db22aee1f8157c7d1cf67f3c1.param,True,79.39699999999998,19.2,0.0,81338.0,0,0.0,300,464307573,
3,db5dbb3206ce9eb0fcdeebcfb2d10624.param,False,,,,,0,1.0,300,464307573,
3,c99f4abd3a30347cc6fba2d123bbecad.param,True,83.478,19.7,0.0,30940.0,0,0.0,300,196911426,
3,108749969b94361fcc6227f5c7e8d1f0.param,True,84.46700000000001,18.6,0.0,55933.0,0,0.0,300,196911426,
3,f6cef02bc382946f52cbfbe208f93ddd.param,True,291.327,20.5,0.0,217224.0,0,0.0,300,464307573,
3,43bd23060224c78a6abb9375767b6a8e.param,True,101.833,20.1,0.0,94128.0,0,0.0,300,1926475017,
3,03b78450d6c380c354e0379ca857e498.param,True,69.668,20.3,0.0,35293.0,0,0.0,300,581655125,
3,9b2c73aa656dfc3a6f0993c7c0a7d7aa.param,True,79.327,21.4,0.0,62733.0,0,0.0,300,1249572440,
3,08ae6a48233716fcca01fdeca21008fe.param,True,286.365,20.1,0.0,82639.0,0,0.0,300,2124985527,
3,06b31b4f1c9d57ef0e2780d999ef24a1.param,True,85.135,19.2,0.0,43837.0,0,0.0,300,1249572440,
3,7b00ce9d058790e5d6219622125cb5d7.param,True,75.92699999999998,17.0,0.0,48732.0,0,0.0,300,192716508,
3,bbb7b356ff2935d14524d95a84ebc4e8.param,True,64.082,19.4,0.0,47931.0,0,0.0,300,1164916478,
3,c18e15db768695146233a113421e0269.param,True,90.36,20.4,0.0,101713.0,0,0.0,300,581655125,
12,925b8783453f49195e2bf0ce0f28832d.param,True,32.882,11.3,0.0,506802.0,0,0.0,300,997757464,
3,7df19115048ece6323f1624408b36579.param,True,70.00399999999999,18.7,0.0,45998.0,0,0.0,300,1201101179,
3,af032f1fa232722a5b7c995866a70e24.param,True,106.416,19.5,0.0,63157.0,0,0.0,300,1249572440,
3,a926311740358b28b06c068e7005cc6c.param,True,95.757,19.7,0.0,31479.0,0,0.0,300,192716508,
3,b9f1f508aa8337ba9a08be361c83e81e.param,True,84.961,16.4,0.0,80909.0,0,0.0,300,1201101179,
3,033943cacb8d4dec5c8fb4e91c8df14d.param,True,88.375,17.8,0.0,26079.0,0,0.0,300,1201101179,
12,fec773640580b27898632fdeff68088e.param,True,31.91,14.4,0.0,908000.0,0,0.0,300,1459165846,
3,56f6ac5abd8cf0ecf3ad866947df424b.param,True,91.083,22.1,0.0,72665.0,0,0.0,300,1164916478,
3,19f7635e61f78b2090f3f0ad7e90f5a4.param,True,82.479,20.3,0.0,56341.0,0,0.0,300,471960291,
3,85f73e922691099d894cef237aa865b5.param,True,93.6,16.9,0.0,21204.0,0,0.0,300,976926230,
3,ea734af1a8e58732c3bd8bce6db2c8cb.param,True,95.49600000000001,18.0,0.0,81041.0,0,0.0,300,1201101179,
3,32ab6e13d9cb5415d59125661029429c.param,True,84.12200000000001,19.1,0.0,32524.0,0,0.0,300,1217390015,
3,05c98c4fb91a45a080c7a8038900e23a.param,True,79.381,19.5,0.0,17401.0,0,0.0,300,1644943262,
