Streamliner,Instance,solverTimeDelta,solverNodeDelta
3,4d2df5c20fa9361a54240a386ef83fa3.param,5.200000000000003,0.0
3,9b2c73aa656dfc3a6f0993c7c0a7d7aa.param,0.5999999999999996,0.0
12,beafd2fa26b2c42e910669e0bc2c63fb.param,14.5,0.0
10,11e5c89cd1d4a312b5c330441ec94eed.param,1.1000000000000014,0.0
10,19f7635e61f78b2090f3f0ad7e90f5a4.param,1.200000000000001,0.0
10-12,638837e7ed651897400e9a2f118f1b4e.param,0.9000000000000004,0.0
10-12,db5dbb3206ce9eb0fcdeebcfb2d10624.param,2.9000000000000017,0.0
10-20,52fcfe1dc48355c011914b91714d24f5.param,0.9000000000000021,0.0
10-20,497d3b1d693eca8b0358c66ae9eb4461.param,1.1000000000000014,0.0
36-3-26,d2b843b3dbfa5994a1359d5349bc7dab.param,0.5,0.0
36-3-26,4e33f3457e988bad155441d4fc889eb6.param,1.1000000000000014,0.0
3-28,9b485fd362b9c53450b3df370ca4cce0.param,0.7999999999999989,0.0
3-28,beafd2fa26b2c42e910669e0bc2c63fb.param,18.5,0.0
3-26-35,401d3fc4d1478bc5f9645f7edc6f5904.param,0.9000000000000004,0.0
3-26-35,af032f1fa232722a5b7c995866a70e24.param,0.8000000000000007,0.0
3-26-35,108749969b94361fcc6227f5c7e8d1f0.param,0.6999999999999993,0.0
3-26-35,6d48be813c24b61bdfbb67b06a0c6e94.param,0.7000000000000011,0.0
18,2f3734a8984c0aa5ad836bb153d7c5f9.param,0.5999999999999996,0.0
18,bf2d3dc9cbd53c460931458e2fe80c99.param,2.9000000000000017,0.0
26,64c953a6fae4154e70c6db9c5e01e091.param,0.8000000000000007,0.0
17-35,108749969b94361fcc6227f5c7e8d1f0.param,0.5999999999999996,0.0
27,bb1235d8608d1a4acb933ef315479f9a.param,1.0,0.0
27,2f3734a8984c0aa5ad836bb153d7c5f9.param,0.6999999999999993,0.0
11,43bd23060224c78a6abb9375767b6a8e.param,1.7000000000000028,0.0
11,9194f39e2605b43c597159691c259a09.param,1.4000000000000004,0.0
11,aeedb9dfe48551e5c25e1e73cec7b0a5.param,1.5,0.0
18-27-3,56f6ac5abd8cf0ecf3ad866947df424b.param,0.6999999999999993,0.0
4,aadb47cf553fd0f3fca7698ddfbf2aac.param,0.5999999999999996,0.0
4,7f9ba27e72d31f5122447973964d11a6.param,1.3000000000000007,0.0
35-25,64c953a6fae4154e70c6db9c5e01e091.param,0.5999999999999996,0.0
27-17-4,98b5e0e14ea46bd71e0e0de788b6f6e9.param,0.5,0.0
19-26-3,2ee735260a6d1e54159cffd3a091afa1.param,1.1000000000000014,0.0
