instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
016e1f1c850eeda375804de9af40803a,3.00214,8.57683,3.69481,0,0,0,3.32005,1.78432,0.0822994,0,0.108025,0.108025,0.107473,37709.3,104397,204,1310.96,6.42626,2,7.42626,1,35536,0,1.00113,106160,304786,131299,344,0,35088,0,0,35088,408,0.00968032,0,0.988506,0,0,0.987393,0.0114943,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,408,0,0,0,3.00552,2.96552,0.999553,3.10262,3.01932,0.00418737,0,0.102838,0.0905439,1.77636e-15,0,37733.3,37709.9,90,86,1,2,2,0.955556,0,0,35496,0,0.998874,106684,105264,35480.1
0381c895ab6628436fa9f4d03da3cd70,2.99187,8.37527,3.60235,0,0,0,2.88494,1.553,0.0946978,0,0.138775,0.138775,0.138031,19430.7,52674.5,156,974.677,6.24793,2,7.24793,1,18091,0,1.00405,53966,151517,65170.2,228,0,17784,0,0,17784,234,0.012603,0,0.987013,0,0,0.98303,0.012987,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,234,0,0,0,3.004,2.96104,0.999459,2.91372,2.82946,0.0047695,0,0.113306,0.100001,0,0,19260.4,19246,80,76,1,2,2,0.95,0,0,18018,0,0.995965,54126,53352,18008.2
0e5f9c99877a1e10fefed285e150c2a4,3.00289,8.60114,3.69732,0,0,0,3.13237,1.7424,0.0830928,0,0.107504,0.107504,0.106917,51259.3,141572,182,1172.62,6.44294,2,7.44294,1,48119,0,1.00148,143740,413878,177911,522,0,47502,0,0,47502,546,0.0108481,0,0.988636,0,0,0.987178,0.0113636,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,546,0,0,0,3.00733,2.96591,0.999543,3.12432,3.03765,0.00429737,0,0.10088,0.0897034,0,0,51052.2,51019.8,91,87,1,2,2,0.956044,0,0,48048,0,0.998524,144496,142506,48026.1
12e32b5c557bd1eb9844acbab681faa4,3.76153,4.16887,1.18111,0,0,0,4.14466,4.1895,0.420685,0,0.58641,0.58641,0.556226,110259,121645,558,2180.04,3.90689,2,3,1,71649,0,0.999247,151668,298695,84625.4,63000,0,71145,0,0,8370,558,0.879287,0,0.992218,0,0,0.116819,0.0077821,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,558,0,0,0,3.7587,2.10117,0.896566,1.24154,0.543669,0.313276,0,0.584672,0.0657019,0.519892,0,98581.5,73325,18,15,1,2,2,0.125,0,0,71703,0,1.00075,269510,150660,64286.4
13b855a3a7f4ecfe9537d0d850c8363f,3.00964,8.17292,3.44879,0,0,0,2.76043,1.74363,0.0912797,0,0.130875,0.130875,0.129908,33792.4,89388,142,845.496,5.9542,2,6.9542,1,31324,0,1.00042,93462,256009,108030,434,0,30814,0,0,30814,497,0.0138552,0,0.984127,0,0,0.983719,0.015873,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,497,0,0,0,3.01089,2.95238,0.99911,2.64373,2.54,0.00706841,0,0.132547,0.117595,0,0,33814.6,33773.2,66,62,1,2,2,0.939394,0,0,31311,0,0.999585,94274,92442,31283.1
1b10cfa485477050249112b43e92b510,3.0004,8.35757,3.56814,0,0,0,2.83278,1.64484,0.0914668,0,0.129414,0.129414,0.128596,29923.3,80661.4,150,928.474,6.18982,2,7.18982,1,27818,0,1.00245,83011,232491,99258.5,365,0,27375,0,0,27375,375,0.013121,0,0.986486,0,0,0.984075,0.0135135,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,375,0,0,0,3.00775,2.95946,0.99937,2.86274,2.76997,0.00543827,0,0.117479,0.103275,0,0,29722,29696.2,77,73,1,2,2,0.948052,0,0,27750,0,0.997556,83465,82125,27732.5
1e6b4889d01deb13a4d9d74ab2c16c19,3.00855,8.45445,3.6116,0,0,0,3.18853,1.84454,0.0820487,0,0.107561,0.107561,0.106913,46827.4,127920,188,1178.16,6.26679,2,7.26679,1,43988,0,0.999909,131404,371895,158867,462,0,43428,0,0,43428,564,0.0105029,0,0.987179,0,0,0.987269,0.0128205,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,564,0,0,0,3.00827,2.96154,0.999421,2.94114,2.84901,0.00512744,0,0.111546,0.0989591,0,0,47000.1,46962.5,81,77,1,2,2,0.950617,0,0,43992,0,1.00009,132340,130284,43966.5
1f3a442491f2ee4569b8329bae60e5d4,3.0234,7.67765,3.14052,0,0,0,2.29344,1.76498,0.102987,0,0.167043,0.167043,0.165383,27163.3,67529.7,98,525.04,5.35755,2,6.35755,1,24659,0,0.998502,73426,189323,77442,492,0,24108,0,0,24108,588,0.0199521,0,0.97619,0,0,0.977655,0.0238095,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,588,0,0,0,3.01887,2.92857,0.997986,2.16116,2.03026,0.0129925,0,0.180568,0.162326,0,0,27333.3,27258.2,45,41,1,2,2,0.911111,0,0,24696,0,1.0015,74554,72324,24646.3
21bb7ba271f0e8dcd91498fa3ddfdb57,3.00461,8.31375,3.54056,0,0,0,2.93134,1.72409,0.0891305,0,0.125289,0.125289,0.124475,30504.4,82066.7,160,980.685,6.12928,2,7.12928,1,28433,0,1.00116,84866,236385,100669,350,0,28000,0,0,28000,400,0.0123096,0,0.985915,0,0,0.984771,0.0140845,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,400,0,0,0,3.0081,2.95775,0.999316,2.80396,2.70918,0.00577883,0,0.121539,0.106792,1.77636e-15,0,30480.4,30451.7,74,70,1,2,2,0.945946,0,0,28400,0,0.998839,85430,84000,28380.6
26415139cb3c39178464cf03651dc427,3.00152,8.32388,3.54851,0,0,0,2.8334,1.6601,0.0914911,0,0.130095,0.130095,0.129254,29111,78249.2,150,922.462,6.14975,2,7.14975,1,27058,0,1.00215,80741,225228,96015.7,355,0,26625,0,0,26625,375,0.01312,0,0.986111,0,0,0.983997,0.0138889,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,375,0,0,0,3.00796,2.95833,0.999335,2.82366,2.7296,0.00566002,0,0.12019,0.105591,1.77636e-15,0,28957.7,28931.2,75,71,1,2,2,0.946667,0,0,27000,0,0.997856,81215,79875,26982
