Streamliner,Instance,solverTimeDelta,solverNodeDelta
Original,6b23ce8571dec935d7957e7f63a1f0ba.param,0.0,7081.0
5,7a41a29e66b262b4e400bed1b3f7f6b9.param,0.30000000000001137,65645.0
43,2fd8405f246311f044bbc1ace50cb3e1.param,0.10000000000002274,31593.0
43,94dcdce1bb412bc8bd601b23d94b4680.param,0.10000000000002274,16774.0
53,c90071bd793bbfd870aa8a861d9f7845.param,0.0,32353.0
53,07579a1d80d988e6343e60fa8ce059d1.param,0.20000000000004547,24991.0
53,6a2694ede8170369d3d010fb32f2b12a.param,0.10000000000002274,16284.0
23-22,36ca5dce9423be1237a943f1ec16d836.param,0.10000000000002274,20098.0
23-22,0a413c68172af9256bef6fa3f03a51c8.param,0.30000000000001137,25210.0
23-22,7fa61f4124c07fab108b3e527ab232ed.param,0.10000000000002274,53445.0
56-13,c90071bd793bbfd870aa8a861d9f7845.param,0.0,19258.0
56-13,c433cc4f55b98b853f01be62f09fd146.param,0.10000000000002274,24458.0
29-16,cc8ac56d5ee57fc90e8cc8e8c151e411.param,0.19999999999998866,6523.0
29-16,6a2694ede8170369d3d010fb32f2b12a.param,0.30000000000001137,8650.0
16-61,36ca5dce9423be1237a943f1ec16d836.param,0.20000000000004547,21144.0
16-61,6eae871fa0462ea95d98827a7a0abf87.param,0.19999999999998866,25746.0
16-61,7c55f83a940e5c5a28b607388abf1aec.param,0.30000000000001137,14229.0
24-46,c90071bd793bbfd870aa8a861d9f7845.param,0.10000000000002274,25181.0
24-46,9deab317649d12d00a9d093ff7af8554.param,0.0,1330.0
24-46,9cb342ed502b4f2dc0c4f8a7c87b7a87.param,0.0,16197.0
24-46,94dcdce1bb412bc8bd601b23d94b4680.param,0.10000000000002274,37624.0
55,7fa61f4124c07fab108b3e527ab232ed.param,0.30000000000001137,42126.0
55-13,6eae871fa0462ea95d98827a7a0abf87.param,0.10000000000002274,31618.0
13-35,2fd8405f246311f044bbc1ace50cb3e1.param,0.10000000000002274,14483.0
13-35,a7da9adfcc6327513d5ec99f9ed73910.param,0.19999999999998866,15679.0
14-16,6a2694ede8170369d3d010fb32f2b12a.param,0.20000000000004547,28965.0
64-13,6468deabf5adc30b991f7319440a1d28.param,0.19999999999998866,1952.0
64-13,c433cc4f55b98b853f01be62f09fd146.param,0.10000000000002274,22322.0
39-6,7a41a29e66b262b4e400bed1b3f7f6b9.param,0.30000000000001137,8321.0
43-5,7fa61f4124c07fab108b3e527ab232ed.param,0.0999999999999659,8708.0
51-54,8c391f3863170d9b97edc48ea7458c6f.param,0.30000000000001137,18003.0
35,c90071bd793bbfd870aa8a861d9f7845.param,0.5,34026.0
35,8c1189467e9f591eb442ebad2a04bf44.param,0.19999999999998866,4610.0
24,94dcdce1bb412bc8bd601b23d94b4680.param,0.10000000000002274,18984.0
Original,36ca5dce9423be1237a943f1ec16d836.param,0.10000000000002274,20670.0
5,68cd3aa987840f15051819c7ae1c590c.param,0.10000000000002274,36258.0
