Streamliner,Instance,solverTimeDelta,solverNodeDelta
Original,8ac10728fea0f359083a1cb2e69d581f.param,7.200000000000002,0.0
Original,7a334801cb1ca48039f175c1172123c2.param,5.100000000000001,0.0
7,7454a1f1c8b2aff55383d3e10589db54.param,1.0,0.0
7-9,b77b975c4e27c3b31ce3d06a7b58e3b9.param,0.10000000000000007,0.0
7-9,9e9c10b11fff5af9a221885dbd8071f8.param,2.1000000000000014,0.0
7-5,cddbdc1213c48aa5479ce0b970d65161.param,3.3000000000000043,0.0
7-89,d8afee10971f8219ea774eda5513220f.param,0.2999999999999998,0.0
7-89,490ecc20add12490be1fd1ecd45b6c89.param,0.19999999999999973,0.0
7-89,9ddc70f7fe4c9b983ab98e2d0b1aad60.param,0.10000000000000007,0.0
7-89,4f53d0295f4381a219bee8a6d10229ae.param,2.099999999999998,0.0
6,fc4a86d4a1d20c2437590d271f4efd6c.param,2.6999999999999957,0.0
6,cd02595e72a74b730637ebeca9e68438.param,0.0,636669.0
110,a2826a16db8d6d08025d98f66c9b63d1.param,4.799999999999997,0.0
110,7115a05184d5af80c4d14ed51dcb9a26.param,4.600000000000001,0.0
110,3bf4c20b93a6332ed57652841e07856f.param,6.5,0.0
110,31fd46495d8730f92150630e006d0b6f.param,4.100000000000001,0.0
8,78d8710648bff9fd9df8aecca6e61e52.param,3.700000000000003,0.0
8,9c17b79d6de3c06eca3880784306e191.param,0.10000000000002274,369385.0
78,7115a05184d5af80c4d14ed51dcb9a26.param,1.8000000000000007,0.0
78,6500b0c37b2830c08986e554832d6aed.param,2.200000000000003,0.0
120,a792ca758fd8a760fc8492e177eadcd5.param,3.6999999999999957,0.0
120,7a06d20c99fc51e9000fdce84a26dcbc.param,1.9000000000000021,0.0
5,31fd46495d8730f92150630e006d0b6f.param,4.399999999999999,0.0
34-74,2733a730c8c194f0c0a77e8f44a8786d.param,2.8999999999999986,0.0
5-8,12521717913f72970a266a001c7de4bd.param,0.10000000000000007,0.0
5-8,136f68b16f14dcda3f36feacbd20332b.param,0.5,0.0
5-8,616536bb64df66b5c78a980e81bb8f75.param,0.10000000000000007,0.0
5-8,6eb23e8808dcc9cf73ed019ac725bb8b.param,0.0,49231.0
13-3,8a6104bf4d124526b991fc118af2a88d.param,0.9000000000000004,0.0
7-6,70cc85ffdcf9aeb48fd3aa7d1a94f20f.param,19.8,0.0
7-3,0977836b7fc0326adfc1026bef763118.param,1.0,0.0
7-3,305ad9e376548d86456cfc3506682ba2.param,1.8999999999999984,0.0
31-78,7750265f10c5fbe14b711af5ae883974.param,2.0,0.0
7-78,9f155e141230e6597b842428bc1fa768.param,46.30000000000007,0.0
Original,09e84379d5e19c198818830718090904.param,2.1000000000000014,0.0
Original,94d750e0e99ecacce36e9ed95ca3c431.param,1.1000000000000014,0.0
7,7115a05184d5af80c4d14ed51dcb9a26.param,1.0,0.0
7,9476abb29ea2f6c446de7d5d60268856.param,2.0,0.0
7-89,9e9c10b11fff5af9a221885dbd8071f8.param,0.8999999999999986,0.0
78,74b2d20b4846ac72e036a2ba0ec95a08.param,1.099999999999998,0.0
