instance,clusterIndex,isClusterCenter
a15dac42ee0d305df26a570c6c93819d,96077244138,0
6e3ddbf43ba0b55e405100dd0d3a9a53,79012098529,1
3cd4d24a8c9aede8be7ffc304fa4f3eb,52174396554,0
e95c7d33017ece37aeb3282f2efe2fe1,82239401594,0
96f100aff4407454cf914c02a31630f8,10684476025,1
5428122a758fd54a8504716162c2c603,10684476025,0
19c197490c7469af1839cc6f4927155b,87860269449,0
47a55cf4a2f3c5e8d2f70fe9ad7f8d10,52174396554,0
0f5c7c9ea727f3367373f56f7f8fd838,93882776014,0
322631c3e9211d9aa8c9abbf31a23d34,69317307123,0
67e0fa86713312332ca9daac973d0ffa,52174396554,1
8dd125bdc46c7278c64dd80a447322e8,52174396554,0
dff55bbda8b1e5938064748e0517b07a,39674263614,0
9ff46fea4e6881b3419cd19ad7d74cd2,64035948581,1
28b9af12bf6e675e0f6861d4039c5ef1,17392851038,1
8baa12d54442837c6d345121888ae25b,85296996732,0
c2d4875e4349541f240646e0d1d009e1,78486888156,0
626535288302dfeb363d3b852fd2a8ac,87860269449,0
4c3d2acef57b3066fc9965ee30aec6c2,96077244138,0
62214659c4e945ad324601344ea38347,96077244138,0
8713571f855d59de5e01590833ec19bf,79012098529,0
06ef27e32ed1a0647dec046b2bf35808,52174396554,0
86c39639d2aacdb4484f3b7a9629c604,82239401594,0
64c0359e8b59ba11ee329a30936ef3a7,42245867326,0
dd61e00a3573884e85fb8c9f294c5e5d,52174396554,0
99d7af6f98a287e3da4583706748d3be,69317307123,0
7c1fc44f8ffb0422b21344c2f93ce915,23032169245,0
4e1ecf87299424868a50d3b173c70372,52174396554,0
3526528ceb4a321b75825c3024f2246c,64035948581,0
c6c12092a8da77cb54d5de6823e6e9f2,61948474733,1
e294b878575f85cdbcae6f4d3ae999d0,85296996732,0
a83b503e5f6260597de3ba987d903113,78486888156,0
0ca992ad9785040c7a7451d98d3d670a,61688459152,0
3172d1982d7cc1207fff12ce1a464b67,52174396554,0
5aa596c2f7880f54d3dccbf871c406b0,42245867326,0
fa0b4aac82b59a5417128d050a187c98,93882776014,0
02141ee5733f79fa7d073f235e4f2562,69317307123,0
88a9790ab722b86974fe81c9747ab94e,61948474733,0
503013b6777e43ee62acbcdf9ed61746,78486888156,0
4bfb326790212b74a7f114d9a5b296c1,61688459152,0
f119586ee6a08e7650c1a7d9f235db1e,52174396554,0
798540aee92e26ff8d298825e8b6787d,42245867326,0
7216dae1aa83e2ebbc05d04e1fb827d0,93882776014,0
5176d45d2b7d6498d8ad52ab7dae10bc,69317307123,0
7603da4aebdf511724d84f52957c7224,64035948581,0
6de7bf7c8c8ba5cd0e4202423d43d200,4859702304,0
32c74a53add487fa71333611ce4f4c5e,78486888156,0
191e1f723ca93fd1819bc3c9e47dab17,49451855650,0
a02d13a3d3dec7ef49996606582d32b5,61688459152,0
d90e269966817946a6e00666a1198ca8,42245867326,0
495b35f0a34144aa795b0b5a5cf71b98,52174396554,0
619e3d151a92833115aa9b982e778769,94953564196,0
