Streamliner,Instance,solverTimeDelta,solverNodeDelta
Original,8a74cc3f29a25f961104e016098ec3d5.param,1.1999999999999993,0.0
Original,dc3121bc9fafaebdbf1ec39a31037126.param,0.7999999999999989,0.0
Original,59f2956588d9e3f585dbb9eb424b4238.param,6.5,0.0
36,041684fe35fa9a1fed579e53f578968f.param,0.20000000000000015,0.0
36,b3ecc73440900438802cdb675e964bf4.param,1.1000000000000014,0.0
36-9,12e97b25b21f9264e679bb1c7331a989.param,1.200000000000001,0.0
36-9,42a772fce654565ad568219e5d314c54.param,0.5,0.0
36-9,b09da3d6e4f8cb6385e28452ecad01a6.param,3.700000000000003,0.0
36-9,94d03c8eec194ce9948fe413f14c9146.param,9.899999999999991,0.0
36-31,0082147db31ace65286a23514cb3f38a.param,0.0,25209.0
36-31,e365ecf8b19297fa995ebba01d030ec1.param,2.4000000000000004,0.0
36-31,521f28f6894996c396fe0a416f9926a7.param,0.0,24682.0
36-31,b3ecc73440900438802cdb675e964bf4.param,0.0999999999999659,12554.0
36-34,7b39b7fc02099e5c7caf8f3c9e7ed99b.param,0.10000000000002274,28790.0
35-32,5e923e022dc34266f32d930b9fbc5c36.param,0.0999999999999659,23659.0
35-32,30f3ae66a5df1dfede68a0caa141eeb0.param,0.0,24577.0
35-32,4afce8fc66b7533e013f7b1e887cd5ef.param,0.2999999999999545,6973.0
35-6,89065fa6051004231c18ce987fd1e916.param,3.5,0.0
35-6,73aa7f6af69053a878308e46681e8833.param,0.09999999999999988,0.0
35-13,3188fc232ae152596a36a9ba27f80d26.param,7.0,0.0
35-13,2adbb0be356df1a67311c1840209ef3b.param,4.899999999999999,0.0
33,941683e67286101946238d6204646108.param,0.7999999999999989,0.0
3,30f3ae66a5df1dfede68a0caa141eeb0.param,0.0,35442.0
3-5,30f3ae66a5df1dfede68a0caa141eeb0.param,0.0,14164.0
68,b09da3d6e4f8cb6385e28452ecad01a6.param,11.0,0.0
34,5dc882673926b1fe7a62db89d8a4895c.param,14.199999999999989,0.0
6-3,4c2ac8dff6a6cb954615a7a445320fd7.param,0.10000000000002274,4903.0
2-33-36,0740ff5a5622a2237000a4e333d195b8.param,0.09999999999999998,0.0
2-33-36,2ef5eb6059ead90dec75989f2f761624.param,0.09999999999999988,0.0
12-2,a43ae1cce325366c0d2db342865ad699.param,1.1999999999999993,0.0
12-2,a0e8c92c4cabf1e200cb66fcd9e03d16.param,18.80000000000001,0.0
7-2,d4442e22a4bcae1f87e7acd5b3dd5b64.param,0.10000000000002274,1219.0
26,941683e67286101946238d6204646108.param,4.0,0.0
26,8b27ae6f7cf59f1184ae9fa5981aed2e.param,13.199999999999989,0.0
26,475e9a73458c455ad34dad6e75067531.param,9.899999999999991,0.0
34-3,59f2956588d9e3f585dbb9eb424b4238.param,1.5,0.0
34-3,0fcc2fef4dad22393e7d836fc339ed9b.param,0.19999999999999973,0.0
34-3,f74f6ec9236c53d56c569fbc731c9489.param,0.09999999999999998,0.0
2-33,b3ecc73440900438802cdb675e964bf4.param,0.10000000000002274,18305.0
6-7-63,59f2956588d9e3f585dbb9eb424b4238.param,0.2999999999999998,0.0
6-7-63,bc7fae0a750f6bf530392d3f65bb44c2.param,0.39999999999999947,0.0
6-36,32d9d22560516710214f32b283226f20.param,0.10000000000002274,47862.0
Original,0740ff5a5622a2237000a4e333d195b8.param,20.400000000000006,0.0
8,32d9d22560516710214f32b283226f20.param,8.5,0.0
8,7812ab040ebf2e6f0b94dda8d152da06.param,0.7000000000000011,0.0
36,041684fe35fa9a1fed579e53f578968f.param,0.20000000000000018,0.0
36-9,188c72b2cbca130953638ce5e3f62909.param,1.6999999999999993,0.0
36-9,eb3b0c2ab2203751baf75d12f9ab4839.param,1.8000000000000043,0.0
36-31,9987c5697209bdf214a3af00b74b8936.param,0.19999999999998863,12244.0
36-31,d46cc47d34f625b2b89d6821f69f49a5.param,0.19999999999998863,14467.0
36-31,d81d1eac888e5a38599da242ff1290b1.param,1.3000000000000114,24502.0
36-31,46b896dfbbd550910c216096468a047d.param,1.1999999999999993,0.0
36-31,1c18aff4a875aa4126c5d04725928f92.param,0.10000000000002274,32639.0
35-32,922f1e8fff582a736b9123106cc80907.param,0.10000000000002274,14283.0
35-32,c2723027ae84b2e6ccbcd359e62a478a.param,1.599999999999966,11599.0
35-32,f215bd27f1829c222ee7101da584b4a9.param,0.0999999999999659,1272.0
35-13,573e53fda9bf289523d28dc840ba27f5.param,1.9000000000000004,0.0
33,93d0479718f6e4eecfb7d5514511ac27.param,4.200000000000001,0.0
33,d81d1eac888e5a38599da242ff1290b1.param,1.6999999999999993,0.0
3,b3ecc73440900438802cdb675e964bf4.param,0.0,29903.0
57,a40c7fbe6a27cb8aa041e8a619872818.param,41.400000000000034,2716.0
3-5,12e97b25b21f9264e679bb1c7331a989.param,0.10000000000000009,0.0
3-5,28208818379abfe0f0584d607f6840a1.param,0.5999999999999996,0.0
5-35,041684fe35fa9a1fed579e53f578968f.param,0.10000000000000009,0.0
68,d46cc47d34f625b2b89d6821f69f49a5.param,35.099999999999994,0.0
68,3fefe313e8a760773f451e08414ddef5.param,8.900000000000006,0.0
68,32d9d22560516710214f32b283226f20.param,21.700000000000003,0.0
68,d8fb994232f3225ea56d32b249c0af82.param,3.6999999999999993,0.0
34,a43ae1cce325366c0d2db342865ad699.param,4.099999999999998,0.0
34,59f2956588d9e3f585dbb9eb424b4238.param,2.5,0.0
34,8873dd3de872dd1d72f4d23f152fae77.param,10.0,0.0
7-6,12e97b25b21f9264e679bb1c7331a989.param,0.09999999999999987,0.0
7-6,59f2956588d9e3f585dbb9eb424b4238.param,0.19999999999999973,0.0
35-33,041684fe35fa9a1fed579e53f578968f.param,0.10000000000000009,0.0
35-33,73aa7f6af69053a878308e46681e8833.param,0.19999999999999996,0.0
6-3,d4442e22a4bcae1f87e7acd5b3dd5b64.param,1.5,0.0
35-34,0082147db31ace65286a23514cb3f38a.param,0.39999999999999947,0.0
2-33-36,0ce2fcdab4cd132a8a17d50233010275.param,0.10000000000000009,0.0
2-33-36,ab6c55c7b4adb42e858bd024e6e14808.param,0.09999999999999987,0.0
7-2,a0e8c92c4cabf1e200cb66fcd9e03d16.param,0.5,0.0
7-2,0bd3056c0e8420fec0ef5c9d4cd3bedc.param,15.399999999999991,0.0
2-35,b3ecc73440900438802cdb675e964bf4.param,0.10000000000002274,26313.0
26,8cb26338f1930bf129608e1345811a03.param,5.700000000000003,0.0
26,bab99425b9ef472ca9737f50d0e4ff26.param,38.70000000000002,0.0
26,0312df096c7e76823394465e2cc0948e.param,2.8999999999999986,0.0
35-4,eaa47d1795ef755ec76b51a2269dc54c.param,0.40000000000000036,0.0
34-3,0ce2fcdab4cd132a8a17d50233010275.param,0.30000000000000027,0.0
34-3,b3ecc73440900438802cdb675e964bf4.param,0.0,15316.0
35-3,d4442e22a4bcae1f87e7acd5b3dd5b64.param,0.5,4514.0
35-3,2ef5eb6059ead90dec75989f2f761624.param,0.19999999999999973,0.0
24-35,4afce8fc66b7533e013f7b1e887cd5ef.param,0.19999999999999973,0.0
6-36,78354c37ffb0f3247751591f29a053d9.param,2.0,0.0
