feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-64-1239644459,model,0.0,0.0,0.0,5.398,0.0,0.0,42.1,0.0,60444.0,yes,2019-08-20 11:47:14: ../wrapper.py 64 1 1239644459 tuning -n_warehouses_middle 25 -n_warehouses_delta 3 -n_transshipment_middle 10 -n_transshipment_delta 4 -n_customer_middle 8 -n_customer_delta 8 -costWT_range_middle 1 -costWT_range_delta 8 -costTC_range_middle 1 -costTC_range_delta 11 -stock_range_middle 2 -stock_range_delta 18 -demand_range_middle 7 -demand_range_delta 25 -maxCost_middle 31 -maxCost_delta 9,c8af858eb754b0634180e6bd1c6ff281,sat + graded,64,1239644459,1,64,Seed5-irace-5000/chosenInstances
1,inst-182-973248006,model,0.0,0.0,0.0,8.875,0.0,0.0,12.3,0.0,22196.0,yes,2019-08-20 12:51:41: ../wrapper.py 182 1 973248006 tuning -n_warehouses_middle 43 -n_warehouses_delta 7 -n_transshipment_middle 9 -n_transshipment_delta 21 -n_customer_middle 2 -n_customer_delta 1 -costWT_range_middle 1 -costWT_range_delta 1 -costTC_range_middle 5 -costTC_range_delta 11 -stock_range_middle 13 -stock_range_delta 12 -demand_range_middle 2 -demand_range_delta 6 -maxCost_middle 17 -maxCost_delta 1,22dc1fa04ac81205ce58c90a30174c0b,sat + graded,182,973248006,2,679,Seed5-irace-5000/chosenInstances
1,inst-243-973248006,model,0.0,0.0,0.0,37.132,0.0,0.0,11.2,0.0,755.0,yes,2019-08-20 12:52:24: ../wrapper.py 243 1 973248006 tuning -n_warehouses_middle 39 -n_warehouses_delta 2 -n_transshipment_middle 2 -n_transshipment_delta 22 -n_customer_middle 1 -n_customer_delta 2 -costWT_range_middle 2 -costWT_range_delta 12 -costTC_range_middle 8 -costTC_range_delta 2 -stock_range_middle 41 -stock_range_delta 10 -demand_range_middle 49 -demand_range_delta 2 -maxCost_middle 41 -maxCost_delta 5,458a36f220c4cd4ace46d7cbcb70f046,sat + graded,243,973248006,2,740,Seed5-irace-5000/chosenInstances
1,inst-243-1001245471,model,0.0,0.0,0.0,34.935,0.0,0.0,11.0,0.0,253.0,yes,2019-08-20 13:07:51: ../wrapper.py 243 1 1001245471 tuning -n_warehouses_middle 39 -n_warehouses_delta 2 -n_transshipment_middle 2 -n_transshipment_delta 22 -n_customer_middle 1 -n_customer_delta 2 -costWT_range_middle 2 -costWT_range_delta 12 -costTC_range_middle 8 -costTC_range_delta 2 -stock_range_middle 41 -stock_range_delta 10 -demand_range_middle 49 -demand_range_delta 2 -maxCost_middle 41 -maxCost_delta 5,60d0ad0a0b1ac9db0d46e8f68bb96cc8,sat + graded,243,1001245471,2,985,Seed5-irace-5000/chosenInstances
1,inst-299-1013400673,model,0.0,0.0,0.0,30.877,0.0,0.0,15.4,0.0,496.0,yes,2019-08-20 13:31:51: ../wrapper.py 299 1 1013400673 tuning -n_warehouses_middle 26 -n_warehouses_delta 4 -n_transshipment_middle 29 -n_transshipment_delta 2 -n_customer_middle 4 -n_customer_delta 9 -costWT_range_middle 2 -costWT_range_delta 2 -costTC_range_middle 11 -costTC_range_delta 6 -stock_range_middle 38 -stock_range_delta 9 -demand_range_middle 31 -demand_range_delta 1 -maxCost_middle 45 -maxCost_delta 17,c56ce6b75cad91d86ed6d67016799533,sat + graded,299,1013400673,3,1276,Seed5-irace-5000/chosenInstances
1,inst-300-1013400673,model,0.0,0.0,0.0,25.658,0.0,0.0,24.8,0.0,2036.0,yes,2019-08-20 13:31:51: ../wrapper.py 300 1 1013400673 tuning -n_warehouses_middle 17 -n_warehouses_delta 1 -n_transshipment_middle 29 -n_transshipment_delta 1 -n_customer_middle 8 -n_customer_delta 23 -costWT_range_middle 2 -costWT_range_delta 9 -costTC_range_middle 2 -costTC_range_delta 14 -stock_range_middle 40 -stock_range_delta 7 -demand_range_middle 46 -demand_range_delta 2 -maxCost_middle 13 -maxCost_delta 4,c5f2d13c485d3439849dec724db95f4d,sat + graded,300,1013400673,3,1277,Seed5-irace-5000/chosenInstances
1,inst-337-1013400673,model,0.0,0.0,0.0,153.892,0.0,0.0,15.6,0.0,4858.0,yes,2019-08-20 13:32:23: ../wrapper.py 337 1 1013400673 tuning -n_warehouses_middle 49 -n_warehouses_delta 4 -n_transshipment_middle 37 -n_transshipment_delta 2 -n_customer_middle 14 -n_customer_delta 9 -costWT_range_middle 4 -costWT_range_delta 13 -costTC_range_middle 2 -costTC_range_delta 13 -stock_range_middle 24 -stock_range_delta 15 -demand_range_middle 3 -demand_range_delta 1 -maxCost_middle 29 -maxCost_delta 7,2fb60ba3a38a98ad7dbce6b8b279c535,sat + graded,337,1013400673,3,1314,Seed5-irace-5000/chosenInstances
1,inst-368-1013400673,model,0.0,0.0,0.0,8.392999999999999,0.0,0.0,59.3,0.0,54687.0,yes,2019-08-20 13:33:02: ../wrapper.py 368 1 1013400673 tuning -n_warehouses_middle 21 -n_warehouses_delta 3 -n_transshipment_middle 16 -n_transshipment_delta 2 -n_customer_middle 20 -n_customer_delta 13 -costWT_range_middle 1 -costWT_range_delta 1 -costTC_range_middle 1 -costTC_range_delta 11 -stock_range_middle 27 -stock_range_delta 3 -demand_range_middle 18 -demand_range_delta 1 -maxCost_middle 17 -maxCost_delta 3,ab8cda2a220790a201bb087273030054,sat + graded,368,1013400673,3,1345,Seed5-irace-5000/chosenInstances
1,inst-262-973248006,model,0.0,0.0,0.0,19.012999999999998,0.0,0.0,16.4,0.0,32918.0,yes,2019-08-20 13:39:38: ../wrapper.py 262 1 973248006 tuning -n_warehouses_middle 14 -n_warehouses_delta 13 -n_transshipment_middle 44 -n_transshipment_delta 1 -n_customer_middle 8 -n_customer_delta 2 -costWT_range_middle 1 -costWT_range_delta 3 -costTC_range_middle 3 -costTC_range_delta 1 -stock_range_middle 7 -stock_range_delta 2 -demand_range_middle 5 -demand_range_delta 9 -maxCost_middle 42 -maxCost_delta 4,eb338078f40872ab21ae3b3d97629ed2,sat + graded,262,973248006,3,1355,Seed5-irace-5000/chosenInstances
1,inst-294-973248006,model,0.0,0.0,0.0,8.972000000000001,0.0,0.0,56.5,0.0,76539.0,yes,2019-08-20 13:39:38: ../wrapper.py 294 1 973248006 tuning -n_warehouses_middle 4 -n_warehouses_delta 19 -n_transshipment_middle 23 -n_transshipment_delta 2 -n_customer_middle 9 -n_customer_delta 1 -costWT_range_middle 1 -costWT_range_delta 5 -costTC_range_middle 2 -costTC_range_delta 1 -stock_range_middle 23 -stock_range_delta 5 -demand_range_middle 20 -demand_range_delta 16 -maxCost_middle 33 -maxCost_delta 3,0eae2573ffcb4316af97463c32e5bf21,sat + graded,294,973248006,3,1387,Seed5-irace-5000/chosenInstances
