feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,configurationId,configurationSeed,type,iteration,runId,directory
1,inst-2-581967781,model,0.0,0.0,0.0,11.65,0.0,0.0,16.4,0.0,39941.0,yes,2022-08-23 15:18:06: ../wrapper.py 2 1 581967781 tuning -deck_width_tuned 49 -deck_length_tuned 35 -n_containers_delta 18 -n_classes_tuned 10 -coverage_max 39,4ab0944e184821eb0ce0b13dd1b88bf5,42.816472530365,2,581967781,sat + graded,1,2,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-6-581967781,model,0.0,0.0,0.0,11.166,0.0,0.0,11.9,0.0,11145.0,yes,2022-08-23 15:18:06: ../wrapper.py 6 1 581967781 tuning -deck_width_tuned 17 -deck_length_tuned 79 -n_containers_delta 19 -n_classes_tuned 6 -coverage_max 11,0cf399a0f4e1914a4e118b681d00fb79,37.8437986373901,6,581967781,sat + graded,1,6,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-11-581967781,model,0.0,0.0,0.0,10.202,0.0,0.0,46.6,0.0,53256.0,yes,2022-08-23 15:18:06: ../wrapper.py 11 1 581967781 tuning -deck_width_tuned 29 -deck_length_tuned 75 -n_containers_delta 13 -n_classes_tuned 6 -coverage_max 89,a6ff3d3a144efaef58d6ecfb396277bc,75.1899712085724,11,581967781,sat + graded,1,11,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-23-581967781,model,0.0,0.0,0.0,7.738,0.0,0.0,92.5,0.0,172708.0,yes,2022-08-23 15:18:06: ../wrapper.py 23 1 581967781 tuning -deck_width_tuned 85 -deck_length_tuned 54 -n_containers_delta 10 -n_classes_tuned 10 -coverage_max 85,386ef795b0e70ac089d3b521b0cbbde8,125.523150682449,23,581967781,sat + graded,1,23,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-33-581967781,model,0.0,0.0,0.0,9.04,0.0,0.0,91.3,0.0,211668.0,yes,2022-08-23 15:18:23: ../wrapper.py 33 1 581967781 tuning -deck_width_tuned 50 -deck_length_tuned 30 -n_containers_delta 20 -n_classes_tuned 7 -coverage_max 79,3c5ed6e9d5efe0ba38770da55844b137,117.149785995483,33,581967781,sat + graded,1,33,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-34-581967781,model,0.0,0.0,0.0,12.327,0.0,0.0,41.5,0.0,42404.0,yes,2022-08-23 15:18:23: ../wrapper.py 34 1 581967781 tuning -deck_width_tuned 23 -deck_length_tuned 94 -n_containers_delta 18 -n_classes_tuned 10 -coverage_max 45,90e542b9941249c7a6fce900f8e75464,70.8706150054932,34,581967781,sat + graded,1,34,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-38-581967781,model,0.0,0.0,0.0,9.204,0.0,0.0,10.1,0.0,10219.0,yes,2022-08-23 15:18:25: ../wrapper.py 38 1 581967781 tuning -deck_width_tuned 36 -deck_length_tuned 31 -n_containers_delta 18 -n_classes_tuned 10 -coverage_max 54,adde7f27e2d6a83c25debca81ce34bf6,32.9539957046509,38,581967781,sat + graded,1,38,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-42-581967781,model,0.0,0.0,0.0,9.631,0.0,0.0,65.3,0.0,138226.0,yes,2022-08-23 15:18:26: ../wrapper.py 42 1 581967781 tuning -deck_width_tuned 14 -deck_length_tuned 72 -n_containers_delta 19 -n_classes_tuned 5 -coverage_max 81,11ecb6c97ee71018f6988fa514347f39,91.1664242744446,42,581967781,sat + graded,1,42,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-46-581967781,model,0.0,0.0,0.0,9.198,0.0,0.0,14.0,0.0,14070.0,yes,2022-08-23 15:18:28: ../wrapper.py 46 1 581967781 tuning -deck_width_tuned 23 -deck_length_tuned 74 -n_containers_delta 17 -n_classes_tuned 10 -coverage_max 18,aad70989d1a403ac193330f8a8043ae1,37.5736086368561,46,581967781,sat + graded,1,46,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-60-581967781,model,0.0,0.0,0.0,12.15,0.0,0.0,55.0,0.0,37242.0,yes,2022-08-23 15:18:44: ../wrapper.py 60 1 581967781 tuning -deck_width_tuned 99 -deck_length_tuned 65 -n_containers_delta 16 -n_classes_tuned 10 -coverage_max 84,d3ed0b88228289aa412bf6558d759ff9,89.6886146068573,60,581967781,sat + graded,1,60,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-65-581967781,model,0.0,0.0,0.0,6.225,0.0,0.0,15.8,0.0,12134.0,yes,2022-08-23 15:18:45: ../wrapper.py 65 1 581967781 tuning -deck_width_tuned 90 -deck_length_tuned 97 -n_containers_delta 20 -n_classes_tuned 1 -coverage_max 12,ea6562baaf03856c44fafbae1dddf6f1,43.6592528820038,65,581967781,sat + graded,1,65,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-70-581967781,model,0.0,0.0,0.0,9.683,0.0,0.0,15.5,0.0,20492.0,yes,2022-08-23 15:18:49: ../wrapper.py 70 1 581967781 tuning -deck_width_tuned 96 -deck_length_tuned 81 -n_containers_delta 14 -n_classes_tuned 8 -coverage_max 74,26003e2ada764179ad4b6068b651f2da,48.0384299755096,70,581967781,sat + graded,1,70,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-84-581967781,model,0.0,0.0,0.0,5.802,0.0,0.0,15.5,0.0,17289.0,yes,2022-08-23 15:19:04: ../wrapper.py 84 1 581967781 tuning -deck_width_tuned 48 -deck_length_tuned 16 -n_containers_delta 13 -n_classes_tuned 7 -coverage_max 63,5dbe6d0545551753d0368f0aa0e7efb4,34.051301240921,84,581967781,sat + graded,1,84,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-92-581967781,model,0.0,0.0,0.0,5.794,0.0,0.0,51.9,0.0,120912.0,yes,2022-08-23 15:19:14: ../wrapper.py 92 1 581967781 tuning -deck_width_tuned 13 -deck_length_tuned 93 -n_containers_delta 12 -n_classes_tuned 6 -coverage_max 91,6d054b31ec11e58d52462705943f3b87,73.544401884079,92,581967781,sat + graded,1,92,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-93-581967781,model,0.0,0.0,0.0,10.604,0.0,0.0,62.6,0.0,85863.0,yes,2022-08-23 15:19:14: ../wrapper.py 93 1 581967781 tuning -deck_width_tuned 26 -deck_length_tuned 97 -n_containers_delta 20 -n_classes_tuned 7 -coverage_max 47,c5ab1c8514a15a017018fd8341914282,94.1317756175995,93,581967781,sat + graded,1,93,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-98-581967781,model,0.0,0.0,0.0,3.336,0.0,0.0,10.0,0.0,21031.0,yes,2022-08-23 15:19:20: ../wrapper.py 98 1 581967781 tuning -deck_width_tuned 60 -deck_length_tuned 25 -n_containers_delta 7 -n_classes_tuned 6 -coverage_max 82,2a6bc331029d6e83379ab98a4e6bf560,24.7170481681824,98,581967781,sat + graded,1,98,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-100-581967781,model,0.0,0.0,0.0,10.34,0.0,0.0,24.2,0.0,26784.0,yes,2022-08-23 15:19:22: ../wrapper.py 100 1 581967781 tuning -deck_width_tuned 59 -deck_length_tuned 71 -n_containers_delta 20 -n_classes_tuned 9 -coverage_max 42,cfaf5d90b514ba94637cdefcf45871f0,51.3334519863129,100,581967781,sat + graded,1,100,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
1,inst-109-581967781,model,0.0,0.0,0.0,5.363,0.0,0.0,15.7,0.0,9002.0,yes,2022-08-23 15:19:32: ../wrapper.py 109 1 581967781 tuning -deck_width_tuned 13 -deck_length_tuned 87 -n_containers_delta 19 -n_classes_tuned 1 -coverage_max 73,977c49c71994a788ac632822c478bb3e,36.3360207080841,109,581967781,sat + graded,1,109,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/VesselLoading-lingeling-train/008-VesselLoading/Seed1-irace-5000
