instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
f2c014ef9157073555faaebf1728a346,2.94872,3.51487,1.24561,0,0,0,1.98333,1.78564,0.19931,0,0.172037,1.17204,0.999526,346.283,436.074,39,42.7004,1.5,2,2,1,312,0,0.891429,784,1096.64,388.632,0,0,152,0,0,160,198,0,0,0.434286,0,0,0.512821,0.565714,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,38,0,0,0,2.62857,2.59429,1.25524,0.268018,1.06193,2.29084,0,1.51752,0.671808,0.180052,0,468.914,412.639,4,26,26,0,2,0.666667,0,38,350,0.108571,1.12179,920,908,439.333
f8d0eb195954db46f0ef280bd1720ae5,2.88938,4.79504,1.90798,0,0,0,1.83802,1.21136,0.494912,6,0.256391,2.28365,1.26489,1522.37,2543.67,36,39.2479,4.16993,2,2,1,1365,0,1.03487,3385,6545.23,2604.4,0,0,623,0,0,736,696,0,0,0.472328,0,0,0.539194,0.527672,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,35,0,0,0,2.99014,2.80819,1.25536,1.12384,1.21229,2.01504,0,1.38901,0.416589,0.233519,0,1767.05,1540.16,36,19,19,0,2,0.472222,0,185,1319,0.140258,0.9663,3944,3704,1655.82
02f7948ea1eebb2957b1aaa2a764bdc7,2.9008,4.23338,1.6346,0,0,0,2.05889,1.49935,0.400419,0,0.177937,1.88166,1.24747,964.042,1482.91,44,47.3923,3.16993,2,2,1,877,0,1.00458,2179,3712.67,1433.54,0,0,405,0,0,472,468,0,0,0.463918,0,0,0.538198,0.536082,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,43,0,0,0,2.91409,2.68614,1.18177,0.741907,1.00688,2.02881,0,1.46511,0.510234,0.222431,0,1197.37,1027.56,24,21,21,0,2,0.375,0,137,873,0.15693,0.995439,2544,2345,1031.68
dc85c0fdaa288911481b39919a0b9e1d,2.93097,3.86565,1.44686,0,0,0,1.9463,1.52859,0.317086,0,0.208279,1.65659,1.09648,595.211,841.002,39,42.858,2.58496,2,2,1,536,0,0.948673,1343,2071.99,775.516,0,0,257,0,0,279,308,0,0,0.454867,0,0,0.520522,0.545133,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,38,0,0,0,2.78053,2.60708,1.15508,0.477214,1.14502,2.50399,0,1.43282,0.492517,0.199599,0,772.015,654.826,14,29,29,0,2,0.428571,0,54,565,0.0955752,1.0541,1571,1473,652.619
c589e0efbe709b2cd50fa855c4174f0f,2.94444,4.04541,1.52869,0,0,0,1.89761,1.43089,0.353983,0,0.183122,1.18312,0.999443,723.059,1058.11,36,39.3219,2.08496,2,2,1,648,0,0.948755,1629,2621.42,990.594,0,0,315,0,0,333,368,0,0,0.461201,0,0,0.513889,0.538799,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,35,0,0,0,2.79356,2.5959,1.10981,0.550943,0.976468,1.97603,0,1.3878,0.39184,0.20212,0,925.211,788.845,9,20,20,0,2,0.666667,0,35,683,0.0512445,1.05401,1908,1773,758
f324147aea2b8e78134bd8b0f180900d,2.81113,4.85166,1.99779,0,0,0,1.94549,1.20129,0.495942,0,0.167689,1.94403,1.4517,1493.98,2602.19,41,44,3.80735,2,2,1,1366,0,1.13079,3331,6627.36,2728.98,0,0,569,0,0,797,639,0,0,0.471026,0,0,0.583455,0.528974,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,40,0,0,0,3.17881,2.61589,1.06671,1.26481,1.02009,1.6362,0,1.40541,0.426636,0.231195,0,1652.97,1386.02,29,16,16,0,2,0.482759,0,436,1208,0.360927,0.884334,3840,3160,1288.59
9492128e87ffe7baaa2c2b16b6c5ef7b,2.83002,4.24627,1.66712,0,0,0,1.77073,1.29307,0.404486,0,0.212284,1.9708,1.39289,724.645,1128.6,35,38.7004,3,2,2,1,653,0,1.06699,1605,2772.81,1088.63,0,0,281,0,0,372,331,0,0,0.45915,0,0,0.569678,0.54085,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,34,0,0,0,3.01961,2.9183,1.42646,0.810948,1.27973,2.58936,0,1.55252,0.554195,0.217936,0,849.423,738.58,17,26,26,0,2,0.470588,0,180,612,0.294118,0.937213,1848,1786,872.991
66a537c60c939979662e6bdb4999c2e3,2.93506,3.79307,1.39338,0,0,0,2.12122,1.75317,0.28742,0,0.181833,1.67901,0.999998,592.431,817.709,46,50.2479,2.32193,2,2,1,539,0,0.940663,1348,2044.46,751.034,0,0,258,0,0,281,315,0,0,0.450262,0,0,0.521336,0.549738,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,45,0,0,0,2.76091,2.7644,1.33766,0.438083,1.39843,2.92602,0,1.45379,0.627841,0.186095,0,784.659,681.411,16,38,38,0,2,0.3125,0,67,573,0.116928,1.06308,1582,1584,766.479
65deb266ce8e8ad2fbbff6df3c9bdb81,2.90944,4.68172,1.86657,0,0,0,2.05246,1.33179,0.482413,0,0.171853,1.84612,1.21815,1725.23,2861.36,43,45,4.08746,2,2,1,1568,0,1.01818,3903,7340.94,2926.79,0,0,731,0,0,837,809,0,0,0.474675,0,0,0.533801,0.525325,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,42,0,0,0,2.96234,2.53701,0.978305,1.0416,1.0277,0.979506,0,1.36411,0.389513,0.183378,0,2072.5,1735.6,33,18,8,0,2,0.515152,0,182,1540,0.118182,0.982143,4562,3907,1506.59
7f76d11aeb586df80a2ad078d81dc7f7,2.93573,3.45301,1.23754,0,0,0,2.20736,1.94977,0.195263,0,0.175453,1.61509,0.983342,425.52,534.37,50,52.7004,1.58496,2,2,1,389,0,0.90676,972,1343.22,481.402,0,0,186,0,0,203,243,0,0,0.433566,0,0,0.521851,0.566434,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,49,0,0,0,2.662,2.34499,1.00699,0.313086,0.530113,1.26649,0,1.52655,0.745027,0.176109,0,580.388,490.991,12,13,13,0,2,0.25,0,67,429,0.156177,1.10283,1142,1006,432
