feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-206-1001245471,model,0.0,0.0,0.0,0.7070000000000001,0.0,0.0,224.51,0.0,-1.0,yes,2019-10-28 23:52:38: ../wrapper.py 206 1 1001245471 tuning -n_courses_middle 31 -n_courses_delta 14 -n_periods_middle 28 -n_periods_delta 19 -load_per_period_lb_middle 19 -load_per_period_lb_delta 8 -load_per_period_ub_middle 45 -load_per_period_ub_delta 21 -courses_per_period_lb_middle 4 -courses_per_period_lb_delta 10 -courses_per_period_ub_middle 18 -courses_per_period_ub_delta 10 -prerequisite_cardMiddle 180 -prerequisite_cardDelta 514 -prerequisite_relation1_middle 7 -prerequisite_relation1_delta 0 -prerequisite_relation2_middle 19 -prerequisite_relation2_delta 13 -course_load_range_middle 3 -course_load_range_delta 7,975d2feb60b90393afab3f558fda9a21,227.15911436080899,sat + graded,206,1001245471,2,326,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-285-1239644459,model,0.0,0.0,0.0,0.455,0.0,0.0,13.173,0.0,-1.0,yes,2019-10-29 00:18:38: ../wrapper.py 285 1 1239644459 tuning -n_courses_middle 22 -n_courses_delta 1 -n_periods_middle 20 -n_periods_delta 14 -load_per_period_lb_middle 39 -load_per_period_lb_delta 17 -load_per_period_ub_middle 16 -load_per_period_ub_delta 19 -courses_per_period_lb_middle 5 -courses_per_period_lb_delta 3 -courses_per_period_ub_middle 15 -courses_per_period_ub_delta 17 -prerequisite_cardMiddle 427 -prerequisite_cardDelta 1127 -prerequisite_relation1_middle 45 -prerequisite_relation1_delta 6 -prerequisite_relation2_middle 33 -prerequisite_relation2_delta 7 -course_load_range_middle 2 -course_load_range_delta 11,13506f4fd3dfa9f4343bee257170809f,15.630757331848098,sat + graded,285,1239644459,3,545,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-432-1169256702,model,0.0,0.0,0.0,0.435,0.0,0.0,118.965,0.0,-1.0,yes,2019-10-29 00:44:44: ../wrapper.py 432 1 1169256702 tuning -n_courses_middle 23 -n_courses_delta 8 -n_periods_middle 18 -n_periods_delta 13 -load_per_period_lb_middle 42 -load_per_period_lb_delta 7 -load_per_period_ub_middle 34 -load_per_period_ub_delta 14 -courses_per_period_lb_middle 10 -courses_per_period_lb_delta 4 -courses_per_period_ub_middle 18 -courses_per_period_ub_delta 13 -prerequisite_cardMiddle 672 -prerequisite_cardDelta 1134 -prerequisite_relation1_middle 42 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 35 -prerequisite_relation2_delta 17 -course_load_range_middle 2 -course_load_range_delta 18,94226fb89ffd81565eaa29f1e35d0786,125.40008258819599,sat + graded,432,1169256702,4,706,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-571-1285639220,model,0.0,0.0,0.0,0.358,0.0,0.0,23.291999999999998,0.0,-1.0,yes,2019-10-29 01:00:36: ../wrapper.py 571 1 1285639220 tuning -n_courses_middle 34 -n_courses_delta 5 -n_periods_middle 20 -n_periods_delta 21 -load_per_period_lb_middle 43 -load_per_period_lb_delta 9 -load_per_period_ub_middle 40 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 18 -courses_per_period_lb_delta 15 -courses_per_period_ub_middle 17 -courses_per_period_ub_delta 9 -prerequisite_cardMiddle 653 -prerequisite_cardDelta 958 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 10 -prerequisite_relation2_delta 5 -course_load_range_middle 5 -course_load_range_delta 18,9d1fffa07e86873a6f1edcc284961f2f,25.399996280670198,sat + graded,571,1285639220,4,1004,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-487-1100722462,model,0.0,0.0,0.0,0.41200000000000003,0.0,0.0,44.66,0.0,-1.0,yes,2019-10-29 01:15:47: ../wrapper.py 487 1 1100722462 tuning -n_courses_middle 43 -n_courses_delta 11 -n_periods_middle 12 -n_periods_delta 22 -load_per_period_lb_middle 40 -load_per_period_lb_delta 24 -load_per_period_ub_middle 37 -load_per_period_ub_delta 12 -courses_per_period_lb_middle 20 -courses_per_period_lb_delta 11 -courses_per_period_ub_middle 2 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 483 -prerequisite_cardDelta 858 -prerequisite_relation1_middle 41 -prerequisite_relation1_delta 3 -prerequisite_relation2_middle 4 -prerequisite_relation2_delta 3 -course_load_range_middle 5 -course_load_range_delta 16,57b307c7ee7a2149041faf56a268c0f7,47.8586578369141,sat + graded,487,1100722462,4,1102,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-571-1100722462,model,0.0,0.0,0.0,0.302,0.0,0.0,200.29,0.0,-1.0,yes,2019-10-29 01:15:50: ../wrapper.py 571 1 1100722462 tuning -n_courses_middle 34 -n_courses_delta 5 -n_periods_middle 20 -n_periods_delta 21 -load_per_period_lb_middle 43 -load_per_period_lb_delta 9 -load_per_period_ub_middle 40 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 18 -courses_per_period_lb_delta 15 -courses_per_period_ub_middle 17 -courses_per_period_ub_delta 9 -prerequisite_cardMiddle 653 -prerequisite_cardDelta 958 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 10 -prerequisite_relation2_delta 5 -course_load_range_middle 5 -course_load_range_delta 18,c15f3b567a1612b7764734179d861d92,202.379017829895,sat + graded,571,1100722462,4,1111,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-571-973248006,model,0.0,0.0,0.0,0.336,0.0,0.0,281.985,0.0,-1.0,yes,2019-10-29 01:20:53: ../wrapper.py 571 1 973248006 tuning -n_courses_middle 34 -n_courses_delta 5 -n_periods_middle 20 -n_periods_delta 21 -load_per_period_lb_middle 43 -load_per_period_lb_delta 9 -load_per_period_ub_middle 40 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 18 -courses_per_period_lb_delta 15 -courses_per_period_ub_middle 17 -courses_per_period_ub_delta 9 -prerequisite_cardMiddle 653 -prerequisite_cardDelta 958 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 10 -prerequisite_relation2_delta 5 -course_load_range_middle 5 -course_load_range_delta 18,f617440e22160e12dd232fd6f0bc169e,284.316952943802,sat + graded,571,973248006,4,1138,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-571-2071023479,model,0.0,0.0,0.0,0.379,0.0,0.0,125.45,0.0,-1.0,yes,2019-10-29 01:25:58: ../wrapper.py 571 1 2071023479 tuning -n_courses_middle 34 -n_courses_delta 5 -n_periods_middle 20 -n_periods_delta 21 -load_per_period_lb_middle 43 -load_per_period_lb_delta 9 -load_per_period_ub_middle 40 -load_per_period_ub_delta 23 -courses_per_period_lb_middle 18 -courses_per_period_lb_delta 15 -courses_per_period_ub_middle 17 -courses_per_period_ub_delta 9 -prerequisite_cardMiddle 653 -prerequisite_cardDelta 958 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 10 -prerequisite_relation2_delta 5 -course_load_range_middle 5 -course_load_range_delta 18,2fa8fb2a311ee3b7f235ed3923df936d,127.70001220703101,sat + graded,571,2071023479,4,1169,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-593-83764746,model,0.0,0.0,0.0,0.579,0.0,0.0,135.49200000000002,0.0,-1.0,yes,2019-10-29 01:31:48: ../wrapper.py 593 1 83764746 tuning -n_courses_middle 40 -n_courses_delta 3 -n_periods_middle 14 -n_periods_delta 10 -load_per_period_lb_middle 44 -load_per_period_lb_delta 15 -load_per_period_ub_middle 19 -load_per_period_ub_delta 18 -courses_per_period_lb_middle 12 -courses_per_period_lb_delta 7 -courses_per_period_ub_middle 21 -courses_per_period_ub_delta 16 -prerequisite_cardMiddle 648 -prerequisite_cardDelta 935 -prerequisite_relation1_middle 49 -prerequisite_relation1_delta 4 -prerequisite_relation2_middle 28 -prerequisite_relation2_delta 4 -course_load_range_middle 9 -course_load_range_delta 11,00dae7e9ae59274cc82eb4a8cc607fc3,142.687078952789,sat + graded,593,83764746,5,1193,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-668-78986094,model,0.0,0.0,0.0,0.622,0.0,0.0,18.671,0.0,-1.0,yes,2019-10-29 01:48:28: ../wrapper.py 668 1 78986094 tuning -n_courses_middle 42 -n_courses_delta 21 -n_periods_middle 23 -n_periods_delta 18 -load_per_period_lb_middle 35 -load_per_period_lb_delta 18 -load_per_period_ub_middle 27 -load_per_period_ub_delta 15 -courses_per_period_lb_middle 15 -courses_per_period_lb_delta 7 -courses_per_period_ub_middle 10 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 787 -prerequisite_cardDelta 817 -prerequisite_relation1_middle 46 -prerequisite_relation1_delta 5 -prerequisite_relation2_middle 3 -prerequisite_relation2_delta 4 -course_load_range_middle 7 -course_load_range_delta 16,503945b9d1c24bf2e73b4f9a4517cfbb,22.486486673355103,sat + graded,668,78986094,5,1566,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
