instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
4d3fbe32169d516008105430abcc8a23,3.52785,3.52785,1,0,0,0,11.5758,11.5758,0,0,1.22938,1.22938,0,111584,111584,3276,3276,1,2,2,1,83571,0,0.911074,168808,294826,83571,34398,0,45864,0,0,1666,45864,0.411602,0,0.5,0,0,0.0199351,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,11466,0,0,0,3.21413,2,0.823137,0.656554,0,0.372294,0,0.959963,0,0.811278,0,132442,91728,7,2,1,2,2,0.285714,0,0,91728,0,1.09761,294826,183456,75504.7
69d4d002aae8726214a96cb55c766150,3.40892,3.40892,1,0,0,0,7.8795,7.8795,0,0,1.14078,1.14078,0,109136,109136,1620,1620,1,2,2,1,82683,0,0.92798,166231,281860,82683,36450,0,44550,0,0,865,44550,0.44084,0,0.5,0,0,0.0104616,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,8100,0,0,0,3.16341,2,0.863215,0.810377,0,0.337035,0,0.932298,0,0.684038,0,122182,89100,10,2,1,2,2,0.2,0,0,89100,0,1.07761,281860,178200,76912.5
0c57cfcde82a3bf1217cea4e72f3bb5f,3.5277,3.5277,1,0,0,0,11.0438,11.0438,0,0,1.2298,1.2298,0,101598,101598,2982,2982,1,2,2,1,76074,0,0.91111,153667,268366,76074,31311,0,41748,0,0,1519,41748,0.411586,0,0.5,0,0,0.0199674,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10437,0,0,0,3.21412,2,0.823138,0.656551,0,0.372292,0,0.960032,0,0.811278,0,120556,83496,7,2,1,2,2,0.285714,0,0,83496,0,1.09756,268366,166992,68728.7
7fcd8fc1fd734adae4e66813b2af9386,3.52765,3.52765,1,0,0,0,10.8871,10.8871,0,0,1.22994,1.22994,0,98744.8,98744.8,2898,2898,1,2,2,1,73932,0,0.911121,149341,260806,73932,30429,0,40572,0,0,1477,40572,0.411581,0,0.5,0,0,0.0199778,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10143,0,0,0,3.21411,2,0.823138,0.656549,0,0.372292,0,0.960054,0,0.811278,0,117160,81144,7,2,1,2,2,0.285714,0,0,81144,0,1.09755,260806,162288,66792.7
8905dc1cf5fd42a0d3e836be68c8e519,3.44505,3.44505,1,0,0,0,15.9102,15.9102,0,0,1.15773,1.15773,0,355073,355073,6480,6480,1,2,2,1,268972,0,0.922401,541229,926622,268972,116640,0,145800,0,0,3285,145800,0.433651,0,0.5,0,0,0.0122132,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,29160,0,0,0,3.17772,2,0.851855,0.758691,0,0.348439,0,0.998601,0,0.721928,0,406132,291600,9,2,1,2,2,0.222222,0,0,291600,0,1.08413,926622,583200,248401
e83a0fa272ec4ba51d83ca2fb53fcedb,3.44084,3.44084,1,0,0,0,6.12258,6.12258,0,0,1.16891,1.16891,0,52987.2,52987.2,960,960,1,2,2,1,39892,0,0.923426,80309,137262,39892,17280,0,21600,0,0,525,21600,0.43317,0,0.5,0,0,0.0131605,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4320,0,0,0,3.17736,2,0.851873,0.758632,0,0.348393,0,0.999797,-1.77636e-15,0.721928,0,60164.2,43200,9,2,1,2,2,0.222222,0,0,43200,0,1.08292,137262,86400,36800.9
79851d1f3a43fd07a455845e724a1b31,3.48325,3.48325,1,0,0,0,11.087,11.087,0,0,1.19002,1.19002,0,135022,135022,3080,3080,1,2,2,1,101682,0,0.917045,204940,354184,101682,43120,0,55440,0,0,1576,55440,0.424067,0,0.5,0,0,0.0154993,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,12320,0,0,0,3.1943,2,0.838632,0.706997,0,0.360325,0,1.07714,0,0.764205,0,157098,110880,8,2,1,2,2,0.25,0,0,110880,0,1.09046,354184,221760,92987.5
007bac659e1c4a47e57e2caf8bb9a85b,3.52735,3.52735,1,0,0,0,10.0668,10.0668,0,0,1.23074,1.23074,0,84478.3,84478.3,2478,2478,1,2,2,1,63222,0,0.91119,127711,223006,63222,26019,0,34692,0,0,1267,34692,0.41155,0,0.5,0,0,0.0200405,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,8673,0,0,0,3.21408,2,0.82314,0.656542,0,0.372288,0,0.960187,0,0.811278,0,100180,69384,7,2,1,2,2,0.285714,0,0,69384,0,1.09747,223006,138768,57112.7
e028e3358b1b5c00c29bb300dafbf301,3.40907,3.40907,1,0,0,0,8.0954,8.0954,0,0,1.14038,1.14038,0,115170,115170,1710,1710,1,2,2,1,87273,0,0.927943,175456,297520,87273,38475,0,47025,0,0,910,47025,0.440858,0,0.5,0,0,0.0104271,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,8550,0,0,0,3.16342,2,0.863214,0.810378,0,0.337037,0,0.932259,0,0.684038,0,128970,94050,10,2,1,2,2,0.2,0,0,94050,0,1.07765,297520,188100,81185.3
8b63eab90848f4da870884c0fd47b0d4,3.33232,3.33232,1,0,0,0,12.4148,12.4148,0,0,1.09121,1.09121,0,470841,470841,4212,4212,1,2,2,1,360228,0,0.939827,722653,1.20039e+06,360228,164268,0,191646,0,0,2197,191646,0.456011,0,0.5,0,0,0.00609892,0.5,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,27378,0,0,0,3.1318,2,0.889067,0.960472,0,0.307109,0,0.779032,0,0.591673,0,505764,383292,13,2,1,2,2,0.153846,0,0,383292,0,1.06403,1.20039e+06,766584,340772
