feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-12-1552387955,model,0.0,0.0,0.0,24.515,0.0,0.0,89.792,0.0,-1.0,yes,2019-10-20 19:59:22: ../wrapper.py 12 1 1552387955 tuning -v_middle 3 -v_delta 5 -k_middle 3 -k_delta 1 -lambda_middle 91 -lambda_delta 27,c8ac9e4bd445501d801065720a2e9d8c,124.617114067078,sat + graded,12,1552387955,1,12,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-17-1552387955,model,0.0,0.0,0.0,13.112,0.0,0.0,188.52,0.0,-1.0,yes,2019-10-20 19:59:22: ../wrapper.py 17 1 1552387955 tuning -v_middle 9 -v_delta 0 -k_middle 3 -k_delta 0 -lambda_middle 92 -lambda_delta 11,d3bfa4afe8ad59d44ed4be8419142a86,205.104214668274,sat + graded,17,1552387955,1,17,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-20-1552387955,model,0.0,0.0,0.0,29.851999999999997,0.0,0.0,33.99,0.0,-1.0,yes,2019-10-20 19:59:22: ../wrapper.py 20 1 1552387955 tuning -v_middle 7 -v_delta 3 -k_middle 3 -k_delta 1 -lambda_middle 69 -lambda_delta 0,26a8d9617842a5225eb9b4a78893dafe,73.55718517303471,sat + graded,20,1552387955,1,20,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-22-1552387955,model,0.0,0.0,0.0,6.587999999999999,0.0,0.0,12.68,0.0,-1.0,yes,2019-10-20 19:59:22: ../wrapper.py 22 1 1552387955 tuning -v_middle 4 -v_delta 3 -k_middle 4 -k_delta 1 -lambda_middle 54 -lambda_delta 29,1c1f79de9635c48411256dff54c10926,21.8029570579529,sat + graded,22,1552387955,1,22,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-26-1552387955,model,0.0,0.0,0.0,68.344,0.0,0.0,203.215,0.0,-1.0,yes,2019-10-20 19:59:23: ../wrapper.py 26 1 1552387955 tuning -v_middle 12 -v_delta 0 -k_middle 2 -k_delta 1 -lambda_middle 12 -lambda_delta 47,2ce49aa5005c6afc600773a11596e0c1,294.434537887573,sat + graded,26,1552387955,1,26,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-33-1552387955,model,0.0,0.0,0.0,10.975,0.0,0.0,13.92,0.0,-1.0,yes,2019-10-20 19:59:27: ../wrapper.py 33 1 1552387955 tuning -v_middle 5 -v_delta 4 -k_middle 3 -k_delta 1 -lambda_middle 19 -lambda_delta 18,0aebb77a0e98cd47dc11855de0915b8f,28.582328319549603,sat + graded,33,1552387955,1,33,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-49-1552387955,model,0.0,0.0,0.0,22.093000000000004,0.0,0.0,113.01700000000001,0.0,-1.0,yes,2019-10-20 19:59:39: ../wrapper.py 49 1 1552387955 tuning -v_middle 5 -v_delta 4 -k_middle 2 -k_delta 1 -lambda_middle 91 -lambda_delta 4,78c6847ba8168333f903d4da91537c86,144.975197792053,sat + graded,49,1552387955,1,49,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-57-1552387955,model,0.0,0.0,0.0,37.792,0.0,0.0,244.292,0.0,-1.0,yes,2019-10-20 20:00:03: ../wrapper.py 57 1 1552387955 tuning -v_middle 5 -v_delta 5 -k_middle 2 -k_delta 1 -lambda_middle 58 -lambda_delta 34,4750b4609abaa97cd947ff0bd1258e80,300.324372053146,sat + graded,57,1552387955,1,57,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-59-1552387955,model,0.0,0.0,0.0,10.364,0.0,0.0,121.134,0.0,-1.0,yes,2019-10-20 20:01:27: ../wrapper.py 59 1 1552387955 tuning -v_middle 10 -v_delta 1 -k_middle 3 -k_delta 0 -lambda_middle 89 -lambda_delta 32,6d8ba9028cb7e6073af9245f9f59d157,135.01885175705,sat + graded,59,1552387955,1,59,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
1,inst-84-1552387955,model,0.0,0.0,0.0,6.987,0.0,0.0,170.185,0.0,-1.0,yes,2019-10-20 20:04:49: ../wrapper.py 84 1 1552387955 tuning -v_middle 11 -v_delta 2 -k_middle 2 -k_delta 1 -lambda_middle 42 -lambda_delta 11,6f00d6d2f490b503613630837af5e96f,179.87312245369,sat + graded,84,1552387955,1,84,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BIBD-chuffed/028-BIBD/Seed7-irace-5000
