instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
569212439cf6b267033ec1c78e7ef98d,3.01616,8.63205,3.69228,0,0,0,3.56239,2.10233,0.0709945,0,0.0812979,0.0812979,0.0808748,159161,442721,232,1490.89,6.42626,2,7.42626,1,151059,0,0.99788,451758,1.30395e+06,557752,1290,0,149640,0,0,149640,1740,0.00853971,0,0.988506,0,0,0.990606,0.0114943,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1740,0,0,0,3.00976,2.96552,0.999508,3.11129,3.01932,0.00458657,0,0.0977004,0.0905439,0,0,160932,160822,90,86,1,2,2,0.955556,0,0,151380,0,1.00212,455618,448920,151305
4791f981c4272de287c8d3b43185f9a0,3.00823,8.70349,3.75403,0,0,0,3.71928,1.991,0.0735669,0,0.0886133,0.0886133,0.0881813,62755.3,176163,254,1660.95,6.53916,2,7.53916,1,59650,0,0.99933,178355,519163,223928,465,0,59055,0,0,59055,635,0.00779547,0,0.989362,0,0,0.990025,0.0106383,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,635,0,0,0,3.00622,2.96809,0.999605,3.22789,3.14542,0.00384153,0,0.0958803,0.0849956,0,0,63242,63207.4,97,93,1,2,2,0.958763,0,0,59690,0,1.00067,179441,177165,59666.5
3f4d99729cfee751751a5906e95000db,3.01247,8.52942,3.63054,0,0,0,3.0644,2.21598,0.0801457,0,0.096828,0.096828,0.0965041,485577,1.32892e+06,168,1062.08,6.32193,2,7.32193,1,455749,0,0.999739,1.36174e+06,3.88727e+06,1.65461e+06,5360,0,450240,0,0,450240,5628,0.0117609,0,0.987654,0,0,0.987912,0.0123457,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5628,0,0,0,3.01168,2.96296,0.99942,3.00457,2.90689,0.00520143,0,0.0997264,0.0959704,0,0,486211,485820,84,80,1,2,2,0.952381,0,0,455868,0,1.00026,1.37293e+06,1.35072e+06,455603
bbb6c7fa7d4cc617defaaccdd6b5b6e4,3.01579,8.69181,3.72603,0,0,0,3.66987,2.12994,0.0692004,0,0.0775079,0.0775079,0.0771197,176132,492878,246,1597,6.49185,2,7.49185,1,167536,0,0.997862,501122,1.45619e+06,624244,1350,0,166050,0,0,166050,1845,0.00805797,0,0.989011,0,0,0.99113,0.010989,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1845,0,0,0,3.00935,2.96703,0.999549,3.18194,3.092,0.00429544,0,0.0940901,0.0872806,0,0,178139,178027,94,90,1,2,2,0.957447,0,0,167895,0,1.00214,505254,498150,167819
a14c00732fcd60d2f8416079c6315cd5,3.01014,8.64497,3.70463,0,0,0,3.26398,1.9144,0.0769583,0,0.0922755,0.0922755,0.0918032,129451,359032,196,1266.05,6.45943,2,7.45943,1,122078,0,0.999754,364892,1.05536e+06,452254,1232,0,120736,0,0,120736,1372,0.0100919,0,0.988764,0,0,0.989007,0.011236,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1372,0,0,0,3.0094,2.96629,0.999531,3.14651,3.05588,0.00442392,0,0.0962524,0.0888797,0,0,129683,129598,92,88,1,2,2,0.956522,0,0,122108,0,1.00025,367472,362208,122051
d630dec8de46b1640369e2161ac93f0e,3.02787,8.25393,3.46541,0,0,0,3.26773,2.20921,0.075212,0,0.0926611,0.0926611,0.0920768,144273,386929,194,1159.59,5.97728,2,6.97728,1,135945,0,0.99538,406332,1.12208e+06,471105,1386,0,134442,0,0,134442,2134,0.0101953,0,0.984375,0,0,0.988944,0.015625,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2134,0,0,0,3.01388,2.95312,0.999092,2.67016,2.56176,0.00723621,0,0.124124,0.116115,0,0,147382,147198,67,63,1,2,2,0.940299,0,0,136576,0,1.00464,411624,403326,136452
a534f58ba6379f36e001a2ddf9ed830c,3.01257,8.57067,3.66623,0,0,0,3.39588,1.9699,0.0757618,0,0.0922394,0.0922394,0.0917186,84707.4,234081,212,1351.51,6.37504,2,7.37504,1,80042,0,0.998827,239266,686013,293453,747,0,79182,0,0,79182,954,0.0093326,0,0.988095,0,0,0.989256,0.0119048,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,954,0,0,0,3.00903,2.96429,0.999485,3.05509,2.96364,0.00472861,0,0.102936,0.0931713,0,0,85324.7,85263.8,87,83,1,2,2,0.954023,0,0,80136,0,1.00117,241132,237546,80094.7
e3acebf7a8b1b7baee676b2504100871,3.01091,8.63965,3.71285,0,0,0,3.64598,2.01565,0.0735668,0,0.0887014,0.0887014,0.0882351,68548.9,191218,244,1576.1,6.45943,2,7.45943,1,65070,0,0.998803,194556,562182,241595,528,0,64416,0,0,64416,732,0.00811434,0,0.988764,0,0,0.989949,0.011236,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,732,0,0,0,3.00731,2.96629,0.999553,3.14219,3.05588,0.00423219,0,0.099771,0.0888797,0,0,69187.2,69144.3,92,88,1,2,2,0.956522,0,0,65148,0,1.0012,195920,193248,65118.9
7518b6cc05d880120629880cb39b1956,3.01656,8.28261,3.49295,0,0,0,2.91213,1.92514,0.0840803,0,0.110418,0.110418,0.109723,95076.5,254289,156,942.925,6.04439,2,7.04439,1,88731,0,0.998751,264978,734924,309933,1122,0,87516,0,0,87516,1326,0.012645,0,0.985075,0,0,0.986307,0.0149254,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1326,0,0,0,3.01279,2.95522,0.999176,2.73104,2.62595,0.00672363,0,0.120954,0.11191,0,0,95639.5,95530.9,70,66,1,2,2,0.942857,0,0,88842,0,1.00125,267662,262548,88768.8
c1fde8776f334c859cdb281cb0bed488,3.01935,8.29036,3.49517,0,0,0,3.02631,1.99197,0.0812417,0,0.104619,0.104619,0.103957,101961,273417,168,1015.46,6.04439,2,7.04439,1,95469,0,0.997836,285186,791473,333680,1122,0,94248,0,0,94248,1428,0.0117525,0,0.985075,0,0,0.987211,0.0149254,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1428,0,0,0,3.01281,2.95522,0.999176,2.73109,2.62595,0.0067263,0,0.120872,0.11191,0,0,102996,102879,70,66,1,2,2,0.942857,0,0,95676,0,1.00217,288254,282744,95597.2
