instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
428832d5ff52b799caeeb4baf310e6f5,2.64543,4.04902,1.59682,0,0,0,4.73628,5.22549,0.377927,0,0.292556,1.24326,1.21961,16566.7,25545.7,480,1594.53,3.32193,2,2,1,15881,0,0.95865,39718,64302.5,25359.1,3,3,7926,0,0,7953,8640,0.000188905,0.000188905,0.47845,0,0,0.500787,0.52155,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,720,0,0,0,2.53604,2.3477,0.974687,0.911911,0.694794,0.0853106,0,0.552958,0.257948,0,15846,18957.1,18237.8,14,10,1,2,2,0.666667,0,0,16566,0,1.04313,42012,38892,16146.7
50c7e6b422d64ae8408d8c7e0f8c9829,2.53917,4.44012,1.90178,0,0,0,8.20224,7.40683,0.475532,0,0.0902251,1.0793,1.00021,78572.4,136292,1584,7262.58,4.58496,2,2,1,77668,0,0.980632,194194,344855,147707,1,1,38810,0,0,38857,40392,1.28753e-05,1.28753e-05,0.490013,0,0,0.500296,0.509987,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1584,0,0,0,2.48999,2.43999,0.995128,1.34941,1.26229,0.034893,0,0.221936,0.141438,0,77618,85526.8,84880.6,26,24,1,2,2,0.666667,0,0,79202,0,1.01975,197212,193252,78816.2
8e38e6f51a486ddb8d69ad6feaa8c595,2.56479,4.11102,1.70884,0,0,0,5.31756,5.35814,0.417013,0,0.144047,1.12496,1.10879,19124.6,31024,644,2451.94,3.80735,2,2,1,18708,0,0.968223,46784,76909,31969,1,1,9340,0,0,9367,9982,5.34531e-05,5.34531e-05,0.483387,0,0,0.500695,0.516613,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,644,0,0,0,2.48328,2.39996,0.990279,1.01201,0.897498,0.0481963,0,0.332285,0.210826,1.77636e-15,18678,21442.4,21129.9,16,14,1,2,2,0.666667,0,0,19322,0,1.03282,47982,46372,19134.2
12dfbf70fe1560b395f36beb4761193e,2.61,4.17927,1.68897,0,0,0,3.74517,4.02754,0.412319,0,0.258487,1.21837,1.1869,13725.2,21924.6,312,1154.54,3.70044,2,2,1,13154,0,0.968773,32905,54974.2,22216.7,3,3,6558,0,0,6594,7020,0.000228068,0.000228068,0.482987,0,0,0.501292,0.517013,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,468,0,0,0,2.5285,2.37914,0.981499,1.03464,0.843453,0.0715473,0,0.462523,0.216324,0,13110,15269.4,14841.8,17,13,1,2,2,0.666667,0,0,13578,0,1.03223,34332,32304,13326.8
92ef59d07b26a94426551d337c1f26a7,2.6147,4.18708,1.69012,0,0,0,5.43786,5.82186,0.411926,0,0.241513,1.20319,1.18631,28267.5,45345.4,650,2405.29,3.70044,2,2,1,27350,0,0.96708,68395,114517,46224.7,3,3,13656,0,0,13692,14625,0.000109689,0.000109689,0.482868,0,0,0.500622,0.517132,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,975,0,0,0,2.52862,2.37923,0.981495,1.03471,0.843515,0.0715552,0,0.462606,0.216362,-1.77636e-15,27306,31804.8,30913.9,17,13,1,2,2,0.666667,0,0,28281,0,1.03404,71512,67287,27757.7
cd639def5e7ef209cf1b94ff5f1895d0,2.6773,3.93233,1.51716,0,0,0,4.2909,4.81163,0.345459,0,0.341745,1.28093,1.00245,10952.7,16268,384,1152,3,2,2,1,10403,0,0.950046,26020,40908,15783,3,3,5190,0,0,5211,5760,0.000288378,0.000288378,0.473973,0,0,0.500913,0.526027,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,576,0,0,0,2.54356,2.31562,0.967057,0.820083,0.578435,0.0998082,0,0.638793,0.297352,-1.77636e-15,10374,12727.7,12102,12,8,1,2,2,0.666667,0,0,10950,0,1.05258,27852,25356,10589.3
6cb4b02c430deed10398fb29fea02b90,2.55508,4.22973,1.77863,0,0,0,7.49187,7.27203,0.439459,0,0.11789,1.10265,1.00035,45945.3,76573.5,1292,5281,4.08746,2,2,1,45258,0,0.972997,113162,191429,80497.3,1,1,22612,0,0,22645,23902,2.20955e-05,2.20955e-05,0.486133,0,0,0.500354,0.513867,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1292,0,0,0,2.48609,2.41665,0.992447,1.12375,1.02,0.0426764,0,0.288135,0.183116,0,45222,51088.2,50503,19,17,1,2,2,0.666667,0,0,46514,0,1.02775,115638,112408,46162.7
72a60ae162366fef961f6e83364235ee,2.62254,4.14337,1.66149,0,0,0,4.80226,5.19867,0.402047,0,0.259383,1.21766,1.19654,20454.3,32409,504,1806.82,3.58496,2,2,1,19703,0,0.964982,49276,81636.9,32736.4,3,3,9834,0,0,9867,10584,0.000152261,0.000152261,0.481634,0,0,0.500787,0.518366,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,756,0,0,0,2.53071,2.37026,0.979636,0.995426,0.796646,0.0754144,0,0.488921,0.228487,0,19662,23081.3,22372.2,16,12,1,2,2,0.666667,0,0,20418,0,1.03629,51672,48396,20002.2
02ca104ca178522e7205b5fbf8ee5994,2.65882,3.99247,1.55907,0,0,0,4.22324,4.70404,0.363115,0,0.318516,1.26369,1.00226,11941.4,18085.9,378,1198.23,3.16993,2,2,1,11378,0,0.955091,28459,45426.3,17739.1,3,3,5676,0,0,5700,6237,0.000263667,0.000263667,0.476454,0,0,0.500967,0.523546,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,567,0,0,0,2.53941,2.33317,0.971321,0.867175,0.63877,0.0918011,0,0.592457,0.276092,0,11346,13732.2,13143.3,13,9,1,2,2,0.666667,0,0,11913,0,1.04702,30252,27795,11571.3
d8dfd5a6766a8c770f3136ac4a80a312,2.60342,4.22022,1.71546,0,0,0,4.03569,4.29171,0.421153,0,0.242317,1.20521,1.17774,17079.8,27586.1,364,1385.88,3.80735,2,2,1,16433,0,0.970529,41104,69350.8,28190.2,3,3,8196,0,0,8235,8736,0.000182559,0.000182559,0.484054,0,0,0.501126,0.515946,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,546,0,0,0,2.5267,2.38696,0.983069,1.07251,0.888098,0.0682115,0,0.439134,0.205536,0,16386,18952.2,18464.8,18,14,1,2,2,0.666667,0,0,16932,0,1.03037,42782,40416,16645.3
