feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,configurationId,configurationSeed,type,iteration,runId,directory
1,inst-112-508299779,model,0.0,0.0,0.0,0.424,0.0,0.0,28.396,0.0,-1.0,yes,2022-07-17 17:25:01: ../wrapper.py 112 1 508299779 tuning -numChars_min 1 -numChars_max 2 -lam_min 3 -lam_max 6 -numCodeWords_min 1 -numCodeWords_max 2 -dist_min 7 -dist_max 7,af07807dae420454cc34fac2e5b2322e,32.0053858757019,112,508299779,sat + graded,1,189,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-71-19371032,model,0.0,0.0,0.0,1.742,0.0,0.0,18.662,0.0,196031.0,yes,2022-07-17 17:36:20: ../wrapper.py 71 1 19371032 tuning -numChars_min 1 -numChars_max 9 -lam_min 1 -lam_max 1 -numCodeWords_min 3 -numCodeWords_max 12 -dist_min 6 -dist_max 8,1e1e8db665ae1e882b6d152361fc9fe3,23.366133928299,71,19371032,sat + graded,1,202,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-198-1909228284,model,0.0,0.0,0.0,38.267,0.0,0.0,17.081,0.0,74061.0,yes,2022-07-17 17:55:37: ../wrapper.py 198 1 1909228284 tuning -numChars_min 9 -numChars_max 11 -lam_min 1 -lam_max 16 -numCodeWords_min 5 -numCodeWords_max 10 -dist_min 2 -dist_max 31,badd1d571d9397d376fc70d19e64541f,65.0108847618103,198,1909228284,sat + graded,2,256,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-199-1909228284,model,0.0,0.0,0.0,15.035,0.0,0.0,43.476,0.0,426519.0,yes,2022-07-17 17:55:38: ../wrapper.py 199 1 1909228284 tuning -numChars_min 1 -numChars_max 19 -lam_min 7 -lam_max 10 -numCodeWords_min 1 -numCodeWords_max 6 -dist_min 2 -dist_max 6,58a8e99178aaee3b3de7a8e257340c51,65.2778444290161,199,1909228284,sat + graded,2,257,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-213-1909228284,model,0.0,0.0,0.0,66.126,0.0,0.0,145.392,0.0,953137.0,yes,2022-07-17 17:55:38: ../wrapper.py 213 1 1909228284 tuning -numChars_min 14 -numChars_max 19 -lam_min 2 -lam_max 22 -numCodeWords_min 1 -numCodeWords_max 4 -dist_min 2 -dist_max 32,4a06e64e179bd711237a617b6ba637e8,220.776587486267,213,1909228284,sat + graded,2,271,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-238-1909228284,model,0.0,0.0,0.0,4.796,0.0,0.0,59.449,0.0,649109.0,yes,2022-07-17 17:55:45: ../wrapper.py 238 1 1909228284 tuning -numChars_min 2 -numChars_max 3 -lam_min 5 -lam_max 19 -numCodeWords_min 5 -numCodeWords_max 7 -dist_min 3 -dist_max 21,0794070962be6ab192b5b9b8df351ca2,71.0501744747162,238,1909228284,sat + graded,2,296,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-290-1909228284,model,0.0,0.0,0.0,62.947,0.0,0.0,229.409,0.0,1527237.0,yes,2022-07-17 17:56:24: ../wrapper.py 290 1 1909228284 tuning -numChars_min 10 -numChars_max 26 -lam_min 14 -lam_max 26 -numCodeWords_min 2 -numCodeWords_max 2 -dist_min 2 -dist_max 9,dd99230f175b0500621ec2be23862608,298.755967140198,290,1909228284,sat + graded,2,348,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-335-1909228284,model,0.0,0.0,0.0,102.525,0.0,0.0,94.641,0.0,218547.0,yes,2022-07-17 17:57:26: ../wrapper.py 335 1 1909228284 tuning -numChars_min 3 -numChars_max 35 -lam_min 13 -lam_max 30 -numCodeWords_min 2 -numCodeWords_max 2 -dist_min 4 -dist_max 20,db17b09788260b64dd24d0a1a9440cb8,205.555225610733,335,1909228284,sat + graded,2,393,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-203-19371032,model,0.0,0.0,0.0,52.882,0.0,0.0,17.526,0.0,84234.0,yes,2022-07-17 18:07:41: ../wrapper.py 203 1 19371032 tuning -numChars_min 4 -numChars_max 20 -lam_min 3 -lam_max 37 -numCodeWords_min 2 -numCodeWords_max 2 -dist_min 3 -dist_max 15,364516c70c69b87fa143ba12a4c8138b,76.1407043933868,203,19371032,sat + graded,2,404,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
1,inst-252-19371032,model,0.0,0.0,0.0,181.265,0.0,0.0,73.552,0.0,422254.0,yes,2022-07-17 18:07:41: ../wrapper.py 252 1 19371032 tuning -numChars_min 14 -numChars_max 29 -lam_min 14 -lam_max 18 -numCodeWords_min 2 -numCodeWords_max 14 -dist_min 7 -dist_max 11,fc3e9b800730c098376f1498ef3c1f39,261.198082923889,252,19371032,sat + graded,2,421,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-chuffed-train/055-EFPA/Seed1-irace-5000
