Unnamed: 0,Instance,TotalTime,Satisfiable,Killed,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,chuffed_RealTime,chuffed_CPUTime,chuffed_CPUUserTime,chuffed_CPUSystemTime,chuffed_CPUUsage,solver_satisfiable,solver_nodes,solver_failures,solver_restarts,solver_variables,solver_intVars,solver_boolVariables,solver_propagators,solver_propagations,solver_peakDepth,solver_nogoods,solver_backjumps,solver_peakMem,solver_time,solver_initTime,solver_solveTime,solver_objective,solver_baseMem,solver_trailMem,solver_randomSeed
0,95190103b91901df71fae941335c00ae.param,11.056202,True,False,0.399812,0.355316,0.339495,0.015821,88.8708,4.16731,14.4538,14.0051,0.448768,346.839,6.48908,6.46518,6.42542,0.039763,99.6318,True,109901.0,34110.0,107.0,39136.0,4680.0,34454.0,1760.0,10535119.0,457.0,34110.0,56346.0,0.0,6.464,0.156,6.308,-1.0,0.0,0.19,364773034.0
1,d02a86e7b42bb3f97f70d61c1daa73bf.param,14.364586,True,False,0.428126,0.411287,0.396433,0.014854,96.0668,6.90506,17.2238,16.577,0.646743,249.437,7.0314,7.04443,6.99768,0.046746,100.185,True,162717.0,15486.0,58.0,72795.0,8424.0,64369.0,1156.0,3845436.0,746.0,15486.0,128242.0,0.0,7.039,0.258,6.781,-1.0,0.0,0.28,569459731.0
2,cfeb8dd42c667cf4d658e896433f1469.param,13.701517,True,False,0.384687,0.35234,0.332506,0.019834,91.5913,2.97103,11.6204,11.2203,0.400066,391.123,10.3458,10.2728,10.2321,0.040779,99.2951,True,261305.0,98691.0,254.0,23180.0,2940.0,20238.0,3298.0,31929940.0,245.0,98691.0,134924.0,0.0,10.29,0.076,10.214,-1.0,0.0,0.12,508299779.0
3,8c2798897a93cd43dc0207b27eff8367.param,17.351941,True,False,0.403491,0.362479,0.346675,0.015804,89.8357,7.54831,18.4597,17.8419,0.617837,244.554,9.40014,9.35134,9.31359,0.037755,99.4808,True,156721.0,9945.0,34.0,55973.0,6670.0,49301.0,1494.0,3515617.0,1027.0,9945.0,132402.0,0.0,9.356,0.308,9.048,-1.0,0.0,0.19,393115690.0
4,aa7c8db7712baf85e7a212f419bd91e6.param,21.504944,True,False,0.452894,0.407355,0.395341,0.012014,89.9449,8.91255,19.77,19.0927,0.677257,221.822,12.1395,12.0817,12.0101,0.071591,99.5237,True,126554.0,14821.0,55.0,84927.0,9828.0,75097.0,1336.0,5220828.0,797.0,14821.0,91279.0,0.0,12.094,0.299,11.795,-1.0,0.0,0.28,19371032.0
5,a48f7ce6f6efa5d17113084a19c2c513.param,24.216545,True,False,0.434045,0.378983,0.363991,0.014992,87.3142,12.6107,23.9092,22.9669,0.942351,189.594,11.1718,11.1476,11.098,0.049668,99.7835,True,177246.0,6562.0,30.0,108463.0,12580.0,95881.0,1772.0,3587169.0,1197.0,6562.0,154379.0,0.0,11.143,0.368,10.775,-1.0,0.0,0.42,716030871.0
6,d315861938d6bdaefb72c00b91828331.param,15.488586,True,False,0.554666,0.468734,0.406838,0.061896,84.5074,3.25792,11.8607,11.4336,0.427073,364.056,11.676,11.6226,11.5739,0.048748,99.5427,True,185324.0,56101.0,150.0,30806.0,3780.0,27024.0,1872.0,14901942.0,450.0,56101.0,101594.0,0.0,11.664,0.167,11.497,-1.0,0.0,0.12,24629714.0
7,30b7d179023d753b1014169f9684bcf0.param,15.416654,True,False,0.442024,0.41535,0.368049,0.047301,93.9655,3.81233,11.8673,11.398,0.469322,311.288,11.1623,11.0677,11.0338,0.033873,99.1524,True,245992.0,57273.0,155.0,42146.0,5040.0,37104.0,1890.0,14510387.0,636.0,57273.0,156357.0,0.0,11.099,0.13,10.969,-1.0,0.0,0.19,1724245322.0
8,dd9df33e8cd40f7c776f5124aa508989.param,40.16223,True,False,0.3926,0.359394,0.343593,0.015801,91.542,7.70713,18.6813,18.0937,0.587623,242.39,32.0625,31.9202,31.8435,0.076676,99.5561,True,320983.0,85136.0,234.0,59286.0,7200.0,52084.0,3178.0,42917291.0,956.0,85136.0,170412.0,0.0,32.025,0.223,31.802,-1.0,0.0,0.28,508299779.0
9,11adc5b50e5b58c74fdb096708825a33.param,43.411703,True,False,0.408603,0.371024,0.360905,0.010119,90.803,11.7673,21.5468,20.6933,0.853494,183.106,31.2358,31.0444,30.9728,0.071625,99.3873,True,503481.0,26616.0,82.0,93122.0,10933.0,82187.0,1941.0,11190381.0,1770.0,26616.0,429080.0,0.0,31.18,0.502,30.678,-1.0,0.0,0.42,132362068.0
10,22ae89ee5496e6ccb282dadac95694d6.param,24.072037,True,False,0.538837,0.454112,0.40024,0.053872,84.2763,12.9683,22.6792,21.6735,1.00571,174.882,10.5649,10.4918,10.444,0.0478,99.3084,True,306278.0,5836.0,26.0,110373.0,12870.0,97501.0,2014.0,4618061.0,1505.0,5836.0,283354.0,0.0,10.502,0.344,10.158,-1.0,0.0,0.42,716030871.0
11,b4702ea895e8201c477b49c7a8a5e9a4.param,19.022732,True,False,0.426192,0.378604,0.352112,0.026492,88.8341,7.24634,18.0362,17.4149,0.621324,248.901,11.3502,11.2548,11.213,0.041723,99.159,True,175313.0,22714.0,66.0,54963.0,6480.0,48481.0,1252.0,5228131.0,821.0,22714.0,129195.0,0.0,11.308,0.295,11.013,-1.0,0.0,0.19,132362068.0
12,155cff6861b49b7b819fd8df9f99be0d.param,24.901974,True,False,0.469374,0.409847,0.351287,0.05856,87.3178,14.0306,23.9961,23.0061,0.989992,171.027,10.402,10.3279,10.293,0.034875,99.2869,True,95751.0,9778.0,33.0,98931.0,11664.0,87265.0,2212.0,4931819.0,792.0,9778.0,67091.0,0.0,10.356,0.336,10.02,-1.0,0.0,0.42,1457301386.0
