Instance,TotalTime,Satisfiable,Killed,TimeOut,Solver,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,conjure_Timeout,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,savilerow_Timeout,chuffed_RealTime,chuffed_CPUTime,chuffed_CPUUserTime,chuffed_CPUSystemTime,chuffed_CPUUsage,chuffed_Timeout,solver_satisfiable,solver_backjumps,solver_baseMem,solver_boolVariables,solver_failures,solver_initTime,solver_intVars,solver_nodes,solver_nogoods,solver_objective,solver_peakDepth,solver_peakMem,solver_propagations,solver_propagators,solver_randomSeed,solver_restarts,solver_solveTime,solver_time,solver_trailMem,solver_variables
2860ca5061b0a6f0c51d2d6a7460a046.param,13.586405,True,False,False,chuffed,0.458425,0.442396,0.423724,0.018672,96.5034,False,6.58651,13.8879,13.5561,0.331745,210.853,False,6.54147,6.51836,6.48251,0.035849,99.6467,False,True,79876,0.00,167298,8603,0.251,1231,90080,8603,-1,162,0.00,20661433,5617,708889993,31,6.225,6.476,0.28,168531
039cae29879dfce0c23d848b956b5ec8.param,15.508897000000001,True,False,False,chuffed,0.464297,0.441908,0.427081,0.014827,95.1778,False,6.20405,14.4029,14.0546,0.348294,232.152,False,8.84055,8.81094,8.77704,0.033902,99.6651,False,True,100885,0.00,188974,12287,0.274,1219,115347,12287,-1,276,0.00,24419426,5153,1729375933,46,8.494,8.768,0.19,190195
4d2cf670d5b864dc118e26b28b034c01.param,15.325128,True,False,False,chuffed,0.416898,0.397238,0.385269,0.011969,95.2842,False,6.67985,15.487,15.1308,0.356147,231.846,False,8.22838,8.16093,8.11621,0.04472,99.1802,False,True,72354,0.00,196229,6410,0.301,1637,80397,6410,-1,186,0.00,25533831,7673,997811386,30,7.860,8.161,0.42,197868
f7a2e7a1b81c7f0603d7cb0a29ebdacc.param,17.999418,True,False,False,chuffed,0.393898,0.37804,0.364616,0.013424,95.9741,False,6.18602,14.4967,14.1667,0.330002,234.346,False,11.4195,11.3801,11.3402,0.039883,99.6552,False,True,143401,0.00,185063,17848,0.268,1341,164404,17848,-1,194,0.00,43994865,6101,32217258,62,11.088,11.356,0.28,186406
3e513e00610c2cfd86e959303ffd5985.param,16.977280999999998,True,False,False,chuffed,0.060791,0.37917,0.359376,0.019794,623.727,False,5.60839,14.898,14.5702,0.327794,265.638,False,11.3081,11.269,11.2392,0.029832,99.6544,False,True,117078,0.00,169998,9982,0.252,1231,128726,9982,-1,222,0.00,36657681,5617,1308277068,34,10.994,11.246,0.42,171231
729282bc104afcb461db31bcc4aa80f9.param,17.022629,True,False,False,chuffed,0.405009,0.37923,0.356825,0.022405,93.635,False,6.34382,15.2643,14.9073,0.356959,240.617,False,10.2738,10.2306,10.1978,0.032892,99.5798,False,True,123177,0.00,189525,16609,0.278,1461,143008,16609,-1,192,0.00,39735195,6493,910552512,62,9.933,10.211,0.28,190988
dbcbd6c68cd1f9320de758f1d57f097b.param,16.8951,True,False,False,chuffed,0.39724,0.37733,0.361388,0.015942,94.9879,False,6.45076,15.8282,15.4645,0.363671,245.369,False,10.0471,10.0089,9.96614,0.04281,99.6199,False,True,90889,0.00,203532,17331,0.485,1675,111894,17331,-1,242,0.00,30551757,7673,1034773149,62,9.497,9.982,0.28,205209
2ae3336494eecb27e9f0b1a840e39482.param,20.194252,True,False,False,chuffed,0.405242,0.383008,0.36998,0.013028,94.5134,False,7.06101,17.4504,17.0575,0.392965,247.138,False,12.728,12.668,12.6202,0.047817,99.5282,False,True,86695,0.00,197197,20122,0.485,1784,110425,20122,-1,149,0.00,34830407,7927,1729375933,63,12.163,12.648,0.28,198983
8c8b362d6c42ba3b061b175cb19ff31c.param,19.848734,True,False,False,chuffed,0.400244,0.379323,0.365331,0.013992,94.7729,False,6.31239,14.5258,14.2053,0.320535,230.116,False,13.1361,13.0735,13.0357,0.037866,99.5236,False,True,143780,0.00,185273,17433,0.275,1337,164231,17433,-1,423,0.00,47162962,6101,1308277068,62,12.796,13.071,0.42,186612
da57c5d135fa65d04ecdf900decfc736.param,20.956795,True,False,False,chuffed,0.397095,0.385835,0.371863,0.013972,97.1644,False,6.2426,13.7877,13.4602,0.327428,220.864,False,14.3171,14.2551,14.2053,0.049785,99.5667,False,True,167450,0.00,182228,21579,0.271,1351,192439,21579,-1,511,0.00,50323008,6101,248532486,63,13.986,14.257,0.28,183581
7e68c4af61493952934a8850d6f44429.param,20.498062,True,False,False,chuffed,0.417502,0.395552,0.384628,0.010924,94.7426,False,6.94806,15.5157,15.1842,0.331458,223.31,False,13.1325,13.0746,13.0089,0.065693,99.5594,False,True,107236,0.00,240042,8345,0.582,1753,117368,8345,-1,211,0.00,36456762,8153,1775965088,31,12.479,13.061,0.63,241797
9eaf0b24d41ee01bd393e0d4a5b24da8.param,19.981203999999998,True,False,False,chuffed,0.742114,0.71007,0.692782,0.017288,95.6821,False,6.37399,15.1918,14.8217,0.370155,238.341,False,12.8651,12.8154,12.7786,0.036858,99.6141,False,True,155207,0.00,184112,19541,0.306,1449,178218,19541,-1,188,0.00,49868565,6521,471384344,63,12.500,12.806,0.42,185563
b5926cd912cad79fc5dda4e0e579e38c.param,20.366168000000002,True,False,False,chuffed,0.404238,0.383239,0.374219,0.00902,94.8053,False,7.05723,15.8457,15.4738,0.371926,224.531,False,12.9047,12.85,12.7992,0.050785,99.5761,False,True,128191,0.00,205218,22031,0.496,1680,153799,22031,-1,160,0.00,42311831,7603,769305921,63,12.343,12.839,0.28,206900
7df97388610ce1a5cc0470ed406f86df.param,19.765806,True,False,False,chuffed,0.242966,0.377416,0.366396,0.01102,155.337,False,6.04584,14.8447,14.4474,0.397312,245.537,False,13.477,13.4464,13.4095,0.036835,99.7723,False,True,135573,0.00,191195,17889,0.281,1450,156717,17889,-1,238,0.00,41830410,6591,708889993,62,13.146,13.427,0.28,192647
5e97371529158114403df18aa368abe8.param,20.284534,True,False,False,chuffed,0.404054,0.381165,0.370258,0.010907,94.3352,False,6.75698,17.0435,16.6659,0.377668,252.236,False,13.1235,13.0681,13.0154,0.052758,99.5783,False,True,110434,0.00,189064,12369,0.457,1875,125499,12369,-1,226,0.00,54691465,8821,997811386,46,12.588,13.045,0.63,190941
bfb6c1789a0ab60f1de74f36347ba0ac.param,21.106489,True,False,False,chuffed,0.123589,0.435737,0.418779,0.016958,352.57,False,6.846,17.9757,17.6233,0.352383,262.572,False,14.1369,14.0837,14.0509,0.03288,99.6242,False,True,123857,0.00,142898,19888,0.227,1718,145763,19888,-1,162,0.00,59647261,7481,769305921,63,13.853,14.080,0.28,144618
dcf59f3456a366a5cd761469e6c640d3.param,22.392146,True,False,False,chuffed,0.453956,0.437883,0.422021,0.015862,96.4594,False,5.75369,15.2757,14.9073,0.368408,265.494,False,16.1845,15.9502,15.9163,0.033893,98.5522,False,True,188343,0.00,196523,17476,0.279,1349,208797,17476,-1,335,0.00,55549791,6101,471384344,62,15.648,15.927,0.42,197874
8478cdb4eefc3089ceca54ab544d1ffe.param,22.871102999999998,True,False,False,chuffed,0.413963,0.375171,0.361872,0.013299,90.6291,False,6.49134,14.6299,14.2863,0.343561,225.376,False,15.9658,15.8998,15.848,0.051757,99.5866,False,True,163984,0.00,191966,26259,0.522,1563,194930,26259,-1,233,0.00,58188505,7129,1034773149,79,15.377,15.899,0.28,193531
7f0e65f50054855e09e6cd08e66842ba.param,22.844397,True,False,False,chuffed,0.408627,0.385126,0.370074,0.015052,94.2488,False,5.12897,13.8276,13.5172,0.310373,269.598,False,17.3068,17.2504,17.2165,0.033882,99.674,False,True,200899,0.00,150554,32339,0.222,1347,237997,32339,-1,196,0.00,78398449,6101,248532486,98,17.051,17.273,0.42,151903
bcdf5b1cd6bb71a8af98869fa388b1e1.param,23.947882,True,False,False,chuffed,0.405212,0.390918,0.377814,0.013104,96.4725,False,6.79067,17.2927,16.8989,0.393796,254.654,False,16.752,16.6843,16.6275,0.056793,99.5956,False,True,154844,0.00,226323,21932,0.452,1797,180511,21932,-1,487,0.00,54315928,8237,248532486,63,16.207,16.659,0.42,228122
a58369ca7edade869b8cb976f6ce7906.param,25.014175,True,False,False,chuffed,0.434575,0.413463,0.394632,0.018831,95.1419,False,6.4959,13.5605,13.1979,0.362637,208.755,False,18.0837,18.0035,17.9637,0.039821,99.5566,False,True,188030,0.00,189893,21423,0.438,1381,212093,21423,-1,168,0.00,58051738,6101,1729375933,63,17.566,18.004,0.28,191276
