Streamliner,Instance,SolverSatisfiable,SavileRowTotalTime,SolverSolveTime,SolverTimeOut,SolverNodes,SavileRowMemOut,SavileRowTimeOut,BaseModelTime,Seed,RunId
18,dedbd31150f3411a10b6d1e0dc248018.param,True,7.21,2.5,0,28192.0,0,0,300,1013400673,
18,fa464f8958d094809650834c5fd6211f.param,True,12.334,4.5,0,38234.0,0,0,300,1239644459,
18,e7afe15b9590c1123451516c7a464bb6.param,True,14.607,3.8,0,21241.0,0,0,300,69538093,
18,9d4cfc69fbc664128a92acf38137396d.param,True,15.772,4.1,0,40226.0,0,0,300,1284241217,
18,e3472757518fed8f4ee7b818f5d6b549.param,True,15.347,5.8,0,35920.0,0,0,300,744323180,
18,7da0f09e59fd1d248970ae88a75912c8.param,True,13.007,11.7,0,29931.0,0,0,300,68988760,
18,6d0100641f5f8fc5784cc890904ff4d5.param,True,16.293,9.2,0,56965.0,0,0,300,1619106388,
18,a50b083538ea1cc420be003c26932859.param,True,19.963,6.9,0,67422.0,0,0,300,388100837,
18,6937eb46592d28a8b74d2ec4429ab008.param,True,25.3,3.6,0,4456.0,0,0,300,2046511596,
18,3f69a81f529dd135bb7c5540b82aef2d.param,True,17.242,12.1,0,306181.0,0,0,300,277159353,
18,0362f62a05a67ecd1d403264621bf28c.param,True,7.86,17.6,0,355713.0,0,0,300,973248006,
18,1742ed29108381e911ebcb72def8c2ae.param,True,12.205,16.2,0,192248.0,0,0,300,1001726218,
18,9effcb03709b17aeea55bedd6ad68cbd.param,True,13.428,17.2,0,221594.0,0,0,300,250908876,
18,37af0b9f06a9513195cb223806ffb738.param,True,22.78,8.5,0,120450.0,0,0,300,2071023479,
18,f003f3d04aa0d6769dd38c6c82fd6273.param,True,21.856,11.7,0,17411.0,0,0,300,1674225298,
18,207044a391f7f8acbcf093b9854deb41.param,True,22.699,11.4,0,18849.0,0,0,300,250908876,
18,589f63cf645957ed94e6b25564602a7e.param,True,13.44,18.9,0,188804.0,0,0,300,1619106388,
18,105d34124fab57f00515544c0f2da489.param,True,10.155,23.2,0,358526.0,0,0,300,78986094,
18,6781ab9a96fb3bc36d91327e8fc3dbd9.param,True,7.254,25.2,0,310122.0,0,0,300,1442484079,
18,c566f50a9fc59f8b82a803c252c742e2.param,True,14.137,23.8,0,525887.0,0,0,300,2046511596,
18,f81ee25223939655f15670ff26095385.param,True,9.893,27.1,0,454383.0,0,0,300,1932416450,
18,32e428685960e9d1c472b0459945d668.param,True,7.778,28.1,0,441042.0,0,0,300,925836541,
18,12cd85de34d5d964f776f9941da86653.param,True,12.123,27.6,0,438118.0,0,0,300,1100722462,
18,67e797dbfe7711e2b13dcb3ab55bcaf3.param,True,11.041,5.9,0,21324.0,0,0,300,277159353,
18,3cc0b62b438905d4419d667bcdc9854c.param,True,7.292999999999997,4.9,0,15971.0,0,0,300,154214791,
18,1fb7821f596b4381a73b1556ac1f59f5.param,True,15.720999999999998,32.3,0,345788.0,0,0,300,1607214242,
18,ee4850b8bd52d2b886dce224755ddab8.param,True,12.153,5.1,0,12342.0,0,0,300,2090072651,
18,3f9f6fecc3e343dc171c8144e2502643.param,True,20.489,30.8,0,399683.0,0,0,300,1169256702,
18,7ba2587394e896bb74f3fe9cab31ad6e.param,True,13.196,2.9,0,3800.0,0,0,300,2016905178,
18,c0d8191fc9ff3a6c30596a328ec6da31.param,True,3.596,23.4,0,309041.0,0,0,300,69538093,
18,75ee80336a6d6cf28fb239569e2889a2.param,True,3.132,30.8,0,366935.0,0,0,300,388100837,
