Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
3,fd8e182211e113a37d20fa9f04168bb7,False,,301.0,,,1,,1243609504,11.4,144.488,,155.888,-inf,-inf
3,b24c9115865a44e5e7f0fa89d58300de,False,,301.0,,,1,,1459165846,11.1,125.881,,136.981,-inf,-inf
3,925b8783453f49195e2bf0ce0f28832d,True,77.7,10.5,0.0,590500.0,0,0.0,997757464,28.4,15.081,88.2,43.480999999999995,0.630281690140845,-1.0284722062510065
3,52fcfe1dc48355c011914b91714d24f5,False,,301.0,,,1,,2037997086,14.2,114.192,,128.392,-inf,-inf
3,d9907ae109c86ad7b860d07019e19b1e,False,,301.0,,,1,,338549758,11.6,140.023,,151.623,-inf,-inf
3,8057d048d360ffad4b197e386d270b6d,False,,301.0,,,1,,1459165846,10.7,124.979,,135.679,-inf,-inf
3,84683c9c544653d3e75294f2ece0ef71,False,,301.0,,,1,,625519950,10.3,106.948,,117.24799999999999,-inf,-inf
3,aeedb9dfe48551e5c25e1e73cec7b0a5,False,,301.0,,,1,,707724820,10.6,128.19299999999998,,138.79299999999998,-inf,-inf
3,fec773640580b27898632fdeff68088e,True,84.015,86.5,0.0,5577388.0,0,0.0,1459165846,10.4,15.54,170.515,25.939999999999998,-7.317307692307692,-5.573438704703161
3,da6eb90be3db493a9e0a9214504c7469,True,97.258,114.0,0.0,2251372.0,0,0.0,1422075734,39.6,17.678,211.25799999999998,57.278000000000006,-1.878787878787879,-2.6882921889730778
3,fee67975150af79a6bb93e5a3083e201,True,220.502,14.7,0.0,42287.0,0,0.0,1243609504,10.6,64.135,235.202,74.735,-0.38679245283018865,-2.147146584598916
3,68cbf36d52a5c0a2cc4416ad768ce05a,True,254.661,18.2,0.0,62037.0,0,0.0,1719697662,11.7,73.358,272.861,85.058,-0.5555555555555556,-2.207940464153871
3,45f43cdc113cb2f8d431c844d485aacc,True,259.382,17.6,0.0,67576.0,0,0.0,1514600599,16.5,78.043,276.982,94.543,-0.06666666666666675,-1.9296933670393368
3,4d2df5c20fa9361a54240a386ef83fa3,True,129.05,144.9,0.0,3027196.0,0,0.0,1949092726,36.8,23.052,273.95000000000005,59.852,-2.9375000000000004,-3.577123571476309
3,497d3b1d693eca8b0358c66ae9eb4461,False,,301.0,,,0,1.0,1949092726,10.8,140.08100000000002,,150.88100000000003,-inf,-inf
3,98b5e0e14ea46bd71e0e0de788b6f6e9,False,,301.0,,,0,1.0,1422075734,11.2,113.449,,124.649,-inf,-inf
3,64c953a6fae4154e70c6db9c5e01e091,False,,301.0,,,0,1.0,526627491,12.3,113.047,,125.347,-inf,-inf
3,11d2887c324233992c75d8e90d68f52d,False,,301.0,,,0,1.0,2037997086,18.1,195.999,,214.099,-inf,-inf
3,f62c5dee3c93c6affee6c086ba239c0a,False,,301.0,,,0,1.0,1422075734,10.7,99.233,,109.933,-inf,-inf
3,86d3d37918cdc4d2230432ef1413f78b,False,,301.0,,,0,1.0,1459165846,13.1,151.089,,164.189,-inf,-inf
3,a50386361dc470c7438b6327453de6ab,False,,301.0,,,0,1.0,1949092726,10.4,103.266,,113.66600000000001,-inf,-inf
3,7fe95d04e32f5e433c9da065985a605d,False,,301.0,,,0,1.0,1719697662,28.1,141.624,,169.724,-inf,-inf
