Instance,TotalTime,Satisfiable,Killed,TimeOut,Solver,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,conjure_Timeout,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,savilerow_Timeout,lingeling_RealTime,lingeling_CPUTime,lingeling_CPUUserTime,lingeling_CPUSystemTime,lingeling_CPUUsage,lingeling_Timeout,solver_satisfiable,solver_conflicts,solver_ternaries,solver_binaries,solver_iterations,solver_reductions,solver_restarts,solver_decisions,solver_propagations,solver_percentageSimplifying,solver_percentageSearch,solver_randomSeed,solver_time
89294a0fc1ec7aacc9f48cfe4e4ab54a.param,24.539858,True,False,False,lingeling,0.368888,0.353946,0.342005,0.011941,95.9495,False,5.28687,20.7547,20.228,0.526692,392.571,False,18.8841,18.8175,18.7173,0.10011,99.647,False,True,27838.0,696.0,94.0,3.0,6.0,2570.0,1163266.0,36146092.0,32.0,68.0,1618562023,18.6
37a7b386d2f4c306ced6909a07f72a51.param,30.523699,True,False,False,lingeling,0.397999,0.350734,0.33982,0.010914,88.1243,False,12.3695,29.3524,28.5083,0.844065,237.297,False,17.7562,17.7072,17.5777,0.129536,99.7241,False,True,12573.0,153.0,14.0,4.0,3.0,26.0,902692.0,31924962.0,38.0,62.0,364773034,17.4
b48580a37711f49a3a6c0d564d1e7655.param,33.612906,True,False,False,lingeling,0.483936,0.437756,0.421856,0.0159,90.4574,False,8.26487,24.4655,23.7533,0.712181,296.018,False,24.8641,24.7819,24.6198,0.162079,99.6696,False,True,26882.0,698.0,41.0,3.0,6.0,2435.0,1919929.0,64192820.0,26.0,74.0,1444739013,24.5
69bec7ec25d9965d1daf09a2cc4e177a.param,34.436569000000006,True,False,False,lingeling,0.434319,0.40229,0.393337,0.008953,92.6255,False,8.76825,24.4053,23.727,0.678221,278.337,False,25.234,25.1475,25.014,0.133508,99.6573,False,True,11024.0,473.0,16.0,3.0,2.0,1009.0,1773665.0,53758650.0,23.0,77.0,132362068,24.9
229aa6bdb24387669e5e7f3dc85282a3.param,35.550546999999995,True,False,False,lingeling,0.383947,0.356077,0.348064,0.008013,92.7412,False,11.4299,29.0519,28.2518,0.800052,254.175,False,23.7367,23.5071,23.3138,0.19337,99.033,False,True,22252.0,306.0,29.0,3.0,6.0,146.0,1164875.0,41766147.0,39.0,61.0,750180309,23.2
bafdfbbe31e815b7a8ac8aad996318ae.param,47.065606,True,False,False,lingeling,0.497546,0.43834,0.419596,0.018744,88.1004,False,8.88066,25.0582,24.2864,0.771766,282.166,False,37.6874,37.5437,37.3615,0.182276,99.6189,False,True,26597.0,1769.0,19.0,3.0,5.0,2089.0,2369267.0,66608902.0,26.0,74.0,1646195835,37.3
ca9aa3d4222be305bd7880ab9d48fd5c.param,49.528459,True,False,False,lingeling,0.384659,0.354694,0.345708,0.008986,92.21,False,12.8039,29.256,28.4213,0.834727,228.493,False,36.3399,36.2384,36.0212,0.217213,99.7206,False,True,32919.0,654.0,36.0,1.0,8.0,193.0,1861696.0,67731579.0,27.0,73.0,750180309,35.8
7d14c2e9d688d0e37258da1b9d0ec67e.param,52.228345,True,False,False,lingeling,0.399645,0.358708,0.344824,0.013884,89.7566,False,41.0756,61.5592,60.0401,1.51907,149.868,False,10.7531,10.7065,10.4327,0.273841,99.5666,False,True,911.0,11.0,18.0,2.0,0.0,55.0,172614.0,6821203.0,68.0,32.0,750180309,9.5
6103c3b19f1aaa2cb6b59d32cd844340.param,25.326568,True,False,False,lingeling,0.411668,0.38957,0.375793,0.013777,94.6321,False,11.2571,27.0353,26.2037,0.831537,240.163,False,13.6578,13.6091,13.4178,0.191305,99.6438,False,True,4379.0,183.0,27.0,2.0,1.0,179.0,332427.0,11396962.0,65.0,35.0,364773034,13.0
3d32ad6c74b7cada9284e0eb8a096c14.param,32.734258999999994,True,False,False,lingeling,0.499069,0.467455,0.448049,0.019406,93.6654,False,24.2491,37.1782,35.9016,1.2766,153.318,False,7.98609,7.95857,7.68254,0.276034,99.6555,False,True,3701.0,96.0,32.0,0.0,1.0,11.0,67010.0,2141489.0,92.0,8.0,24629714,7.4
7b9fb5b45330f704c7b445e90167c139.param,67.51443499999999,True,False,False,lingeling,0.364635,0.355202,0.340209,0.014993,97.413,False,13.2267,31.6468,30.796,0.850744,239.265,False,53.9231,53.7614,53.4376,0.323768,99.7,False,True,39895.0,1618.0,20.0,3.0,6.0,83.0,2723681.0,114420506.0,31.0,69.0,132362068,53.4
6aa266f2f175beadbfa72967420f920a.param,71.114104,True,False,False,lingeling,0.390514,0.353736,0.341769,0.011967,90.5822,False,64.4522,82.8276,81.1819,1.64569,128.51,False,6.27139,6.24216,6.03388,0.208275,99.5338,False,True,954.0,1.0,0.0,0.0,0.0,7.0,110263.0,2151825.0,88.0,12.0,81348047,5.3
