feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,configurationId,configurationSeed,type,iteration,runId,directory
1,inst-3-1646195835,model,0,0,0.0,48.717,0.0,0.0,32.4,0.0,610023.0,yes,2022-08-19 16:16:06: ../wrapper.py 3 1 1646195835 tuning -numChars_min 5 -numChars_max 23 -lam_min 37 -lam_max 47 -numCodeWords_min 2 -numCodeWords_max 6 -dist_min 8 -dist_max 20,9909733210d6fb7f73fabd30c5e9bce5,88.8466377258301,3,1646195835,sat + graded,1,169,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-44-1646195835,model,0,0,0.0,15.507,0.0,0.0,19.6,0.0,613914.0,yes,2022-08-19 16:27:24: ../wrapper.py 44 1 1646195835 tuning -numChars_min 7 -numChars_max 8 -lam_min 16 -lam_max 49 -numCodeWords_min 2 -numCodeWords_max 12 -dist_min 29 -dist_max 41,cb2d9af7b4f3931103435755776d5d77,44.0118906497955,44,1646195835,sat + graded,1,210,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-117-1646195835,model,0,0,0.0,33.658,0.0,0.0,15.2,0.0,43449.0,yes,2022-08-19 16:50:30: ../wrapper.py 117 1 1646195835 tuning -numChars_min 6 -numChars_max 12 -lam_min 42 -lam_max 47 -numCodeWords_min 2 -numCodeWords_max 3 -dist_min 18 -dist_max 44,4f2c97fde3ce41b40acc2873820661af,54.6801042556763,117,1646195835,sat + graded,1,283,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-3-508299779,model,0,0,0.0,15.317,0.0,0.0,12.9,0.0,199046.0,yes,2022-08-19 17:17:22: ../wrapper.py 3 1 508299779 tuning -numChars_min 5 -numChars_max 23 -lam_min 37 -lam_max 47 -numCodeWords_min 2 -numCodeWords_max 6 -dist_min 8 -dist_max 20,10d5afbd41a511e757134c56f316e35e,34.1816093921661,3,508299779,sat + graded,1,335,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-22-508299779,model,0,0,0.0,16.338,0.0,0.0,15.8,0.0,219223.0,yes,2022-08-19 17:17:22: ../wrapper.py 22 1 508299779 tuning -numChars_min 38 -numChars_max 43 -lam_min 1 -lam_max 44 -numCodeWords_min 3 -numCodeWords_max 11 -dist_min 37 -dist_max 40,2622a7e7583d9f42800c18d588f437b8,38.3786237239838,22,508299779,sat + graded,1,354,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-47-508299779,model,0,0,0.0,18.83,0.0,0.0,41.7,0.0,2612107.0,yes,2022-08-19 17:28:47: ../wrapper.py 47 1 508299779 tuning -numChars_min 29 -numChars_max 32 -lam_min 2 -lam_max 31 -numCodeWords_min 1 -numCodeWords_max 4 -dist_min 7 -dist_max 15,45026585bbfd6007b8c463796186d57c,65.6163995265961,47,508299779,sat + graded,1,379,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-89-508299779,model,0,0,0.0,211.216,0.0,0.0,14.7,0.0,174764.0,yes,2022-08-19 17:40:21: ../wrapper.py 89 1 508299779 tuning -numChars_min 26 -numChars_max 39 -lam_min 7 -lam_max 40 -numCodeWords_min 1 -numCodeWords_max 43 -dist_min 5 -dist_max 32,a6399989b3b06b53e9bb88afeefece3a,235.539466381073,89,508299779,sat + graded,1,421,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-101-508299779,model,0,0,0.0,200.442,0.0,0.0,20.2,0.0,318624.0,yes,2022-08-19 17:45:35: ../wrapper.py 101 1 508299779 tuning -numChars_min 15 -numChars_max 38 -lam_min 26 -lam_max 31 -numCodeWords_min 1 -numCodeWords_max 44 -dist_min 28 -dist_max 47,67c453dbb64ae135cf7dbb3b330caefd,228.443495988846,101,508299779,sat + graded,1,433,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-116-508299779,model,0,0,0.0,74.75,0.0,0.0,13.7,0.0,69891.0,yes,2022-08-19 17:49:07: ../wrapper.py 116 1 508299779 tuning -numChars_min 15 -numChars_max 19 -lam_min 20 -lam_max 33 -numCodeWords_min 2 -numCodeWords_max 30 -dist_min 29 -dist_max 41,0fdc70975a02870aea09b6612461b931,94.7419455051422,116,508299779,sat + graded,1,448,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-117-508299779,model,0,0,0.0,43.878,0.0,0.0,45.1,0.0,1514341.0,yes,2022-08-19 17:49:24: ../wrapper.py 117 1 508299779 tuning -numChars_min 6 -numChars_max 12 -lam_min 42 -lam_max 47 -numCodeWords_min 2 -numCodeWords_max 3 -dist_min 18 -dist_max 44,aa92e7616cf2cacc2e71b675e0338785,94.5543267726898,117,508299779,sat + graded,1,449,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-121-508299779,model,0,0,0.0,14.761,0.0,0.0,133.9,0.0,4007308.0,yes,2022-08-19 17:50:50: ../wrapper.py 121 1 508299779 tuning -numChars_min 1 -numChars_max 8 -lam_min 5 -lam_max 26 -numCodeWords_min 4 -numCodeWords_max 41 -dist_min 4 -dist_max 8,fff641182da94be3ac00d568970bcefb,153.793407440186,121,508299779,sat + graded,1,453,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-21-19371032,model,0,0,0.0,26.052,0.0,0.0,236.1,0.0,8177417.0,yes,2022-08-19 18:14:51: ../wrapper.py 21 1 19371032 tuning -numChars_min 5 -numChars_max 7 -lam_min 33 -lam_max 44 -numCodeWords_min 2 -numCodeWords_max 7 -dist_min 8 -dist_max 24,79a605ab1f7534cbe85e284f2dc36f83,269.772993803024,21,19371032,sat + graded,1,519,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-47-19371032,model,0,0,0.0,101.015,0.0,0.0,31.8,0.0,594323.0,yes,2022-08-19 18:26:23: ../wrapper.py 47 1 19371032 tuning -numChars_min 29 -numChars_max 32 -lam_min 2 -lam_max 31 -numCodeWords_min 1 -numCodeWords_max 4 -dist_min 7 -dist_max 15,167cd553e05c7d54be4f3f2b674df17f,139.682786226273,47,19371032,sat + graded,1,545,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
1,inst-117-19371032,model,0,0,0.0,46.035,0.0,0.0,23.3,0.0,222626.0,yes,2022-08-19 18:49:22: ../wrapper.py 117 1 19371032 tuning -numChars_min 6 -numChars_max 12 -lam_min 42 -lam_max 47 -numCodeWords_min 2 -numCodeWords_max 3 -dist_min 18 -dist_max 44,8a6043db385366f40ead6a142883c9f1,76.0895667076111,117,19371032,sat + graded,1,615,/circa/home/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/EFPA-lingeling-train/055-EFPA/Seed1-irace-5000
