feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-3-1001249781,model,0.0,0.0,0.0,19.546,0.0,0.0,14.3,0.0,9199.0,yes,2019-08-20 11:22:31: ../wrapper.py 3 1 1001249781 tuning -nbCharacter_middle 27 -nbCharacter_delta 5 -maxDist_middle 1 -maxDist_delta 3 -codeWordLength_middle 14 -codeWordLength_delta 3 -numOfCodeWords_middle 6 -numOfCodeWords_delta 2 -dist_range_middle 1 -dist_range_delta 3 -minDist_middle 24 -minDist_delta 21,32642ce48ac7c4f8eb2b8ad51e1ce023,sat + graded,3,1001249781,1.0,3.0,Seed5-irace-5000/chosenInstances
1,inst-52-1001249781,model,0.0,0.0,0.0,123.90899999999999,0.0,0.0,73.2,0.0,57690.0,yes,2019-08-20 11:22:44: ../wrapper.py 52 1 1001249781 tuning -nbCharacter_middle 28 -nbCharacter_delta 6 -maxDist_middle 29 -maxDist_delta 11 -codeWordLength_middle 17 -codeWordLength_delta 4 -numOfCodeWords_middle 12 -numOfCodeWords_delta 2 -dist_range_middle 10 -dist_range_delta 22 -minDist_middle 1 -minDist_delta 139,278e06691d584c7d4b1b7006e354de3e,sat + graded,52,1001249781,1.0,52.0,Seed5-irace-5000/chosenInstances
1,inst-57-1001249781,model,0.0,0.0,0.0,30.590999999999998,0.0,0.0,17.9,0.0,56233.0,yes,2019-08-20 11:22:44: ../wrapper.py 57 1 1001249781 tuning -nbCharacter_middle 12 -nbCharacter_delta 10 -maxDist_middle 2 -maxDist_delta 11 -codeWordLength_middle 25 -codeWordLength_delta 3 -numOfCodeWords_middle 10 -numOfCodeWords_delta 4 -dist_range_middle 8 -dist_range_delta 8 -minDist_middle 1 -minDist_delta 122,8d8445dbd65e772c1fd5c39ee7aeb47d,sat + graded,57,1001249781,1.0,57.0,Seed5-irace-5000/chosenInstances
1,inst-94-1001249781,model,0.0,0.0,0.0,21.351999999999997,0.0,0.0,10.8,0.0,4509.0,yes,2019-08-20 11:22:57: ../wrapper.py 94 1 1001249781 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,9041ec6f51a8451a95bad0ccdda61817,sat + graded,94,1001249781,1.0,94.0,Seed5-irace-5000/chosenInstances
1,inst-111-1001249781,model,0.0,0.0,0.0,297.233,0.0,0.0,162.3,0.0,20957.0,yes,2019-08-20 11:23:02: ../wrapper.py 111 1 1001249781 tuning -nbCharacter_middle 43 -nbCharacter_delta 1 -maxDist_middle 2 -maxDist_delta 1 -codeWordLength_middle 21 -codeWordLength_delta 4 -numOfCodeWords_middle 11 -numOfCodeWords_delta 1 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 16 -minDist_delta 13,3fecf5e671a4f331826f10c60134832d,sat + graded,111,1001249781,1.0,111.0,Seed5-irace-5000/chosenInstances
1,inst-159-1001249781,model,0.0,0.0,0.0,129.553,0.0,0.0,140.2,0.0,269964.0,yes,2019-08-20 11:23:19: ../wrapper.py 159 1 1001249781 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,1e65aa8d7819b1dbe141020eeadfcdbc,sat + graded,159,1001249781,1.0,159.0,Seed5-irace-5000/chosenInstances
1,inst-6-809507184,model,0.0,0.0,0.0,37.997,0.0,0.0,17.4,0.0,9192.0,yes,2019-08-20 11:44:43: ../wrapper.py 6 1 809507184 tuning -nbCharacter_middle 4 -nbCharacter_delta 16 -maxDist_middle 14 -maxDist_delta 10 -codeWordLength_middle 9 -codeWordLength_delta 1 -numOfCodeWords_middle 22 -numOfCodeWords_delta 14 -dist_range_middle 1 -dist_range_delta 10 -minDist_middle 3 -minDist_delta 406,72572bb74640728e39b961e8e1041255,sat + graded,6,809507184,1.0,170.0,Seed5-irace-5000/chosenInstances
1,inst-30-809507184,model,0.0,0.0,0.0,72.253,0.0,0.0,34.8,0.0,14697.0,yes,2019-08-20 11:44:43: ../wrapper.py 30 1 809507184 tuning -nbCharacter_middle 6 -nbCharacter_delta 25 -maxDist_middle 6 -maxDist_delta 5 -codeWordLength_middle 4 -codeWordLength_delta 4 -numOfCodeWords_middle 28 -numOfCodeWords_delta 2 -dist_range_middle 6 -dist_range_delta 12 -minDist_middle 334 -minDist_delta 790,152418f43ddb8f3cbca0501dd6fe8a47,sat + graded,30,809507184,1.0,181.0,Seed5-irace-5000/chosenInstances
1,inst-40-809507184,model,0.0,0.0,0.0,190.44799999999998,0.0,0.0,99.2,0.0,887.0,yes,2019-08-20 11:44:43: ../wrapper.py 40 1 809507184 tuning -nbCharacter_middle 31 -nbCharacter_delta 6 -maxDist_middle 2 -maxDist_delta 7 -codeWordLength_middle 3 -codeWordLength_delta 21 -numOfCodeWords_middle 19 -numOfCodeWords_delta 2 -dist_range_middle 5 -dist_range_delta 25 -minDist_middle 13 -minDist_delta 1,e94aa52ac397e9174895a1c2adf4f411,sat + graded,40,809507184,1.0,183.0,Seed5-irace-5000/chosenInstances
1,inst-52-809507184,model,0.0,0.0,0.0,142.623,0.0,0.0,95.4,0.0,143429.0,yes,2019-08-20 11:44:43: ../wrapper.py 52 1 809507184 tuning -nbCharacter_middle 28 -nbCharacter_delta 6 -maxDist_middle 29 -maxDist_delta 11 -codeWordLength_middle 17 -codeWordLength_delta 4 -numOfCodeWords_middle 12 -numOfCodeWords_delta 2 -dist_range_middle 10 -dist_range_delta 22 -minDist_middle 1 -minDist_delta 139,8628f23987426e6d564abdb87a01e702,sat + graded,52,809507184,1.0,184.0,Seed5-irace-5000/chosenInstances
1,inst-159-809507184,model,0.0,0.0,0.0,77.059,0.0,0.0,28.7,0.0,2708.0,yes,2019-08-20 11:44:51: ../wrapper.py 159 1 809507184 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,a24fcfb73a041639d27a192aa265ca37,sat + graded,159,809507184,1.0,220.0,Seed5-irace-5000/chosenInstances
1,inst-11-1243161153,model,0.0,0.0,0.0,253.65200000000002,0.0,0.0,73.6,0.0,70444.0,yes,2019-08-20 13:19:33: ../wrapper.py 11 1 1243161153 tuning -nbCharacter_middle 1 -nbCharacter_delta 5 -maxDist_middle 13 -maxDist_delta 9 -codeWordLength_middle 22 -codeWordLength_delta 22 -numOfCodeWords_middle 38 -numOfCodeWords_delta 10 -dist_range_middle 9 -dist_range_delta 11 -minDist_middle 49 -minDist_delta 27,df9a5c36a6c7e0b7d2d9b83a36624f44,sat + graded,11,1243161153,1.0,228.0,Seed5-irace-5000/chosenInstances
1,inst-40-1243161153,model,0.0,0.0,0.0,131.95,0.0,0.0,64.0,0.0,15124.0,yes,2019-08-20 13:19:33: ../wrapper.py 40 1 1243161153 tuning -nbCharacter_middle 31 -nbCharacter_delta 6 -maxDist_middle 2 -maxDist_delta 7 -codeWordLength_middle 3 -codeWordLength_delta 21 -numOfCodeWords_middle 19 -numOfCodeWords_delta 2 -dist_range_middle 5 -dist_range_delta 25 -minDist_middle 13 -minDist_delta 1,72f877d7478d64ffe1e38331e2d78f34,sat + graded,40,1243161153,1.0,239.0,Seed5-irace-5000/chosenInstances
1,inst-52-1243161153,model,0.0,0.0,0.0,139.71200000000002,0.0,0.0,79.9,0.0,101596.0,yes,2019-08-20 13:19:33: ../wrapper.py 52 1 1243161153 tuning -nbCharacter_middle 28 -nbCharacter_delta 6 -maxDist_middle 29 -maxDist_delta 11 -codeWordLength_middle 17 -codeWordLength_delta 4 -numOfCodeWords_middle 12 -numOfCodeWords_delta 2 -dist_range_middle 10 -dist_range_delta 22 -minDist_middle 1 -minDist_delta 139,aa08c585359998140d38b7a7f7066720,sat + graded,52,1243161153,1.0,240.0,Seed5-irace-5000/chosenInstances
