Streamliner,Instance,solverTimeDelta,solverNodeDelta
Original,97322adc14e71f497fdc1fc717196c07.param,1.7000000000000008,0.0
Original,3479405d552e884811fce4aacc537f01.param,0.6000000000000005,0.0
260,08871f5ff5f58d3fcf42a99938acec28.param,0.10000000000002274,52698.0
260,8540e210b6737c6614e699dbfe60fa9a.param,0.10000000000002274,47663.0
36,08871f5ff5f58d3fcf42a99938acec28.param,0.5,0.0
36,f4ef268e0b3f268d2e8c0a5588b2ec65.param,1.0,0.0
36,03ed772479441587cdc0677894b3ab73.param,0.9000000000000004,0.0
187,8540e210b6737c6614e699dbfe60fa9a.param,1.3999999999999986,0.0
60,364811af5cc2d6aecb3c72f28b4c4c5e.param,0.0,46851.0
60,193dcd88769acafdb1189f74ae2c8732.param,2.4000000000000004,0.0
12,6e2bb3372d4f9328bf5299cc5936e782.param,0.0999999999999659,45374.0
12,21635bd61cae1a142d7a26ba6a6020ba.param,0.10000000000002274,17531.0
178,7d058894fb6cb32c1f8aa7d8796a6d60.param,1.0999999999999996,0.0
208,89e38311d4936fddf46e0386eb47ed7c.param,8.5,0.0
133-34,8540e210b6737c6614e699dbfe60fa9a.param,0.0999999999999659,772496.0
109,1bc91c0577e6eb3ae4c325970ad1c58f.param,19.400000000000006,0.0
131-133,d726830533ded40b51d8683fd4b1d807.param,0.2999999999999998,0.0
131-133,8540e210b6737c6614e699dbfe60fa9a.param,2.9000000000000057,0.0
131-133,7d058894fb6cb32c1f8aa7d8796a6d60.param,1.1000000000000003,0.0
Original,5a8e2cedbfdee71b649206f60aa4e2eb.param,1.0,0.0
260,d726830533ded40b51d8683fd4b1d807.param,0.20000000000004547,122527.0
260,f4ef268e0b3f268d2e8c0a5588b2ec65.param,0.0,42401.0
260,e955899ae6798d0e343da8cb4e6ca04e.param,0.10000000000002274,107757.0
187,1f34c09b635f1f13178c9180f6ff6179.param,0.5999999999999996,0.0
60,22faf0aa260172668c9d5eb27f88176d.param,0.5999999999999996,0.0
60,02cc660730808145e7245df4c8f0a6c7.param,0.19999999999998863,620349.0
60,03ed772479441587cdc0677894b3ab73.param,0.10000000000002274,1096410.0
12,8aaf674e8bd72cb878565d9538dcc67a.param,0.10000000000002274,25533.0
12,38c974144705c1a4f08e71e1e6937288.param,0.0,25108.0
178,2fd66c494d39f150720bfecda2a42e2b.param,1.5999999999999996,0.0
178,675d530d59eb06f62cbbee28995c5dc1.param,0.6999999999999993,0.0
208,08871f5ff5f58d3fcf42a99938acec28.param,3.3000000000000043,0.0
132,6e2bb3372d4f9328bf5299cc5936e782.param,1.4000000000000021,0.0
132,bed9b68a88c075b92a3b97fc1adbe615.param,0.7000000000000011,0.0
131-133,89e38311d4936fddf46e0386eb47ed7c.param,0.2999999999999998,0.0
131-133,bde9137e05f3a0e1991fad0bc6611641.param,1.1999999999999993,0.0
