instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
f036d8043f8967888e6f6502a95e3bd7,7.25045,8.39729,1.41854,0,0,0,1.86282,1.64935,0.566186,0,1.7172,2.39938,0.809,110568,131281,387,387,4.08746,2,2,1,61394,0,1.2218,144957,515543,87089.9,27551,11223,39504,0,0,12285,10745,0.448757,0.182803,0.786165,0,0,0.200101,0.213835,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,768,0,0,0,8.85856,2.43997,0.63923,1.10439,1.43563,1.46889,0,2.43749,0.135421,0.993974,39745,119625,53320.2,48,31,15.5,0,2,0.0416667,0,1362,50249,0.027105,0.818468,445134,122606,32120.7
0c7514c1ac3790a8b787adbd5442ee4a,7.09222,8.40406,1.51763,0,0,0,1.95277,1.68034,0.585057,0,1.70112,2.41374,0.897363,82441.5,101698,329,329,4.32193,2,2,1,47007,0,1.18693,111748,395050,71339.3,21283,7542,32445,0,0,11372,7159,0.452762,0.160444,0.819235,0,0,0.241921,0.180765,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,651,0,0,0,8.41794,2.52336,0.62452,1.13425,1.59004,1.6759,0,2.46327,0.144415,1.01893,32694,94803,42302.5,48,34,17,0,2,0.0416667,0,1451,39604,0.0366377,0.842513,333384,99935,24733.5
6171d9107b2daae24d0ce4ad3c9ee801,6.86525,7.88251,1.34566,0,0,0,1.75006,1.57243,0.534413,0,1.59149,2.3535,0.725795,112766,130654,384,384,4.24793,2,2,1,62494,0,1.25518,146836,492610,84095.4,27734,12436,37752,0,0,10700,12037,0.443787,0.198995,0.75824,0,0,0.171216,0.24176,1.60015e-05,0,1,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,766,0,0,0,8.6171,2.38105,0.658751,1.09355,1.2689,1.27035,0,2.39306,0.13709,0.967772,38150,115066,52699.3,46,27,13.5,0,2,0.0434783,0,1040,49789,0.0208881,0.7967,429037,118550,32798.6
0632973375ccb42fbc3aaadcf0f1f6be,6.73867,8.15482,1.58464,0,0,0,1.99366,1.67419,0.587715,0,1.67232,2.40578,0.945103,60782,77117.6,270,270,4.32193,2,2,1,35541,0,1.16501,84885,289830,56319.7,16202,5140,25677,0,0,9655,4830,0.455868,0.144622,0.841676,0,0,0.271658,0.158324,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,537,0,0,0,7.85062,2.57777,0.619174,1.1586,1.66069,1.78113,0,2.46546,0.152048,1.03534,25899,72259.4,32751.9,47,35,17.5,0,2,0.0425532,0,1610,30507,0.0527748,0.858361,239499,78640,18889.1
c38becd377d1ab72700b33aec901c5a4,6.54441,7.54102,1.34598,0,0,0,1.70374,1.52638,0.525151,0,1.72213,2.39597,0.709391,80479.3,93527.8,309,309,4.08746,2,2,1,45091,0,1.24156,105986,340032,60691.8,20031,8870,27757,0,0,7961,8561,0.444235,0.196713,0.764277,0,0,0.176554,0.235723,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,612,0,0,0,8.12528,2.38424,0.645948,1.04598,1.21791,1.25498,0,2.42764,0.148342,0.982236,27920,83835.8,38578.8,42,25,12.5,0,2,0.047619,0,916,36318,0.0252217,0.805438,295094,86591,23459.6
6c6ac234f0993fb13eea4b1c3409ae77,7.24977,8.45237,1.45072,0,0,0,1.89199,1.66069,0.573695,0,1.69929,2.39902,0.834908,101214,121649,370,370,4.16993,2,2,1,56607,0,1.20934,133946,478463,82120.9,25447,9924,37287,0,0,12104,9521,0.449538,0.175314,0.796595,0,0,0.213825,0.203405,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,733,0,0,0,8.76748,2.46659,0.633011,1.10916,1.48789,1.53902,0,2.45941,0.137444,1.00453,37532,111999,49771.1,48,32,16,0,2,0.0416667,0,1377,46808,0.029418,0.826894,410388,115456,29630
95e7f2da618dc835048529540956fa70,7.13798,8.20994,1.3776,0,0,0,1.80458,1.61345,0.551071,0,1.72665,2.38041,0.78211,113660,133007,388,388,4,2,2,1,62768,0,1.2353,147788,515321,86468.9,28056,12030,39252,0,0,11538,11560,0.446979,0.191658,0.772495,0,0,0.18382,0.227505,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,771,0,0,0,8.81754,2.40622,0.643825,1.09028,1.34819,1.37323,0,2.42662,0.135398,0.983672,39472,119966,53824.7,47,29,14.5,0,2,0.0425532,0,1188,50812,0.0233803,0.809521,448037,122265,32714
7e99675aa6a9bd4ef059c06edae969f3,6.12178,7.03244,1.30643,0,0,0,1.61459,1.45814,0.497768,0,1.72236,2.38073,0.6826,66722.4,76618.4,269,269,3.70044,2,2,1,37715,0,1.25453,88411,265228,49271.8,16687,7713,22595,0,0,6139,7468,0.44245,0.204507,0.751588,0,0,0.162773,0.248412,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,534,0,0,0,7.67997,2.35093,0.65426,1.02198,1.09797,1.13749,0,2.4072,0.155412,0.975619,22718,67772.8,31933.8,39,22,11,0,2,0.0512821,0,758,30063,0.0252137,0.79711,230883,70676,19669
8f76d4cc78c1d0edb312f6da99ea1fab,7.14149,8.21498,1.37821,0,0,0,1.80606,1.61449,0.551207,0,1.72274,2.38959,0.781865,113753,133144,388,388,4,2,2,1,62815,0,1.23542,147915,516024,86572,28070,12038,39284,0,0,11563,11561,0.446868,0.191642,0.772623,0,0,0.18408,0.227377,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,771,0,0,0,8.82276,2.40696,0.643034,1.08923,1.34854,1.37467,0,2.427,0.135767,0.984085,39505,120150,53865,47,29,14.5,0,2,0.0425532,0,1220,50845,0.0239945,0.80944,448593,122382,32695
f037e9e71fa808b00de7e82311a6d544,7.16047,8.23573,1.3788,0,0,0,1.80463,1.61318,0.55127,0,1.71545,2.38001,0.781174,113398,132760,387,387,4.08746,2,2,1,62623,0,1.23359,147451,515746,86344.4,27958,11974,39208,0,0,11547,11557,0.446449,0.191208,0.772343,0,0,0.184389,0.227657,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,771,0,0,0,8.83305,2.40634,0.643257,1.08849,1.34903,1.37576,0,2.42552,0.135153,0.98593,39425,120019,53771,47,29,14.5,0,2,0.0425532,0,1185,50765,0.0233429,0.810645,448410,122158,32655
