instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
ea6562baaf03856c44fafbae1dddf6f1,2.98206,12.4816,4.1932,0,0,0,0.182656,0.515883,0.51296,0,1.17383,3.54531,1.86778,4667.78,9906.32,4,20.8368,6.94558,2,2,1,3010,0,1.14188,8598,37569.6,12621.5,852,0,1704,0,0,2158,932,0.283056,0,0.646434,0,0,0.716944,0.353566,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,84,0,0,0,3.40516,34.7564,15.81,2.00595,1.28444,1.36455,0,0.835319,1.63936,1.58732,2552,3252.4,7817.62,41,195,65,0,2,0.666667,0,84,2636,0.0318665,0.875748,8976,91618,41675.3
2a6bc331029d6e83379ab98a4e6bf560,2.93164,10.0339,3.42581,0,0,0,0.198059,0.527676,0.508532,0,1.25843,3.38703,2.26392,1914.35,3796.06,4,18.7803,6.26011,2,2,1,1258,0,1.11131,3542,12622.6,4309.67,372,0,728,0,0,886,404,0.295707,0,0.64311,0,0,0.704293,0.35689,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,52,0,0,0,3.25795,18.3092,7.67755,1.47036,1.42279,1.46846,0,1.02281,1.49128,1.50934,1080,1452.13,2914.54,25,121,40.3333,0,2,0.5,0,62,1132,0.0547703,0.899841,3688,20726,8690.99
c2faf3f44f8ad1b071c79eb4bd08b532,2.94391,9.87197,3.35832,0,0,0,0.19017,0.5333,0.521948,0,1.20997,3.61212,2.12116,2373.06,4653.79,4,19.3151,6.43836,2,2,1,1551,0,1.12229,4394,15311.4,5208.75,441,0,878,0,0,1110,504,0.284333,0,0.635311,0,0,0.715667,0.364689,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,60,0,0,0,3.30391,18.1577,7.96386,1.6138,1.51297,1.57608,0,0.993931,1.54789,1.58752,1322,1742.23,3512.44,29,137,45.6667,0,2,0.0689655,0,70,1382,0.0506512,0.891038,4566,25094,11006.1
977c49c71994a788ac632822c478bb3e,2.94126,9.7602,3.31535,0,0,0,0.193653,0.572312,0.555998,0,1.23298,3.58349,2.42719,4291.41,8329.98,4,20.3701,6.79002,2,2,1,2809,0,1.13084,7996,27416.4,9312.82,807,0,1614,0,0,2002,870,0.287291,0,0.649758,0,0,0.712709,0.350242,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,80,0,0,0,3.32609,19.8116,8.87646,1.93167,1.71547,1.77426,0,0.846561,1.42484,1.52139,2406,3059.11,6107.76,39,175,58.3333,0,2,0.0540541,0,80,2484,0.0322061,0.8843,8262,49212,22049.1
73832d8b9443b2292a2c40b4e9aff662,2.97575,11.9695,4.02555,0,0,0,0.18367,0.514633,0.509049,0,1.17834,3.8314,2.02862,4275.49,8952.93,4,20.1683,6.72278,2,2,1,2763,0,1.1361,7882,33071.7,11122.6,787,0,1574,0,0,1976,858,0.284835,0,0.647204,0,0,0.715165,0.352796,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,80,0,0,0,3.38076,29.4539,13.2661,1.94617,1.28746,1.35909,0,0.843043,1.65135,1.60061,2352,3007.65,6984.66,39,167,55.6667,0,2,0.666667,0,80,2432,0.0328947,0.880203,8222,71632,32263.2
db8901f4e38736234da48645939a124b,2.97695,12.1547,4.08989,0,0,0,0.1837,0.514074,0.509933,0,1.17911,4.00822,2.27574,3425.69,7214.83,4,20.5628,6.85427,2,2,1,2213,0,1.13604,6318,26898.4,9050.92,627,0,1254,0,0,1586,694,0.283326,0,0.643737,0,0,0.716674,0.356263,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,72,0,0,0,3.38193,31.4507,14.08,1.83477,1.28228,1.36819,0,0.858135,1.70094,1.50501,1876,2430.16,5689.2,35,183,61,0,2,0.666667,0,72,1948,0.036961,0.880253,6588,61266,27427.9
b1729604de7f64480690986341876207,2.95112,9.29363,3.15471,0,0,0,0.190475,0.517575,0.50632,0,1.21552,3.80169,2.10584,3482.52,6664.61,4,18.0031,6.00102,2,2,1,2271,0,1.12985,6432,21105.8,7164.34,651,0,1290,0,0,1620,720,0.286658,0,0.641791,0,0,0.713342,0.358209,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,72,0,0,0,3.33433,13.7313,6.0626,1.79861,1.45321,1.49381,0,0.96904,1.53819,1.52186,1938,2507.72,4784.14,35,101,33.6667,0,2,0.0571429,0,82,2010,0.040796,0.885073,6702,27600,12185.8
a6ff3d3a144efaef58d6ecfb396277bc,2.93205,10.4592,3.5803,0,0,0,0.198806,0.532528,0.517268,0,1.26363,3.41296,2.15382,3941.27,7948.35,4,19.7343,6.57809,2,2,1,2590,0,1.13398,7274,27089.3,9272.97,750,0,1460,0,0,1840,824,0.289575,0,0.639229,0,0,0.710425,0.360771,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,76,0,0,0,3.32487,21.62,9.42742,1.81972,1.47565,1.48976,0,1.06046,1.55525,1.59993,2208,2858.24,6086.49,37,151,50.3333,0,2,0.0810811,0,86,2284,0.0376532,0.881853,7594,49380,21532.2
5dbe6d0545551753d0368f0aa0e7efb4,2.94024,9.28549,3.1658,0,0,0,0.199498,0.523251,0.505612,0,1.27214,3.27393,1.92223,4620.89,8867.33,4,17.8293,5.94311,2,2,1,3029,0,1.13022,8510,28125.7,9589.2,901,0,1746,0,0,2128,934,0.297458,0,0.651493,0,0,0.702542,0.348507,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,80,0,0,0,3.32313,13.9246,6.05806,1.88827,1.46173,1.4736,0,0.997667,1.45905,1.48451,2600,3356.1,6367.96,39,97,32.3333,0,2,0.410256,0,90,2680,0.0335821,0.88478,8906,37318,16235.6
6d054b31ec11e58d52462705943f3b87,2.94996,9.87357,3.35254,0,0,0,0.190618,0.571512,0.560655,0,1.21597,3.52543,2.44175,3491.86,6792.74,4,20.6561,6.88536,2,2,1,2278,0,1.12884,6450,22492,7637.08,654,0,1296,0,0,1624,722,0.287094,0,0.64222,0,0,0.712906,0.35778,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,72,0,0,0,3.33003,21.4182,9.43626,1.79749,1.75123,1.794,0,0.968777,1.50522,1.63319,1946,2516.89,5059.86,35,187,62.3333,0,2,0.0571429,0,82,2018,0.0406343,0.885865,6720,43222,19042.4
