Instance,TotalTime,Satisfiable,Killed,TimeOut,Solver,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,conjure_Timeout,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,savilerow_Timeout,lingeling_RealTime,lingeling_CPUTime,lingeling_CPUUserTime,lingeling_CPUSystemTime,lingeling_CPUUsage,lingeling_Timeout,solver_satisfiable,solver_conflicts,solver_ternaries,solver_binaries,solver_iterations,solver_reductions,solver_restarts,solver_decisions,solver_propagations,solver_percentageSimplifying,solver_percentageSearch,solver_randomSeed,solver_time
417adef99f8a17dd9a6ef9a59d74cc61.param,13.573258,True,False,False,lingeling,0.434108,0.394384,0.380674,0.01371,90.8493,False,6.96495,16.9082,16.4177,0.490509,242.761,False,6.1742,6.16085,6.05427,0.106572,99.7837,False,True,222,64,10,0,0,7,12826,3666576,90,10,1775965088,5.7
839814d53d2031d86ac2af3a65bee263.param,14.569563,True,False,False,lingeling,0.426243,0.384863,0.373957,0.010906,90.2919,False,7.2642,16.8018,16.2916,0.510171,231.296,False,6.87912,6.84464,6.6683,0.176339,99.4988,False,True,109,39,16,0,0,4,9395,2450816,92,7,1034773149,6.3
e5f83ebd753bff6836e645cf8bd7a6a8.param,15.130263,True,False,False,lingeling,0.404113,0.380358,0.369399,0.010959,94.1217,False,7.21057,17.9652,17.5172,0.447964,249.151,False,7.51558,7.15437,7.0079,0.146474,95.1938,False,True,162,105,14,0,0,6,7113,4379385,88,12,581967781,6.6
9fd613aab1c73a0462946b4e5c73293d.param,15.480912,True,False,False,lingeling,0.424802,0.389743,0.37771,0.012033,91.747,False,7.70254,17.7795,17.34,0.439484,230.826,False,7.35357,7.12716,6.97191,0.155253,96.9211,False,True,348,145,17,0,0,16,19513,5360626,84,16,1034773149,6.6
c589b5ac229286a8fd5e9c02830a06cd.param,15.444388,True,False,False,lingeling,0.393958,0.374638,0.361763,0.012875,95.0959,False,7.78196,17.4664,16.9334,0.532956,224.447,False,7.26847,7.02488,6.81752,0.207363,96.6487,False,True,141,27,7,0,0,11,10884,2923073,93,7,471384344,6.4
52e3a4ca47d31c769e199ff9aa5f2c06.param,16.56597,True,False,False,lingeling,0.45045,0.410006,0.395032,0.014974,91.0214,False,7.93553,16.7988,16.3182,0.480587,211.69,False,8.17999,7.72526,7.58676,0.138497,94.441,False,True,155,96,14,0,0,3,5920,2077784,95,5,1775965088,7.2
13ec3ff922ae5488f031980342cf286e.param,15.440776,True,False,False,lingeling,0.398416,0.375867,0.355878,0.019989,94.3403,False,7.86981,18.3356,17.8694,0.466203,232.986,False,7.17255,6.94093,6.76041,0.180516,96.7707,False,True,238,145,39,1,0,8,4871,4019894,92,8,32217258,6.4
7d77c19caeefdb489ee96e0eec7d0afb.param,16.620344000000003,True,False,False,lingeling,0.393914,0.376561,0.367508,0.009053,95.5947,False,7.96644,18.4697,18.0222,0.447523,231.844,False,8.25999,7.73762,7.52951,0.208111,93.6759,False,True,169,85,26,0,0,7,11031,4801445,87,13,1308277068,7.1
264fb4ee2e0821236fff367fcfe5aee3.param,16.522948,True,False,False,lingeling,0.413518,0.388791,0.376693,0.012098,94.0203,False,7.89026,17.7839,17.2873,0.496609,225.391,False,8.21917,7.68116,7.49589,0.185268,93.4542,False,True,265,99,17,2,0,7,10144,3022089,89,11,33878175,7.1
68345bebc12a8b76d92a6132a5f22afc.param,16.977548,True,False,False,lingeling,0.398468,0.376114,0.364699,0.011415,94.39,False,7.98385,16.8726,16.3988,0.473866,211.334,False,8.59523,8.07026,7.87899,0.191271,93.8923,False,True,277,65,10,1,0,11,20800,4729683,86,14,471384344,7.4
3eabed53a1158b3a91f4747ba505fdd5.param,19.707638000000003,True,False,False,lingeling,0.414028,0.399267,0.386355,0.012912,96.4348,False,8.21531,19.9117,19.4267,0.484977,242.373,False,11.0783,9.71414,9.61948,0.094658,87.6858,False,True,2992,449,70,23,0,159,57818,15845528,58,42,1775965088,9.3
0d4ad7fd7bb142a1cc84dd434e0cf830.param,16.411256,True,False,False,lingeling,0.040796,0.379237,0.356512,0.022725,929.593,False,7.46649,15.1085,14.6169,0.491613,202.351,False,8.90397,8.6098,8.44174,0.168063,96.6961,False,True,117,34,14,0,0,7,9364,3260816,91,9,1775965088,8.1
ef1764d27cc47687507a0b5b23199139.param,16.6664711,True,False,False,lingeling,0.0471011,0.380797,0.365903,0.014894,808.468,False,7.54664,18.9243,18.4059,0.518419,250.765,False,9.07273,8.6255,8.45616,0.169337,95.0706,False,True,299,137,24,2,0,5,24263,7633977,78,22,1129504090,8.0
5885f202513aad69b434bbeb62eef0a5.param,17.685293,True,False,False,lingeling,0.416443,0.385306,0.370312,0.014994,92.5231,False,7.72399,17.6694,17.1812,0.48816,228.76,False,9.54486,8.88405,8.69614,0.187907,93.0768,False,True,355,229,40,1,0,14,6550,4999764,87,13,471384344,8.3
5882c5d198773e00887d11dd0a348834.param,17.689534000000002,True,False,False,lingeling,0.395644,0.368079,0.352308,0.015771,93.0329,False,7.95415,17.2512,16.749,0.502196,216.882,False,9.33974,8.81731,8.62393,0.193382,94.4063,False,True,211,106,12,0,0,12,20693,6321515,83,17,33878175,8.2
313657cbe60e221d5fb5064f58e8f416.param,16.780842,True,False,False,lingeling,0.394592,0.372915,0.359588,0.013327,94.5065,False,8.14819,17.0216,16.4738,0.547834,208.901,False,8.23806,7.69202,7.51463,0.177391,93.3717,False,True,284,141,26,0,0,13,5997,3385621,85,15,1729375933,7.1
9a7bf22672b271027ec08f8313f9646b.param,16.190622,True,False,False,lingeling,0.033502,0.371965,0.363916,0.008049,1110.28,False,7.2831,17.4008,16.8723,0.528473,238.92,False,8.87402,8.44129,8.25201,0.189279,95.1236,False,True,103,27,10,0,0,5,12635,3176514,91,9,1775965088,7.9
01546c269bb28435ca873111b4fac814.param,17.382836,True,False,False,lingeling,0.413956,0.374682,0.36765,0.007032,90.5125,False,7.96589,16.3027,15.8288,0.47397,204.657,False,9.00299,8.39224,8.1978,0.194438,93.2161,False,True,339,92,22,0,0,22,16459,6089242,84,16,1129504090,7.4
b885aaa242989e17ce54a2f1d19686d2.param,17.545952,True,False,False,lingeling,0.412982,0.376727,0.363795,0.012932,91.2212,False,7.85021,17.1067,16.616,0.490633,217.913,False,9.28276,8.7385,8.51531,0.223192,94.137,False,True,166,82,25,0,0,4,11227,3964451,91,9,1034773149,8.0
6462ed01fbbcf0721f4bdd10e87a81aa.param,19.767614,True,False,False,lingeling,0.417064,0.371332,0.355566,0.015766,89.0348,False,8.04455,17.6989,17.212,0.486881,220.011,False,11.306,9.76663,9.5603,0.206327,86.3846,False,True,166,89,32,0,0,8,12552,4664305,90,10,1034773149,9.0
ccc6bb2b3bdc8882f944124c6f6c7426.param,19.896692,True,False,False,lingeling,0.386422,0.372528,0.355666,0.016862,96.4045,False,8.25527,18.6379,18.1206,0.517241,225.769,False,11.255,9.33597,9.11673,0.219244,82.9499,False,True,232,120,28,2,0,5,10792,6666481,86,14,471384344,8.6
ac968b7b6dc53c093a92a9a1f6530d92.param,20.395650000000003,True,False,False,lingeling,0.40663,0.380252,0.364336,0.015916,93.513,False,7.80482,17.3638,16.9123,0.451562,222.476,False,12.1842,10.7805,10.552,0.228454,88.4793,False,True,178,72,30,0,0,4,8094,3186386,95,5,1775965088,10.2
65bf68cb255f0da078087f9affa651ac.param,20.756649000000003,True,False,False,lingeling,0.408709,0.379424,0.366501,0.012923,92.8347,False,7.93414,18.5901,18.0392,0.550841,234.305,False,12.4138,10.0719,9.86175,0.210153,81.1347,False,True,270,102,25,2,0,7,14910,5156725,91,9,769305921,9.4
7f4759b3a2443ab44aa24dda5e27038e.param,20.244328000000003,True,False,False,lingeling,0.414158,0.392339,0.381315,0.011024,94.7317,False,8.93477,21.0843,20.5478,0.536442,235.98,False,10.8954,9.06492,8.83069,0.234226,83.1992,False,True,398,192,63,0,0,16,19157,10344865,84,16,248532486,8.2
cebf2f1ccc20ea0fa3ac5d08ed70cc84.param,22.052858,True,False,False,lingeling,0.405868,0.373186,0.362211,0.010975,91.9476,False,9.81429,20.147,19.379,0.768032,205.282,False,11.8327,10.4311,10.0065,0.424638,88.1548,False,True,218,49,7,2,0,17,12007,4200843,82,18,581967781,7.8
1871a2db4538d8bd4da5dd1bf081835f.param,21.705955000000003,True,False,False,lingeling,0.403795,0.374407,0.361916,0.012491,92.722,False,7.82766,18.2995,17.7522,0.547241,233.779,False,13.4745,12.0559,11.8565,0.199398,89.4718,False,True,315,138,15,0,0,16,10238,8101836,89,11,1129504090,11.4
499f25562390e24447d168e1da1381c8.param,23.301031000000002,True,False,False,lingeling,0.426031,0.402111,0.393235,0.008876,94.3854,False,9.4701,19.6715,19.109,0.562563,207.722,False,13.4049,11.9445,11.6823,0.262157,89.1056,False,True,915,133,22,4,0,74,31252,11669929,76,24,997811386,10.3
ef40246dbf11952b5e61b5771c7c1d70.param,25.277196,True,False,False,lingeling,0.407106,0.373854,0.359572,0.014282,91.8321,False,9.49199,19.511,18.8201,0.690892,205.552,False,15.3781,13.3725,12.9576,0.414876,86.958,False,True,935,253,64,5,0,61,21372,12616245,74,26,997811386,11.0
35d86c3311e8228ff5b1e35944d85b17.param,39.033933,True,False,False,lingeling,0.419933,0.380337,0.366686,0.013651,90.5709,False,10.2431,20.2758,19.6086,0.667246,197.947,False,28.3709,23.718,22.4241,1.2939,83.5995,False,True,2395,177,48,14,0,204,51154,22210256,70,30,33878175,20.5
6e1311691ce2d00a5183a63eb6cb3d0d.param,12.001145999999999,True,False,False,lingeling,0.445366,0.386785,0.371224,0.015561,86.8465,False,4.63573,16.1609,15.6619,0.499017,348.617,False,6.92005,6.90503,6.73063,0.174398,99.7829,False,True,127,59,19,0,0,9,15204,2923379,93,7,581967781,6.3
